from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aaai,aaai,1982,1980,1,14
aaai,aaai,1983,1980,4,9
aaai,aaai,1983,1982,12,19
aaai,aaai,1984,1980,2,12
aaai,aaai,1984,1982,3,6
aaai,aaai,1984,1983,3,24
aaai,aaai,1986,1980,2,11
aaai,aaai,1986,1982,5,20
aaai,aaai,1986,1983,6,35
aaai,aaai,1986,1984,11,39
aaai,aaai,1987,1980,1,14
aaai,aaai,1987,1981,1,24
aaai,aaai,1987,1982,5,23
aaai,aaai,1987,1983,10,37
aaai,aaai,1987,1984,5,35
aaai,aaai,1987,1985,1,65
aaai,aaai,1987,1986,25,71
aaai,aaai,1988,1980,2,3
aaai,aaai,1988,1982,1,6
aaai,aaai,1988,1986,3,12
aaai,aaai,1988,1987,7,21
aaai,aaai,1989,1986,2,2
aaai,aaai,1990,1980,1,6
aaai,aaai,1990,1982,4,12
aaai,aaai,1990,1983,5,25
aaai,aaai,1990,1984,3,24
aaai,aaai,1990,1986,17,52
aaai,aaai,1990,1987,17,76
aaai,aaai,1990,1988,15,62
aaai,aaai,1991,1980,2,6
aaai,aaai,1991,1982,1,5
aaai,aaai,1991,1983,1,10
aaai,aaai,1991,1984,4,9
aaai,aaai,1991,1986,4,23
aaai,aaai,1991,1987,7,33
aaai,aaai,1991,1988,12,36
aaai,aaai,1991,1990,24,46
aaai,aaai,1992,1980,1,4
aaai,aaai,1992,1982,1,7
aaai,aaai,1992,1984,2,13
aaai,aaai,1992,1986,3,13
aaai,aaai,1992,1987,4,31
aaai,aaai,1992,1988,6,23
aaai,aaai,1992,1990,17,60
aaai,aaai,1992,1991,14,50
aaai,aaai,1993,1982,1,5
aaai,aaai,1993,1986,2,14
aaai,aaai,1993,1987,4,24
aaai,aaai,1993,1988,7,26
aaai,aaai,1993,1990,5,27
aaai,aaai,1993,1991,5,49
aaai,aaai,1993,1992,13,52
aaai,aaai,1994,1984,3,10
aaai,aaai,1994,1985,1,16
aaai,aaai,1994,1986,3,27
aaai,aaai,1994,1987,4,37
aaai,aaai,1994,1988,5,28
aaai,aaai,1994,1990,14,70
aaai,aaai,1994,1991,17,83
aaai,aaai,1994,1992,12,96
aaai,aaai,1994,1993,29,105
aaai,aaai,1995,1992,1,7
aaai,aaai,1996,1981,1,7
aaai,aaai,1996,1983,1,11
aaai,aaai,1996,1986,9,21
aaai,aaai,1996,1987,5,28
aaai,aaai,1996,1988,5,26
aaai,aaai,1996,1990,8,44
aaai,aaai,1996,1991,15,59
aaai,aaai,1996,1992,17,76
aaai,aaai,1996,1993,26,83
aaai,aaai,1996,1994,33,108
aaai,aaai,1997,1984,1,9
aaai,aaai,1997,1986,2,12
aaai,aaai,1997,1987,2,15
aaai,aaai,1997,1988,5,21
aaai,aaai,1997,1990,7,31
aaai,aaai,1997,1991,7,33
aaai,aaai,1997,1992,4,46
aaai,aaai,1997,1993,7,44
aaai,aaai,1997,1994,24,65
aaai,aaai,1997,1996,26,83
aaai,aaai,1998,1983,1,9
aaai,aaai,1998,1984,1,10
aaai,aaai,1998,1986,3,17
aaai,aaai,1998,1987,4,35
aaai,aaai,1998,1988,6,25
aaai,aaai,1998,1990,11,66
aaai,aaai,1998,1991,10,73
aaai,aaai,1998,1992,10,74
aaai,aaai,1998,1993,9,66
aaai,aaai,1998,1994,28,107
aaai,aaai,1998,1996,36,159
aaai,aaai,1998,1997,38,187
aaai,aaai,1999,1983,1,10
aaai,aaai,1999,1984,1,5
aaai,aaai,1999,1986,3,10
aaai,aaai,1999,1987,5,19
aaai,aaai,1999,1988,5,27
aaai,aaai,1999,1990,8,39
aaai,aaai,1999,1991,4,38
aaai,aaai,1999,1992,5,51
aaai,aaai,1999,1993,5,52
aaai,aaai,1999,1994,17,73
aaai,aaai,1999,1996,27,88
aaai,aaai,1999,1997,25,110
aaai,aaai,1999,1998,34,131
aaai,aaai,2000,1980,1,5
aaai,aaai,2000,1986,1,16
aaai,aaai,2000,1987,2,20
aaai,aaai,2000,1988,1,10
aaai,aaai,2000,1990,3,27
aaai,aaai,2000,1991,5,37
aaai,aaai,2000,1992,4,49
aaai,aaai,2000,1993,9,50
aaai,aaai,2000,1994,13,81
aaai,aaai,2000,1996,21,95
aaai,aaai,2000,1997,19,114
aaai,aaai,2000,1998,22,145
aaai,aaai,2000,1999,22,143
aaai,aaai,2001,1993,1,2
aaai,aaai,2001,1998,1,8
aaai,aaai,2002,1980,1,6
aaai,aaai,2002,1983,1,10
aaai,aaai,2002,1984,1,8
aaai,aaai,2002,1987,1,20
aaai,aaai,2002,1988,3,15
aaai,aaai,2002,1990,3,29
aaai,aaai,2002,1991,3,25
aaai,aaai,2002,1992,2,35
aaai,aaai,2002,1993,6,36
aaai,aaai,2002,1994,6,64
aaai,aaai,2002,1996,17,86
aaai,aaai,2002,1997,14,91
aaai,aaai,2002,1998,16,100
aaai,aaai,2002,1999,19,151
aaai,aaai,2002,2000,40,160
aaai,aaai,2002,2001,1,180
aaai,aaai,2003,1997,1,1
aaai,aaai,2003,2002,1,5
aaai,aaai,2004,1986,2,6
aaai,aaai,2004,1988,4,17
aaai,aaai,2004,1992,4,23
aaai,aaai,2004,1993,3,24
aaai,aaai,2004,1994,13,57
aaai,aaai,2004,1996,15,59
aaai,aaai,2004,1997,8,70
aaai,aaai,2004,1998,11,74
aaai,aaai,2004,1999,7,82
aaai,aaai,2004,2000,18,105
aaai,aaai,2004,2002,18,120
aaai,aaai,2005,1983,1,4
aaai,aaai,2005,1984,1,3
aaai,aaai,2005,1986,3,18
aaai,aaai,2005,1987,1,24
