from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aaai,aamas,1998,1997,9,187
aaai,aamas,1999,1998,9,131
aaai,aamas,2000,1997,5,114
aaai,aamas,2000,1998,3,145
aaai,aamas,2001,1997,2,10
aaai,aamas,2001,1999,1,11
aaai,aamas,2001,2000,1,6
aaai,aamas,2002,1997,2,91
aaai,aamas,2002,1998,2,100
aaai,aamas,2002,1999,1,151
aaai,aamas,2002,2000,1,160
aaai,aamas,2002,2001,4,180
aaai,aamas,2003,2002,1,5
aaai,aamas,2004,1997,4,70
aaai,aamas,2004,1998,2,74
aaai,aamas,2004,2000,5,105
aaai,aamas,2004,2001,3,108
aaai,aamas,2004,2002,5,120
aaai,aamas,2004,2003,4,154
aaai,aamas,2005,1997,4,89
aaai,aamas,2005,1998,2,88
aaai,aamas,2005,2000,1,123
aaai,aamas,2005,2001,3,174
aaai,aamas,2005,2002,8,180
aaai,aamas,2005,2003,10,245
aaai,aamas,2005,2004,17,271
aaai,aamas,2006,1997,1,70
aaai,aamas,2006,1998,3,83
aaai,aamas,2006,1999,1,88
aaai,aamas,2006,2000,2,106
aaai,aamas,2006,2001,3,122
aaai,aamas,2006,2002,5,183
aaai,aamas,2006,2003,10,197
aaai,aamas,2006,2004,17,253
aaai,aamas,2006,2005,11,315
aaai,aamas,2007,1997,4,59
aaai,aamas,2007,1998,2,70
aaai,aamas,2007,2000,1,87
aaai,aamas,2007,2001,1,105
aaai,aamas,2007,2002,5,130
aaai,aamas,2007,2003,8,166
aaai,aamas,2007,2004,12,207
aaai,aamas,2007,2005,9,289
aaai,aamas,2007,2006,21,298
aaai,aamas,2008,1997,2,75
aaai,aamas,2008,2000,2,112
aaai,aamas,2008,2001,2,115
aaai,aamas,2008,2002,3,140
aaai,aamas,2008,2003,9,186
aaai,aamas,2008,2004,6,200
aaai,aamas,2008,2005,9,308
aaai,aamas,2008,2006,9,267
aaai,aamas,2008,2007,17,364
aaai,aamas,2009,2004,2,20
aaai,aamas,2009,2007,1,22
aaai,aamas,2010,2002,3,113
aaai,aamas,2010,2004,4,160
aaai,aamas,2010,2005,4,183
aaai,aamas,2010,2006,3,202
aaai,aamas,2010,2007,9,276
aaai,aamas,2010,2008,15,302
aaai,aamas,2010,2009,9,318
aaai,aamas,2011,1997,1,41
aaai,aamas,2011,1998,1,45
aaai,aamas,2011,2001,2,75
aaai,aamas,2011,2002,2,81
aaai,aamas,2011,2003,1,109
aaai,aamas,2011,2004,3,134
aaai,aamas,2011,2005,3,137
aaai,aamas,2011,2006,3,156
aaai,aamas,2011,2007,2,176
aaai,aamas,2011,2008,3,213
aaai,aamas,2011,2009,7,264
aaai,aamas,2011,2010,8,294
aaai,aamas,2012,2002,1,64
aaai,aamas,2012,2003,1,100
aaai,aamas,2012,2004,3,85
aaai,aamas,2012,2005,1,115
aaai,aamas,2012,2006,3,142
aaai,aamas,2012,2007,4,170
aaai,aamas,2012,2008,7,190
aaai,aamas,2012,2009,8,246
aaai,aamas,2012,2010,11,263
aaai,aamas,2012,2011,14,253
aaai,aamas,2013,2002,1,77
aaai,aamas,2013,2004,2,94
aaai,aamas,2013,2005,1,112
aaai,aamas,2013,2006,5,139
aaai,aamas,2013,2007,4,160
aaai,aamas,2013,2008,9,173
aaai,aamas,2013,2009,5,198
aaai,aamas,2013,2010,10,278
aaai,aamas,2013,2011,5,245
aaai,aamas,2013,2012,13,270
aaai,aamas,2014,1997,1,41
aaai,aamas,2014,2001,2,52
aaai,aamas,2014,2002,1,81
aaai,aamas,2014,2004,3,96
aaai,aamas,2014,2005,2,116
aaai,aamas,2014,2006,2,124
aaai,aamas,2014,2007,3,148
aaai,aamas,2014,2008,6,170
aaai,aamas,2014,2009,8,204
aaai,aamas,2014,2010,5,266
aaai,aamas,2014,2011,11,279
aaai,aamas,2014,2012,16,340
aaai,aamas,2014,2013,11,324
aaai,aamas,2015,2001,2,23
aaai,aamas,2015,2002,2,31
aaai,aamas,2015,2003,1,35
aaai,aamas,2015,2004,2,56
aaai,aamas,2015,2005,1,62
aaai,aamas,2015,2007,3,80
aaai,aamas,2015,2008,2,108
aaai,aamas,2015,2009,7,112
aaai,aamas,2015,2011,7,153
aaai,aamas,2015,2012,8,177
aaai,aamas,2015,2013,11,210
aaai,aamas,2015,2014,4,118
