from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aaai,acl,1982,1981,1,23
aaai,acl,1983,1981,1,13
aaai,acl,1983,1982,2,19
aaai,acl,1987,1986,1,71
aaai,acl,1990,1982,1,12
aaai,acl,1990,1983,1,25
aaai,acl,1990,1986,3,52
aaai,acl,1990,1987,1,76
aaai,acl,1990,1988,2,62
aaai,acl,1990,1989,3,104
aaai,acl,1991,1987,1,33
aaai,acl,1991,1988,1,36
aaai,acl,1991,1989,1,47
aaai,acl,1991,1990,2,46
aaai,acl,1992,1989,1,34
aaai,acl,1992,1990,4,60
aaai,acl,1992,1991,1,50
aaai,acl,1993,1979,1,4
aaai,acl,1993,1983,1,8
aaai,acl,1993,1986,2,14
aaai,acl,1993,1988,1,26
aaai,acl,1993,1989,1,21
aaai,acl,1993,1990,3,27
aaai,acl,1993,1992,2,52
aaai,acl,1994,1983,1,8
aaai,acl,1994,1990,2,70
aaai,acl,1994,1991,2,83
aaai,acl,1994,1992,1,96
aaai,acl,1994,1993,1,105
aaai,acl,1995,1991,1,6
aaai,acl,1995,1992,1,7
aaai,acl,1995,1993,2,4
aaai,acl,1996,1983,1,11
aaai,acl,1996,1990,1,44
aaai,acl,1996,1992,1,76
aaai,acl,1996,1993,2,83
aaai,acl,1996,1994,2,108
aaai,acl,1996,1995,2,111
aaai,acl,1997,1988,1,21
aaai,acl,1997,1989,1,19
aaai,acl,1997,1995,2,77
aaai,acl,1998,1972,1,2
aaai,acl,1998,1994,3,107
aaai,acl,1998,1995,2,124
aaai,acl,1998,1996,3,159
aaai,acl,1998,1997,2,187
aaai,acl,1999,1988,1,27
aaai,acl,1999,1991,1,38
aaai,acl,1999,1993,1,52
aaai,acl,1999,1994,3,73
aaai,acl,1999,1995,2,82
aaai,acl,1999,1996,2,88
aaai,acl,1999,1998,3,131
aaai,acl,2000,1986,1,16
aaai,acl,2000,1989,1,29
aaai,acl,2000,1990,1,27
aaai,acl,2000,1991,1,37
aaai,acl,2000,1995,5,82
aaai,acl,2000,1997,1,114
aaai,acl,2000,1998,6,145
aaai,acl,2000,1999,7,143
aaai,acl,2001,1994,1,6
aaai,acl,2002,1982,1,5
aaai,acl,2002,1994,1,64
aaai,acl,2002,1996,1,86
aaai,acl,2002,2000,2,160
aaai,acl,2002,2001,3,180
aaai,acl,2004,1993,1,24
aaai,acl,2004,1997,1,70
aaai,acl,2004,1998,1,74
aaai,acl,2004,2001,1,108
aaai,acl,2004,2002,2,120
aaai,acl,2004,2003,1,154
aaai,acl,2005,1987,1,24
aaai,acl,2005,1989,1,17
aaai,acl,2005,1991,2,31
aaai,acl,2005,1995,1,61
aaai,acl,2005,1998,1,88
aaai,acl,2005,1999,3,108
aaai,acl,2005,2000,2,123
aaai,acl,2005,2001,3,174
aaai,acl,2005,2002,1,180
aaai,acl,2005,2003,6,245
aaai,acl,2005,2004,7,271
aaai,acl,2006,1990,1,28
aaai,acl,2006,1992,1,34
aaai,acl,2006,1993,1,36
aaai,acl,2006,1995,1,62
aaai,acl,2006,1998,1,83
aaai,acl,2006,1999,1,88
aaai,acl,2006,2001,1,122
aaai,acl,2006,2002,6,183
aaai,acl,2006,2003,3,197
aaai,acl,2006,2004,3,253
aaai,acl,2006,2005,7,315
aaai,acl,2007,1994,2,43
aaai,acl,2007,1997,1,59
aaai,acl,2007,1998,1,70
aaai,acl,2007,1999,2,89
aaai,acl,2007,2000,3,87
aaai,acl,2007,2001,1,105
aaai,acl,2007,2002,4,130
aaai,acl,2007,2003,3,166
aaai,acl,2007,2004,7,207
aaai,acl,2007,2005,9,289
aaai,acl,2007,2006,4,298
aaai,acl,2008,1993,1,33
aaai,acl,2008,1994,2,56
aaai,acl,2008,1998,1,80
aaai,acl,2008,1999,2,89
aaai,acl,2008,2000,1,112
aaai,acl,2008,2002,1,140
aaai,acl,2008,2003,3,186
aaai,acl,2008,2004,3,200
aaai,acl,2008,2005,7,308
aaai,acl,2008,2006,1,267
aaai,acl,2008,2007,12,364
aaai,acl,2009,2005,1,16
aaai,acl,2009,2006,1,32
aaai,acl,2010,1989,1,16
aaai,acl,2010,1991,1,27
aaai,acl,2010,1995,1,37
aaai,acl,2010,1997,1,44
aaai,acl,2010,1999,3,89
aaai,acl,2010,2000,1,59
aaai,acl,2010,2001,2,77
aaai,acl,2010,2002,1,113
aaai,acl,2010,2003,4,132
