from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aaai,coling,1983,1980,1,9
aaai,coling,1986,1984,1,39
aaai,coling,1987,1984,1,35
aaai,coling,1988,1982,1,6
aaai,coling,1990,1988,2,62
aaai,coling,1991,1986,3,23
aaai,coling,1992,1988,1,23
aaai,coling,1992,1990,3,60
aaai,coling,1993,1984,1,6
aaai,coling,1993,1990,2,27
aaai,coling,1993,1992,1,52
aaai,coling,1994,1990,1,70
aaai,coling,1994,1992,5,96
aaai,coling,1995,1990,1,3
aaai,coling,1997,1990,1,31
aaai,coling,1997,1992,1,46
aaai,coling,1997,1994,1,65
aaai,coling,1997,1996,1,83
aaai,coling,1998,1994,2,107
aaai,coling,1998,1996,1,159
aaai,coling,1999,1992,2,51
aaai,coling,1999,1994,1,73
aaai,coling,1999,1998,1,131
aaai,coling,2000,1986,1,16
aaai,coling,2000,1994,3,81
aaai,coling,2000,1998,1,145
aaai,coling,2002,1992,1,35
aaai,coling,2002,1996,1,86
aaai,coling,2004,1992,1,23
aaai,coling,2005,1988,1,11
aaai,coling,2005,1990,1,31
aaai,coling,2005,1992,1,39
aaai,coling,2005,1994,1,56
aaai,coling,2005,1996,2,74
aaai,coling,2005,1998,2,88
aaai,coling,2005,2000,1,123
aaai,coling,2005,2002,1,180
aaai,coling,2005,2003,1,245
aaai,coling,2005,2004,4,271
aaai,coling,2006,1992,1,34
aaai,coling,2006,1994,2,60
aaai,coling,2006,1996,1,59
aaai,coling,2006,2002,1,183
aaai,coling,2006,2003,2,197
aaai,coling,2006,2004,2,253
aaai,coling,2006,2005,1,315
aaai,coling,2007,1984,1,12
aaai,coling,2007,1992,2,32
aaai,coling,2007,1996,1,50
aaai,coling,2007,2000,2,87
aaai,coling,2007,2004,3,207
aaai,coling,2007,2006,10,298
aaai,coling,2008,1986,1,12
aaai,coling,2008,1992,1,27
aaai,coling,2008,1994,1,56
aaai,coling,2008,2000,1,112
aaai,coling,2008,2002,2,140
aaai,coling,2008,2006,4,267
aaai,coling,2009,2004,1,20
aaai,coling,2010,1992,1,22
aaai,coling,2010,2001,1,77
aaai,coling,2010,2002,1,113
aaai,coling,2010,2004,1,160
aaai,coling,2010,2006,2,202
aaai,coling,2010,2008,3,302
aaai,coling,2011,1992,1,28
aaai,coling,2011,1996,1,30
aaai,coling,2011,2004,2,134
aaai,coling,2011,2005,1,137
aaai,coling,2011,2006,2,156
aaai,coling,2011,2010,4,294
aaai,coling,2012,2004,1,85
aaai,coling,2012,2006,2,142
aaai,coling,2012,2008,1,190
aaai,coling,2012,2010,4,263
aaai,coling,2013,1990,1,10
aaai,coling,2013,1998,1,34
aaai,coling,2013,2000,1,50
aaai,coling,2013,2002,1,77
aaai,coling,2013,2004,1,94
aaai,coling,2013,2006,6,139
aaai,coling,2013,2008,2,173
aaai,coling,2013,2010,1,278
aaai,coling,2013,2012,1,270
aaai,coling,2014,1992,2,19
aaai,coling,2014,1996,1,30
aaai,coling,2014,2000,1,55
aaai,coling,2014,2002,1,81
aaai,coling,2014,2006,2,124
aaai,coling,2014,2010,5,266
aaai,coling,2014,2012,2,340
aaai,coling,2015,1992,1,8
aaai,coling,2015,2000,1,22
aaai,coling,2015,2004,1,56
aaai,coling,2015,2006,2,49
aaai,coling,2015,2008,3,108
aaai,coling,2015,2012,1,177
aaai,coling,2015,2014,4,118
