from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aaai,colt,1993,1988,1,26
aaai,colt,1993,1990,1,27
aaai,colt,1993,1991,1,49
aaai,colt,1993,1992,3,52
aaai,colt,1994,1993,1,105
aaai,colt,1996,1993,1,83
aaai,colt,1996,1994,1,108
aaai,colt,1998,1991,2,73
aaai,colt,1998,1992,2,74
aaai,colt,1998,1993,1,66
aaai,colt,1998,1994,2,107
aaai,colt,1998,1995,1,124
aaai,colt,1998,1996,1,159
aaai,colt,1998,1997,1,187
aaai,colt,1999,1992,1,51
aaai,colt,1999,1997,1,110
aaai,colt,1999,1998,1,131
aaai,colt,2000,1994,2,81
aaai,colt,2000,1995,1,82
aaai,colt,2000,1998,1,145
aaai,colt,2002,1991,1,25
aaai,colt,2002,1994,1,64
aaai,colt,2002,1995,1,64
aaai,colt,2002,1996,2,86
aaai,colt,2002,1998,1,100
aaai,colt,2002,1999,1,151
aaai,colt,2002,2001,1,180
aaai,colt,2004,1995,1,43
aaai,colt,2004,1998,1,74
aaai,colt,2005,1992,1,39
aaai,colt,2005,1995,1,61
aaai,colt,2005,1998,1,88
aaai,colt,2005,2004,1,271
aaai,colt,2006,1992,1,34
aaai,colt,2006,1998,1,83
aaai,colt,2006,2002,1,183
aaai,colt,2006,2003,1,197
aaai,colt,2007,1992,2,32
aaai,colt,2007,1995,2,42
aaai,colt,2007,1998,1,70
aaai,colt,2007,2003,1,166
aaai,colt,2007,2005,2,289
aaai,colt,2008,1991,1,34
aaai,colt,2008,1992,1,27
aaai,colt,2008,1995,1,63
aaai,colt,2008,1998,2,80
aaai,colt,2008,2003,3,186
aaai,colt,2008,2004,1,200
aaai,colt,2008,2005,2,308
aaai,colt,2008,2006,2,267
aaai,colt,2010,1992,1,22
aaai,colt,2010,1994,1,38
aaai,colt,2010,1998,1,58
aaai,colt,2010,2003,1,132
aaai,colt,2010,2009,1,318
aaai,colt,2011,1998,1,45
aaai,colt,2012,1992,1,15
aaai,colt,2012,1994,1,20
aaai,colt,2012,1998,1,39
aaai,colt,2012,2005,1,115
aaai,colt,2012,2006,1,142
aaai,colt,2012,2010,1,263
aaai,colt,2013,1998,1,34
aaai,colt,2013,1999,1,37
aaai,colt,2013,2005,1,112
aaai,colt,2013,2009,1,198
aaai,colt,2013,2010,1,278
aaai,colt,2014,1989,1,16
aaai,colt,2014,1994,1,31
aaai,colt,2014,1998,2,44
aaai,colt,2014,2002,1,81
aaai,colt,2014,2003,1,85
aaai,colt,2014,2004,1,96
aaai,colt,2014,2005,1,116
aaai,colt,2014,2010,1,266
aaai,colt,2014,2013,1,324
aaai,colt,2015,2004,1,56
aaai,colt,2015,2006,1,49
aaai,colt,2015,2009,1,112
aaai,colt,2015,2010,2,155
aaai,colt,2015,2013,3,210
