from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aaai,ecai,1983,1982,1,19
aaai,ecai,1986,1978,1,10
aaai,ecai,1986,1982,1,20
aaai,ecai,1986,1984,2,39
aaai,ecai,1987,1978,1,14
aaai,ecai,1991,1990,1,46
aaai,ecai,1994,1984,1,10
aaai,ecai,1994,1986,1,27
aaai,ecai,1994,1990,1,70
aaai,ecai,1994,1992,1,96
aaai,ecai,1996,1986,1,21
aaai,ecai,1996,1988,1,26
aaai,ecai,1996,1990,1,44
aaai,ecai,1996,1992,3,76
aaai,ecai,1996,1994,2,108
aaai,ecai,1997,1996,2,83
aaai,ecai,1998,1976,1,6
aaai,ecai,1998,1990,2,66
aaai,ecai,1998,1992,4,74
aaai,ecai,1998,1994,3,107
aaai,ecai,1998,1996,5,159
aaai,ecai,1999,1976,1,5
aaai,ecai,1999,1988,2,27
aaai,ecai,1999,1992,2,51
aaai,ecai,1999,1994,2,73
aaai,ecai,1999,1996,3,88
aaai,ecai,1999,1998,2,131
aaai,ecai,2000,1988,1,10
aaai,ecai,2000,1992,5,49
aaai,ecai,2000,1994,1,81
aaai,ecai,2000,1996,3,95
aaai,ecai,2000,1998,2,145
aaai,ecai,2001,2000,1,6
aaai,ecai,2002,1990,1,29
aaai,ecai,2002,1992,2,35
aaai,ecai,2002,1996,1,86
aaai,ecai,2002,1998,1,100
aaai,ecai,2002,2000,3,160
aaai,ecai,2004,1988,2,17
aaai,ecai,2004,1992,1,23
aaai,ecai,2004,1994,1,57
aaai,ecai,2004,1996,1,59
aaai,ecai,2004,1998,2,74
aaai,ecai,2004,2000,1,105
aaai,ecai,2004,2002,2,120
aaai,ecai,2005,1984,1,3
aaai,ecai,2005,1990,1,31
aaai,ecai,2005,1992,2,39
aaai,ecai,2005,1994,1,56
aaai,ecai,2005,1996,2,74
aaai,ecai,2005,1998,4,88
aaai,ecai,2005,2000,4,123
aaai,ecai,2005,2002,2,180
aaai,ecai,2005,2004,6,271
aaai,ecai,2006,1988,1,17
aaai,ecai,2006,1994,1,60
aaai,ecai,2006,1998,3,83
aaai,ecai,2006,2000,2,106
aaai,ecai,2006,2002,1,183
aaai,ecai,2006,2004,12,253
aaai,ecai,2007,2000,1,87
aaai,ecai,2007,2002,1,130
aaai,ecai,2007,2004,5,207
aaai,ecai,2007,2006,9,298
aaai,ecai,2008,1998,1,80
aaai,ecai,2008,2000,3,112
aaai,ecai,2008,2002,2,140
aaai,ecai,2008,2004,3,200
aaai,ecai,2008,2006,2,267
aaai,ecai,2009,2004,1,20
aaai,ecai,2009,2006,1,32
aaai,ecai,2010,1990,1,25
aaai,ecai,2010,1992,2,22
aaai,ecai,2010,1996,1,33
aaai,ecai,2010,1998,1,58
aaai,ecai,2010,2004,4,160
aaai,ecai,2010,2006,1,202
aaai,ecai,2010,2008,3,302
aaai,ecai,2011,1988,1,10
aaai,ecai,2011,2000,2,61
aaai,ecai,2011,2004,3,134
aaai,ecai,2011,2006,2,156
aaai,ecai,2011,2008,3,213
aaai,ecai,2011,2010,1,294
aaai,ecai,2012,2000,1,44
aaai,ecai,2012,2002,1,64
aaai,ecai,2012,2004,2,85
aaai,ecai,2012,2006,1,142
aaai,ecai,2012,2008,1,190
aaai,ecai,2012,2010,3,263
aaai,ecai,2013,1996,1,34
aaai,ecai,2013,2000,2,50
aaai,ecai,2013,2002,2,77
aaai,ecai,2013,2010,5,278
aaai,ecai,2014,1992,1,19
aaai,ecai,2014,2004,2,96
aaai,ecai,2014,2008,2,170
aaai,ecai,2014,2010,2,266
aaai,ecai,2014,2011,1,279
aaai,ecai,2015,1998,1,16
aaai,ecai,2015,2004,1,56
aaai,ecai,2015,2008,2,108
aaai,ecai,2015,2010,2,155
aaai,ecai,2015,2011,1,153
