from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aaai,eccv,1996,1992,1,76
aaai,eccv,1997,1996,1,83
aaai,eccv,1998,1992,1,74
aaai,eccv,2002,1996,2,86
aaai,eccv,2004,1996,1,59
aaai,eccv,2004,1998,1,74
aaai,eccv,2004,2000,1,105
aaai,eccv,2004,2002,2,120
aaai,eccv,2005,2002,1,180
aaai,eccv,2005,2004,1,271
aaai,eccv,2007,2002,2,130
aaai,eccv,2008,2000,1,112
aaai,eccv,2008,2004,2,200
aaai,eccv,2008,2006,2,267
aaai,eccv,2010,2002,1,113
aaai,eccv,2010,2006,1,202
aaai,eccv,2010,2008,3,302
aaai,eccv,2011,2002,1,81
aaai,eccv,2011,2004,1,134
aaai,eccv,2011,2006,1,156
aaai,eccv,2011,2008,5,213
aaai,eccv,2011,2010,4,294
aaai,eccv,2012,2004,1,85
aaai,eccv,2012,2008,1,190
aaai,eccv,2012,2010,8,263
aaai,eccv,2013,1998,1,34
aaai,eccv,2013,2006,1,139
aaai,eccv,2013,2010,3,278
aaai,eccv,2013,2012,1,270
aaai,eccv,2014,2002,2,81
aaai,eccv,2014,2004,1,96
aaai,eccv,2014,2006,1,124
aaai,eccv,2014,2010,3,266
aaai,eccv,2014,2012,1,340
aaai,eccv,2015,2006,1,49
aaai,eccv,2015,2012,1,177
aaai,eccv,2015,2014,2,118
