from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aaai,emnlp,2003,2002,1,5
aaai,emnlp,2004,2002,3,120
aaai,emnlp,2004,2003,2,154
aaai,emnlp,2005,2001,1,174
aaai,emnlp,2005,2002,1,180
aaai,emnlp,2005,2003,2,245
aaai,emnlp,2005,2004,2,271
aaai,emnlp,2006,2002,3,183
aaai,emnlp,2006,2004,4,253
aaai,emnlp,2006,2005,4,315
aaai,emnlp,2007,2002,2,130
aaai,emnlp,2007,2004,3,207
aaai,emnlp,2007,2005,6,289
aaai,emnlp,2007,2006,1,298
aaai,emnlp,2008,2000,1,112
aaai,emnlp,2008,2002,1,140
aaai,emnlp,2008,2004,1,200
aaai,emnlp,2008,2005,5,308
aaai,emnlp,2008,2006,2,267
aaai,emnlp,2008,2007,5,364
aaai,emnlp,2009,2004,1,20
aaai,emnlp,2010,2002,1,113
aaai,emnlp,2010,2003,1,132
aaai,emnlp,2010,2004,3,160
aaai,emnlp,2010,2005,3,183
aaai,emnlp,2010,2006,2,202
aaai,emnlp,2010,2007,2,276
aaai,emnlp,2010,2008,7,302
aaai,emnlp,2010,2009,6,318
aaai,emnlp,2011,2000,1,61
aaai,emnlp,2011,2004,2,134
aaai,emnlp,2011,2005,1,137
aaai,emnlp,2011,2006,1,156
aaai,emnlp,2011,2007,1,176
aaai,emnlp,2011,2008,4,213
aaai,emnlp,2011,2009,7,264
aaai,emnlp,2011,2010,6,294
aaai,emnlp,2012,2002,1,64
aaai,emnlp,2012,2004,2,85
aaai,emnlp,2012,2005,4,115
aaai,emnlp,2012,2006,4,142
aaai,emnlp,2012,2007,1,170
aaai,emnlp,2012,2008,1,190
aaai,emnlp,2012,2009,3,246
aaai,emnlp,2012,2010,3,263
aaai,emnlp,2012,2011,3,253
aaai,emnlp,2013,2002,2,77
aaai,emnlp,2013,2005,3,112
aaai,emnlp,2013,2006,1,139
aaai,emnlp,2013,2007,2,160
aaai,emnlp,2013,2008,7,173
aaai,emnlp,2013,2009,4,198
aaai,emnlp,2013,2010,3,278
aaai,emnlp,2013,2011,4,245
aaai,emnlp,2013,2012,5,270
aaai,emnlp,2014,2002,2,81
aaai,emnlp,2014,2005,1,116
aaai,emnlp,2014,2006,1,124
aaai,emnlp,2014,2007,1,148
aaai,emnlp,2014,2008,1,170
aaai,emnlp,2014,2009,2,204
aaai,emnlp,2014,2010,3,266
aaai,emnlp,2014,2011,8,279
aaai,emnlp,2014,2012,3,340
aaai,emnlp,2014,2013,6,324
aaai,emnlp,2015,2005,1,62
aaai,emnlp,2015,2007,1,80
aaai,emnlp,2015,2008,3,108
aaai,emnlp,2015,2010,1,155
aaai,emnlp,2015,2011,6,153
aaai,emnlp,2015,2012,5,177
aaai,emnlp,2015,2013,3,210
aaai,emnlp,2015,2014,3,118
