from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aaai,icaps,2005,2003,1,245
aaai,icaps,2005,2004,1,271
aaai,icaps,2006,2003,1,197
aaai,icaps,2006,2004,1,253
aaai,icaps,2006,2005,1,315
aaai,icaps,2008,2004,1,200
aaai,icaps,2008,2005,2,308
aaai,icaps,2008,2006,1,267
aaai,icaps,2008,2007,3,364
aaai,icaps,2009,2008,1,16
aaai,icaps,2010,2007,1,276
aaai,icaps,2010,2009,3,318
aaai,icaps,2011,2006,1,156
aaai,icaps,2011,2007,2,176
aaai,icaps,2011,2009,3,264
aaai,icaps,2011,2010,7,294
aaai,icaps,2012,2005,1,115
aaai,icaps,2012,2006,1,142
aaai,icaps,2012,2007,1,170
aaai,icaps,2012,2008,1,190
aaai,icaps,2012,2010,4,263
aaai,icaps,2012,2011,3,253
aaai,icaps,2013,2007,1,160
aaai,icaps,2013,2009,1,198
aaai,icaps,2013,2010,2,278
aaai,icaps,2013,2012,1,270
aaai,icaps,2014,2007,2,148
aaai,icaps,2014,2009,2,204
aaai,icaps,2014,2010,5,266
aaai,icaps,2014,2011,3,279
aaai,icaps,2014,2012,2,340
aaai,icaps,2015,2010,2,155
aaai,icaps,2015,2011,3,153
aaai,icaps,2015,2012,1,177
aaai,icaps,2015,2014,1,118
