from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aaai,iccbr,1997,1995,2,77
aaai,iccbr,1998,1995,3,124
aaai,iccbr,1998,1997,1,187
aaai,iccbr,1999,1995,1,82
aaai,iccbr,2000,1997,1,114
aaai,iccbr,2000,1999,1,143
aaai,iccbr,2002,1995,1,64
aaai,iccbr,2002,1997,2,91
aaai,iccbr,2004,1997,2,70
aaai,iccbr,2004,1999,1,82
aaai,iccbr,2004,2001,1,108
aaai,iccbr,2004,2003,2,154
aaai,iccbr,2005,1997,2,89
aaai,iccbr,2005,2001,2,174
aaai,iccbr,2006,2001,1,122
aaai,iccbr,2006,2003,2,197
aaai,iccbr,2006,2005,2,315
aaai,iccbr,2007,1995,1,42
aaai,iccbr,2007,1997,1,59
aaai,iccbr,2008,2001,1,115
aaai,iccbr,2008,2005,2,308
aaai,iccbr,2008,2007,1,364
aaai,iccbr,2010,2009,2,318
aaai,iccbr,2011,2009,1,264
aaai,iccbr,2011,2010,1,294
aaai,iccbr,2012,2005,1,115
aaai,iccbr,2012,2009,1,246
aaai,iccbr,2012,2010,1,263
aaai,iccbr,2013,2003,1,81
aaai,iccbr,2013,2009,1,198
aaai,iccbr,2014,2003,1,85
aaai,iccbr,2014,2005,1,116
aaai,iccbr,2014,2011,1,279
aaai,iccbr,2014,2013,1,324
