from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aaai,iccv,1990,1988,1,62
aaai,iccv,1996,1990,1,44
aaai,iccv,1997,1995,1,77
aaai,iccv,1999,1995,1,82
aaai,iccv,1999,1998,1,131
aaai,iccv,2001,1999,1,11
aaai,iccv,2002,1995,1,64
aaai,iccv,2002,1998,1,100
aaai,iccv,2002,1999,3,151
aaai,iccv,2004,1995,1,43
aaai,iccv,2004,1999,3,82
aaai,iccv,2004,2001,1,108
aaai,iccv,2004,2003,1,154
aaai,iccv,2005,1999,2,108
aaai,iccv,2005,2003,1,245
aaai,iccv,2006,1995,1,62
aaai,iccv,2006,1999,3,88
aaai,iccv,2006,2003,2,197
aaai,iccv,2006,2005,3,315
aaai,iccv,2007,1998,1,70
aaai,iccv,2007,1999,2,89
aaai,iccv,2007,2003,4,166
aaai,iccv,2007,2005,3,289
aaai,iccv,2008,1993,1,33
aaai,iccv,2008,1999,3,89
aaai,iccv,2008,2001,1,115
aaai,iccv,2008,2003,5,186
aaai,iccv,2008,2005,6,308
aaai,iccv,2008,2007,3,364
aaai,iccv,2010,1998,1,58
aaai,iccv,2010,2001,1,77
aaai,iccv,2010,2003,3,132
aaai,iccv,2010,2005,4,183
aaai,iccv,2010,2007,3,276
aaai,iccv,2010,2009,4,318
aaai,iccv,2011,1998,1,45
aaai,iccv,2011,1999,1,58
aaai,iccv,2011,2001,1,75
aaai,iccv,2011,2003,1,109
aaai,iccv,2011,2007,4,176
aaai,iccv,2011,2009,2,264
aaai,iccv,2012,2003,2,100
aaai,iccv,2012,2007,1,170
aaai,iccv,2012,2009,10,246
aaai,iccv,2012,2011,6,253
aaai,iccv,2013,1995,2,32
aaai,iccv,2013,1999,2,37
aaai,iccv,2013,2001,1,66
aaai,iccv,2013,2003,1,81
aaai,iccv,2013,2007,1,160
aaai,iccv,2013,2009,2,198
aaai,iccv,2013,2011,3,245
aaai,iccv,2014,1999,1,40
aaai,iccv,2014,2003,2,85
aaai,iccv,2014,2005,1,116
aaai,iccv,2014,2007,4,148
aaai,iccv,2014,2009,4,204
aaai,iccv,2014,2011,8,279
aaai,iccv,2014,2013,7,324
aaai,iccv,2015,1998,1,16
aaai,iccv,2015,2003,1,35
aaai,iccv,2015,2005,1,62
aaai,iccv,2015,2009,1,112
aaai,iccv,2015,2011,3,153
aaai,iccv,2015,2013,7,210
