from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aaai,icdar,1997,1995,1,77
aaai,icdar,1998,1997,1,187
aaai,icdar,2005,1995,1,61
aaai,icdar,2006,1995,1,62
aaai,icdar,2006,1997,1,70
aaai,icdar,2006,2001,1,122
aaai,icdar,2007,1993,1,23
aaai,icdar,2007,2003,1,166
aaai,icdar,2007,2005,1,289
aaai,icdar,2008,1995,1,63
aaai,icdar,2008,2001,1,115
aaai,icdar,2011,1993,1,20
aaai,icdar,2012,1995,1,16
aaai,icdar,2012,1997,1,34
aaai,icdar,2012,2001,1,60
aaai,icdar,2012,2007,1,170
aaai,icdar,2012,2009,1,246
aaai,icdar,2012,2011,2,253
aaai,icdar,2014,2011,1,279
aaai,icdar,2014,2013,2,324
