from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aaai,icml,1990,1987,2,76
aaai,icml,1990,1988,5,62
aaai,icml,1990,1989,13,104
aaai,icml,1991,1987,1,33
aaai,icml,1991,1989,3,47
aaai,icml,1991,1990,1,46
aaai,icml,1992,1988,3,23
aaai,icml,1992,1990,2,60
aaai,icml,1992,1991,4,50
aaai,icml,1993,1988,2,26
aaai,icml,1993,1991,1,49
aaai,icml,1993,1992,1,52
aaai,icml,1994,1987,2,37
aaai,icml,1994,1988,4,28
aaai,icml,1994,1989,1,54
aaai,icml,1994,1990,1,70
aaai,icml,1994,1991,3,83
aaai,icml,1994,1992,6,96
aaai,icml,1994,1993,5,105
aaai,icml,1996,1987,1,28
aaai,icml,1996,1989,2,33
aaai,icml,1996,1990,1,44
aaai,icml,1996,1991,2,59
aaai,icml,1996,1992,2,76
aaai,icml,1996,1994,5,108
aaai,icml,1996,1995,4,111
aaai,icml,1997,1990,2,31
aaai,icml,1997,1992,2,46
aaai,icml,1997,1994,1,65
aaai,icml,1997,1995,2,77
aaai,icml,1997,1996,3,83
aaai,icml,1998,1990,1,66
aaai,icml,1998,1994,2,107
aaai,icml,1998,1995,3,124
aaai,icml,1998,1996,2,159
aaai,icml,1998,1997,8,187
aaai,icml,1999,1992,1,51
aaai,icml,1999,1993,2,52
aaai,icml,1999,1994,4,73
aaai,icml,1999,1995,5,82
aaai,icml,1999,1996,2,88
aaai,icml,1999,1997,3,110
aaai,icml,1999,1998,2,131
aaai,icml,2000,1991,2,37
aaai,icml,2000,1992,1,49
aaai,icml,2000,1993,1,50
aaai,icml,2000,1995,4,82
aaai,icml,2000,1996,1,95
aaai,icml,2000,1997,1,114
aaai,icml,2000,1998,4,145
aaai,icml,2002,1988,1,15
aaai,icml,2002,1991,1,25
aaai,icml,2002,1992,1,35
aaai,icml,2002,1993,3,36
aaai,icml,2002,1994,1,64
aaai,icml,2002,1995,4,64
aaai,icml,2002,1996,3,86
aaai,icml,2002,1997,6,91
aaai,icml,2002,1998,7,100
aaai,icml,2002,1999,3,151
aaai,icml,2002,2000,5,160
aaai,icml,2002,2001,2,180
aaai,icml,2004,1994,1,57
aaai,icml,2004,1995,1,43
aaai,icml,2004,1996,3,59
aaai,icml,2004,1998,1,74
aaai,icml,2004,1999,2,82
aaai,icml,2004,2000,6,105
aaai,icml,2004,2001,5,108
aaai,icml,2004,2002,6,120
aaai,icml,2004,2003,6,154
aaai,icml,2005,1992,1,39
aaai,icml,2005,1993,1,45
aaai,icml,2005,1994,3,56
aaai,icml,2005,1995,3,61
aaai,icml,2005,1997,2,89
aaai,icml,2005,1998,6,88
aaai,icml,2005,1999,4,108
aaai,icml,2005,2000,5,123
aaai,icml,2005,2001,9,174
aaai,icml,2005,2002,6,180
aaai,icml,2005,2003,11,245
aaai,icml,2005,2004,8,271
aaai,icml,2006,1988,1,17
aaai,icml,2006,1991,1,45
aaai,icml,2006,1992,1,34
aaai,icml,2006,1993,2,36
aaai,icml,2006,1994,2,60
aaai,icml,2006,1995,6,62
aaai,icml,2006,1996,1,59
aaai,icml,2006,1997,4,70
aaai,icml,2006,1998,7,83
aaai,icml,2006,1999,3,88
aaai,icml,2006,2000,8,106
aaai,icml,2006,2001,4,122
aaai,icml,2006,2002,6,183
aaai,icml,2006,2003,8,197
aaai,icml,2006,2004,12,253
aaai,icml,2006,2005,14,315
aaai,icml,2007,1989,1,19
aaai,icml,2007,1992,2,32
aaai,icml,2007,1994,1,43
