from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aaai,icpr,1993,1990,1,27
aaai,icpr,1997,1990,1,31
aaai,icpr,1997,1996,1,83
aaai,icpr,2002,1996,1,86
aaai,icpr,2002,1998,1,100
aaai,icpr,2004,2002,1,120
aaai,icpr,2005,2000,1,123
aaai,icpr,2005,2002,1,180
aaai,icpr,2005,2004,2,271
aaai,icpr,2006,1984,1,6
aaai,icpr,2006,2004,1,253
aaai,icpr,2007,1998,1,70
aaai,icpr,2007,2006,1,298
aaai,icpr,2008,2004,2,200
aaai,icpr,2008,2006,1,267
aaai,icpr,2010,2004,1,160
aaai,icpr,2010,2006,2,202
aaai,icpr,2011,2004,1,134
aaai,icpr,2011,2010,1,294
aaai,icpr,2013,2002,1,77
aaai,icpr,2013,2004,1,94
aaai,icpr,2014,1994,1,31
aaai,icpr,2014,2004,1,96
aaai,icpr,2014,2010,1,266
aaai,icpr,2014,2012,3,340
aaai,icpr,2015,1990,1,5
aaai,icpr,2015,2006,1,49
aaai,icpr,2015,2010,1,155
