from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aaai,ijcai,1980,1973,1,2
aaai,ijcai,1980,1975,2,2
aaai,ijcai,1980,1977,7,11
aaai,ijcai,1980,1979,4,8
aaai,ijcai,1981,1977,1,4
aaai,ijcai,1982,1971,2,2
aaai,ijcai,1982,1973,1,2
aaai,ijcai,1982,1977,2,5
aaai,ijcai,1982,1978,1,9
aaai,ijcai,1982,1979,5,10
aaai,ijcai,1982,1981,8,23
aaai,ijcai,1983,1971,1,1
aaai,ijcai,1983,1977,5,9
aaai,ijcai,1983,1979,1,8
aaai,ijcai,1983,1981,2,13
aaai,ijcai,1984,1971,1,1
aaai,ijcai,1984,1973,1,3
aaai,ijcai,1984,1975,2,3
aaai,ijcai,1984,1977,2,3
aaai,ijcai,1984,1978,1,6
aaai,ijcai,1984,1979,2,3
aaai,ijcai,1984,1981,3,7
aaai,ijcai,1984,1983,7,24
aaai,ijcai,1986,1971,2,3
aaai,ijcai,1986,1973,2,3
aaai,ijcai,1986,1975,3,5
aaai,ijcai,1986,1977,4,9
aaai,ijcai,1986,1979,5,11
aaai,ijcai,1986,1981,11,25
aaai,ijcai,1986,1983,5,35
aaai,ijcai,1986,1985,21,56
aaai,ijcai,1987,1969,2,4
aaai,ijcai,1987,1971,1,2
aaai,ijcai,1987,1973,1,3
aaai,ijcai,1987,1975,1,6
aaai,ijcai,1987,1977,5,10
aaai,ijcai,1987,1979,1,9
aaai,ijcai,1987,1981,6,24
aaai,ijcai,1987,1983,11,37
aaai,ijcai,1987,1985,31,65
aaai,ijcai,1988,1975,1,5
aaai,ijcai,1988,1977,1,3
aaai,ijcai,1988,1981,2,6
aaai,ijcai,1988,1983,2,11
aaai,ijcai,1988,1985,3,15
aaai,ijcai,1988,1987,3,21
aaai,ijcai,1989,1985,3,3
aaai,ijcai,1990,1969,2,3
aaai,ijcai,1990,1971,1,4
aaai,ijcai,1990,1975,1,4
aaai,ijcai,1990,1977,3,10
aaai,ijcai,1990,1979,1,7
aaai,ijcai,1990,1981,2,10
aaai,ijcai,1990,1983,7,25
aaai,ijcai,1990,1985,14,34
aaai,ijcai,1990,1987,13,76
aaai,ijcai,1990,1989,36,104
aaai,ijcai,1991,1973,2,6
aaai,ijcai,1991,1977,2,8
aaai,ijcai,1991,1981,1,7
aaai,ijcai,1991,1983,1,10
aaai,ijcai,1991,1985,6,16
