from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aaai,ilp,1992,1991,1,50
aaai,ilp,1993,1992,1,52
aaai,ilp,1994,1993,1,105
aaai,ilp,1999,1997,1,110
aaai,ilp,1999,1998,1,131
aaai,ilp,2000,1994,1,81
aaai,ilp,2000,1996,1,95
aaai,ilp,2002,1999,2,151
aaai,ilp,2005,1995,1,61
aaai,ilp,2005,1996,1,74
aaai,ilp,2005,1997,2,89
aaai,ilp,2005,2001,1,174
aaai,ilp,2005,2002,2,180
aaai,ilp,2006,1996,1,59
aaai,ilp,2006,2001,1,122
aaai,ilp,2006,2004,1,253
aaai,ilp,2007,1996,1,50
aaai,ilp,2007,2002,1,130
aaai,ilp,2007,2005,1,289
aaai,ilp,2008,1998,2,80
aaai,ilp,2008,1999,1,89
aaai,ilp,2008,2005,1,308
aaai,ilp,2008,2007,1,364
aaai,ilp,2010,1999,1,89
aaai,ilp,2010,2007,1,276
aaai,ilp,2010,2008,1,302
aaai,ilp,2011,2008,1,213
aaai,ilp,2012,1996,1,22
aaai,ilp,2012,2007,1,170
aaai,ilp,2012,2009,1,246
aaai,ilp,2013,2008,2,173
aaai,ilp,2014,1996,1,30
aaai,ilp,2014,1998,1,44
aaai,ilp,2014,2008,2,170
aaai,ilp,2014,2010,1,266
aaai,ilp,2014,2011,1,279
aaai,ilp,2015,2009,1,112
aaai,ilp,2015,2010,1,155
