from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aaai,ml,1987,1982,1,23
aaai,ml,1987,1986,4,71
aaai,ml,1988,1986,1,12
aaai,ml,1990,1986,4,52
aaai,ml,1990,1987,2,76
aaai,ml,1990,1989,7,104
aaai,ml,1991,1986,1,23
aaai,ml,1991,1988,2,36
aaai,ml,1991,1989,2,47
aaai,ml,1992,1986,2,13
aaai,ml,1992,1987,2,31
aaai,ml,1992,1989,3,34
aaai,ml,1992,1990,5,60
aaai,ml,1993,1986,4,14
aaai,ml,1993,1987,1,24
aaai,ml,1993,1989,1,21
aaai,ml,1993,1990,1,27
aaai,ml,1993,1991,2,49
aaai,ml,1993,1992,1,52
aaai,ml,1994,1986,2,27
aaai,ml,1994,1988,1,28
aaai,ml,1994,1989,4,54
aaai,ml,1994,1990,4,70
aaai,ml,1994,1991,1,83
aaai,ml,1994,1992,4,96
aaai,ml,1994,1993,1,105
aaai,ml,1996,1986,3,21
aaai,ml,1996,1988,1,26
aaai,ml,1996,1989,1,33
aaai,ml,1996,1991,1,59
aaai,ml,1996,1992,1,76
aaai,ml,1996,1993,4,83
aaai,ml,1996,1995,3,111
aaai,ml,1997,1986,1,12
aaai,ml,1997,1988,2,21
aaai,ml,1997,1989,1,19
aaai,ml,1997,1990,1,31
aaai,ml,1997,1992,1,46
aaai,ml,1997,1993,1,44
aaai,ml,1997,1994,1,65
aaai,ml,1998,1986,2,17
aaai,ml,1998,1987,1,35
aaai,ml,1998,1988,1,25
aaai,ml,1998,1990,3,66
aaai,ml,1998,1991,2,73
aaai,ml,1998,1992,1,74
aaai,ml,1998,1993,4,66
aaai,ml,1998,1995,3,124
aaai,ml,1998,1996,2,159
aaai,ml,1998,1997,3,187
aaai,ml,1999,1986,1,10
aaai,ml,1999,1987,1,19
aaai,ml,1999,1988,1,27
aaai,ml,1999,1989,1,19
aaai,ml,1999,1990,3,39
aaai,ml,1999,1991,2,38
aaai,ml,1999,1993,1,52
aaai,ml,1999,1994,2,73
aaai,ml,1999,1995,2,82
aaai,ml,1999,1996,1,88
aaai,ml,1999,1998,4,131
aaai,ml,2000,1986,1,16
aaai,ml,2000,1987,2,20
aaai,ml,2000,1988,2,10
aaai,ml,2000,1989,1,29
aaai,ml,2000,1990,2,27
aaai,ml,2000,1991,1,37
aaai,ml,2000,1992,2,49
