from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aamas,aaai,1997,1987,4,21
aamas,aaai,1997,1988,2,10
aamas,aaai,1997,1990,3,26
aamas,aaai,1997,1991,3,30
aamas,aaai,1997,1992,6,39
aamas,aaai,1997,1993,2,33
aamas,aaai,1997,1994,16,58
aamas,aaai,1997,1996,7,41
aamas,aaai,1998,1984,1,3
aamas,aaai,1998,1987,3,13
aamas,aaai,1998,1988,3,7
aamas,aaai,1998,1990,3,27
aamas,aaai,1998,1991,2,25
aamas,aaai,1998,1992,2,26
aamas,aaai,1998,1993,5,29
aamas,aaai,1998,1994,7,28
aamas,aaai,1998,1996,17,59
aamas,aaai,1998,1997,8,94
aamas,aaai,1999,1990,1,7
aamas,aaai,1999,1992,1,10
aamas,aaai,1999,1993,2,14
aamas,aaai,1999,1994,2,17
aamas,aaai,1999,1996,3,16
aamas,aaai,1999,1997,2,31
aamas,aaai,1999,1998,1,14
aamas,aaai,2000,1983,1,5
aamas,aaai,2000,1984,2,6
aamas,aaai,2000,1987,4,15
aamas,aaai,2000,1988,2,10
aamas,aaai,2000,1990,2,20
aamas,aaai,2000,1991,6,29
aamas,aaai,2000,1992,2,31
aamas,aaai,2000,1993,3,24
aamas,aaai,2000,1994,7,43
aamas,aaai,2000,1996,5,54
aamas,aaai,2000,1997,11,94
aamas,aaai,2000,1998,14,105
aamas,aaai,2000,1999,7,93
aamas,aaai,2001,1984,1,2
aamas,aaai,2001,1987,2,12
aamas,aaai,2001,1988,2,11
aamas,aaai,2001,1990,4,16
aamas,aaai,2001,1991,1,20
aamas,aaai,2001,1992,1,14
aamas,aaai,2001,1993,2,31
aamas,aaai,2001,1994,5,27
aamas,aaai,2001,1996,6,41
aamas,aaai,2001,1997,8,68
aamas,aaai,2001,1998,14,101
aamas,aaai,2001,1999,7,83
aamas,aaai,2001,2000,3,94
aamas,aaai,2002,1983,1,13
aamas,aaai,2002,1984,2,6
aamas,aaai,2002,1986,1,20
aamas,aaai,2002,1987,2,21
aamas,aaai,2002,1988,2,24
aamas,aaai,2002,1990,3,30
aamas,aaai,2002,1991,2,47
aamas,aaai,2002,1992,3,40
aamas,aaai,2002,1993,4,45
aamas,aaai,2002,1994,8,51
aamas,aaai,2002,1996,12,79
aamas,aaai,2002,1997,6,108
aamas,aaai,2002,1998,10,136
aamas,aaai,2002,1999,6,137
aamas,aaai,2002,2000,14,170
aamas,aaai,2002,2001,2,176
aamas,aaai,2003,1983,2,6
aamas,aaai,2003,1984,1,8
aamas,aaai,2003,1986,2,13
aamas,aaai,2003,1987,3,19
aamas,aaai,2003,1988,3,15
aamas,aaai,2003,1990,9,32
aamas,aaai,2003,1991,4,38
aamas,aaai,2003,1992,4,40
aamas,aaai,2003,1993,5,36
aamas,aaai,2003,1994,9,42
aamas,aaai,2003,1996,8,57
aamas,aaai,2003,1997,1,80
aamas,aaai,2003,1998,6,100
aamas,aaai,2003,1999,4,98
aamas,aaai,2003,2000,9,134
aamas,aaai,2003,2002,7,182
aamas,aaai,2004,1983,1,14
aamas,aaai,2004,1984,1,6
aamas,aaai,2004,1986,5,20
aamas,aaai,2004,1987,2,22
aamas,aaai,2004,1988,3,20
aamas,aaai,2004,1990,3,26
aamas,aaai,2004,1991,3,31
aamas,aaai,2004,1992,4,30
aamas,aaai,2004,1993,3,34
aamas,aaai,2004,1994,13,55
aamas,aaai,2004,1996,9,66
aamas,aaai,2004,1997,6,80
aamas,aaai,2004,1998,10,102
aamas,aaai,2004,1999,7,135
aamas,aaai,2004,2000,6,132
aamas,aaai,2004,2002,11,201
aamas,aaai,2005,1980,1,3
aamas,aaai,2005,1987,2,22
aamas,aaai,2005,1988,1,19
aamas,aaai,2005,1990,2,23
aamas,aaai,2005,1991,4,38
aamas,aaai,2005,1992,3,38
aamas,aaai,2005,1993,3,44
aamas,aaai,2005,1994,13,63
aamas,aaai,2005,1996,11,68
aamas,aaai,2005,1997,4,90
aamas,aaai,2005,1998,8,115
aamas,aaai,2005,1999,4,109
aamas,aaai,2005,2000,10,126
aamas,aaai,2005,2002,8,182
aamas,aaai,2005,2004,9,242
aamas,aaai,2006,1986,1,11
aamas,aaai,2006,1987,1,15
aamas,aaai,2006,1988,2,11
aamas,aaai,2006,1990,3,30
aamas,aaai,2006,1991,2,33
aamas,aaai,2006,1992,2,37
aamas,aaai,2006,1993,3,37
aamas,aaai,2006,1994,9,60
aamas,aaai,2006,1996,4,61
aamas,aaai,2006,1997,4,79
aamas,aaai,2006,1998,4,98
aamas,aaai,2006,1999,10,107
aamas,aaai,2006,2000,10,122
aamas,aaai,2006,2002,8,177
aamas,aaai,2006,2004,14,253
aamas,aaai,2006,2005,20,243
aamas,aaai,2007,1987,2,15
aamas,aaai,2007,1988,4,15
aamas,aaai,2007,1990,4,25
aamas,aaai,2007,1991,3,25
aamas,aaai,2007,1992,2,36
aamas,aaai,2007,1993,2,30
aamas,aaai,2007,1994,8,52
aamas,aaai,2007,1996,5,56
aamas,aaai,2007,1998,4,96
aamas,aaai,2007,1999,6,104
aamas,aaai,2007,2000,7,104
aamas,aaai,2007,2002,11,155
aamas,aaai,2007,2004,10,215
aamas,aaai,2007,2005,23,266
aamas,aaai,2007,2006,22,211
aamas,aaai,2008,1987,1,12
aamas,aaai,2008,1988,1,16
aamas,aaai,2008,1990,1,20
aamas,aaai,2008,1992,2,37
aamas,aaai,2008,1993,3,36
aamas,aaai,2008,1994,3,39
aamas,aaai,2008,1996,3,58
aamas,aaai,2008,1997,2,54
aamas,aaai,2008,1998,4,72
aamas,aaai,2008,1999,5,93
aamas,aaai,2008,2000,6,93
aamas,aaai,2008,2002,6,171
aamas,aaai,2008,2004,7,216
aamas,aaai,2008,2005,17,260
aamas,aaai,2008,2006,25,295
aamas,aaai,2008,2007,21,292
aamas,aaai,2009,1986,1,9
aamas,aaai,2009,1987,1,18
aamas,aaai,2009,1988,2,16
aamas,aaai,2009,1990,2,27
aamas,aaai,2009,1991,2,32
aamas,aaai,2009,1992,2,30
aamas,aaai,2009,1994,2,34
aamas,aaai,2009,1996,7,45
aamas,aaai,2009,1997,2,44
aamas,aaai,2009,1998,6,67
aamas,aaai,2009,1999,4,77
aamas,aaai,2009,2000,5,87
aamas,aaai,2009,2002,8,116
aamas,aaai,2009,2004,5,177
aamas,aaai,2009,2005,15,197
aamas,aaai,2009,2006,12,188
aamas,aaai,2009,2007,18,219
aamas,aaai,2009,2008,9,192
aamas,aaai,2010,1986,1,8
aamas,aaai,2010,1987,1,14
aamas,aaai,2010,1988,1,12
aamas,aaai,2010,1990,1,15
aamas,aaai,2010,1991,1,22
aamas,aaai,2010,1992,2,26
aamas,aaai,2010,1993,1,18
aamas,aaai,2010,1994,2,29
aamas,aaai,2010,1996,1,23
aamas,aaai,2010,1997,1,45
aamas,aaai,2010,1998,1,48
aamas,aaai,2010,1999,1,61
aamas,aaai,2010,2000,3,68
aamas,aaai,2010,2002,2,101
aamas,aaai,2010,2004,4,125
aamas,aaai,2010,2005,9,149
aamas,aaai,2010,2006,10,151
aamas,aaai,2010,2007,12,190
aamas,aaai,2010,2008,12,178
aamas,aaai,2011,1986,1,16
aamas,aaai,2011,1987,2,10
aamas,aaai,2011,1988,3,8
aamas,aaai,2011,1990,3,23
aamas,aaai,2011,1992,2,23
aamas,aaai,2011,1993,3,20
aamas,aaai,2011,1994,3,38
aamas,aaai,2011,1996,2,38
aamas,aaai,2011,1997,3,53
aamas,aaai,2011,1998,3,61
aamas,aaai,2011,2000,3,73
aamas,aaai,2011,2002,7,106
aamas,aaai,2011,2004,8,150
aamas,aaai,2011,2005,5,134
aamas,aaai,2011,2006,9,179
aamas,aaai,2011,2007,13,204
aamas,aaai,2011,2008,10,202
