from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aamas,acl,2000,1999,1,93
aamas,acl,2002,1988,1,24
aamas,acl,2002,1991,2,47
aamas,acl,2002,1994,1,51
aamas,acl,2003,1990,1,32
aamas,acl,2003,1994,1,42
aamas,acl,2004,1990,1,26
aamas,acl,2004,2001,1,167
aamas,acl,2005,1991,1,38
aamas,acl,2005,1994,1,63
aamas,acl,2005,2002,1,182
aamas,acl,2005,2003,2,214
aamas,acl,2007,1990,1,25
aamas,acl,2007,1994,1,52
aamas,acl,2008,1998,1,72
aamas,acl,2008,2000,1,93
aamas,acl,2008,2003,1,167
aamas,acl,2008,2004,1,216
aamas,acl,2009,2001,1,117
aamas,acl,2009,2003,1,139
aamas,acl,2009,2005,1,197
aamas,acl,2011,1994,1,38
aamas,acl,2011,2000,1,73
aamas,acl,2011,2001,1,88
aamas,acl,2013,2005,1,120
aamas,acl,2013,2007,1,175
aamas,acl,2013,2012,1,159
aamas,acl,2014,1994,1,22
aamas,acl,2014,2013,1,138
aamas,acl,2015,2011,1,242
