from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aamas,cvpr,2001,1998,1,101
aamas,cvpr,2002,1999,2,137
aamas,cvpr,2002,2000,1,170
aamas,cvpr,2003,2001,1,153
aamas,cvpr,2004,1991,1,31
aamas,cvpr,2005,1997,1,90
aamas,cvpr,2005,2004,1,242
aamas,cvpr,2006,1994,1,60
aamas,cvpr,2006,2003,1,204
aamas,cvpr,2007,2001,1,127
aamas,cvpr,2007,2005,1,266
aamas,cvpr,2007,2006,1,211
aamas,cvpr,2008,2005,1,260
aamas,cvpr,2008,2006,1,295
aamas,cvpr,2009,2008,1,192
aamas,cvpr,2010,2006,2,151
aamas,cvpr,2010,2009,1,180
aamas,cvpr,2012,1986,1,13
aamas,cvpr,2012,1994,1,35
aamas,cvpr,2012,1997,1,50
aamas,cvpr,2012,2005,1,137
aamas,cvpr,2012,2009,2,202
aamas,cvpr,2013,1996,1,33
aamas,cvpr,2013,2001,1,65
aamas,cvpr,2013,2004,1,115
aamas,cvpr,2013,2005,1,120
aamas,cvpr,2014,2004,1,89
aamas,cvpr,2014,2005,2,115
aamas,cvpr,2014,2012,1,155
aamas,cvpr,2015,1983,1,11
aamas,cvpr,2015,2005,1,128
aamas,cvpr,2015,2011,1,242
aamas,cvpr,2015,2013,1,268
