from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aamas,ecai,1997,1992,2,39
aamas,ecai,1997,1996,1,41
aamas,ecai,1998,1994,1,28
aamas,ecai,2000,1990,1,20
aamas,ecai,2000,1992,1,31
aamas,ecai,2000,1996,1,54
aamas,ecai,2000,1998,2,105
aamas,ecai,2001,1998,1,101
aamas,ecai,2001,2000,3,94
aamas,ecai,2002,1990,2,30
aamas,ecai,2002,1992,1,40
aamas,ecai,2002,1994,1,51
aamas,ecai,2002,1996,1,79
aamas,ecai,2002,2000,3,170
aamas,ecai,2003,1988,1,15
aamas,ecai,2003,1995,1,68
aamas,ecai,2003,1996,1,57
aamas,ecai,2003,1998,2,100
aamas,ecai,2003,2000,3,134
aamas,ecai,2003,2001,1,153
aamas,ecai,2003,2002,3,182
aamas,ecai,2004,1994,1,55
aamas,ecai,2004,1996,2,66
aamas,ecai,2004,1998,1,102
aamas,ecai,2004,2000,5,132
aamas,ecai,2004,2002,6,201
aamas,ecai,2005,1988,1,19
aamas,ecai,2005,1992,1,38
aamas,ecai,2005,1994,1,63
aamas,ecai,2005,1996,2,68
aamas,ecai,2005,1998,1,115
aamas,ecai,2005,2000,2,126
aamas,ecai,2005,2002,2,182
aamas,ecai,2005,2004,6,242
aamas,ecai,2006,2000,1,122
aamas,ecai,2006,2002,4,177
aamas,ecai,2006,2004,2,253
aamas,ecai,2006,2005,1,243
aamas,ecai,2007,1996,1,56
aamas,ecai,2007,1998,2,96
aamas,ecai,2007,2000,2,104
aamas,ecai,2007,2002,3,155
aamas,ecai,2007,2003,1,180
aamas,ecai,2007,2004,2,215
aamas,ecai,2007,2005,1,266
aamas,ecai,2007,2006,6,211
aamas,ecai,2008,1998,1,72
aamas,ecai,2008,2000,1,93
aamas,ecai,2008,2002,2,171
aamas,ecai,2008,2004,4,216
aamas,ecai,2008,2005,1,260
aamas,ecai,2008,2006,6,295
aamas,ecai,2009,1994,1,34
aamas,ecai,2009,1998,1,67
aamas,ecai,2009,2000,3,87
aamas,ecai,2009,2002,3,116
aamas,ecai,2009,2004,3,177
aamas,ecai,2009,2005,1,197
aamas,ecai,2009,2006,2,188
aamas,ecai,2009,2008,3,192
aamas,ecai,2010,1996,1,23
aamas,ecai,2010,2002,1,101
aamas,ecai,2010,2004,1,125
aamas,ecai,2010,2006,2,151
aamas,ecai,2010,2008,5,178
aamas,ecai,2011,1994,1,38
aamas,ecai,2011,1998,1,61
aamas,ecai,2011,2000,1,73
aamas,ecai,2011,2002,2,106
aamas,ecai,2011,2006,2,179
aamas,ecai,2011,2008,4,202
aamas,ecai,2011,2010,4,169
aamas,ecai,2012,1998,2,74
aamas,ecai,2012,2000,1,69
aamas,ecai,2012,2004,1,129
aamas,ecai,2012,2006,5,160
aamas,ecai,2012,2008,5,191
aamas,ecai,2012,2010,4,204
aamas,ecai,2013,1996,1,33
aamas,ecai,2013,1998,1,39
aamas,ecai,2013,2000,1,65
aamas,ecai,2013,2002,1,87
aamas,ecai,2013,2003,1,114
aamas,ecai,2013,2004,1,115
aamas,ecai,2013,2006,2,154
aamas,ecai,2013,2008,3,171
aamas,ecai,2013,2010,9,226
aamas,ecai,2014,1992,1,21
aamas,ecai,2014,1994,1,22
aamas,ecai,2014,1997,1,27
aamas,ecai,2014,2002,1,68
aamas,ecai,2014,2005,1,115
aamas,ecai,2014,2008,3,140
aamas,ecai,2014,2010,12,188
aamas,ecai,2015,1996,1,38
aamas,ecai,2015,2002,2,94
aamas,ecai,2015,2004,2,127
aamas,ecai,2015,2006,2,159
aamas,ecai,2015,2008,6,197
aamas,ecai,2015,2010,4,257
aamas,ecai,2015,2014,2,190
