from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aamas,gecco,2001,1996,1,41
aamas,gecco,2002,2001,2,176
aamas,gecco,2003,2002,2,182
aamas,gecco,2004,2000,2,132
aamas,gecco,2004,2001,1,167
aamas,gecco,2005,1996,2,68
aamas,gecco,2005,2000,1,126
aamas,gecco,2005,2001,5,158
aamas,gecco,2005,2002,2,182
aamas,gecco,2005,2003,2,214
aamas,gecco,2005,2004,2,242
aamas,gecco,2006,2000,1,122
aamas,gecco,2006,2001,1,146
aamas,gecco,2006,2003,1,204
aamas,gecco,2006,2004,2,253
aamas,gecco,2006,2005,5,243
aamas,gecco,2007,2001,1,127
aamas,gecco,2007,2004,1,215
aamas,gecco,2007,2005,1,266
aamas,gecco,2007,2006,2,211
aamas,gecco,2008,1999,1,93
aamas,gecco,2008,2001,1,147
aamas,gecco,2008,2003,1,167
aamas,gecco,2008,2004,1,216
aamas,gecco,2008,2006,1,295
aamas,gecco,2008,2007,2,292
aamas,gecco,2009,2002,1,116
aamas,gecco,2009,2003,1,139
aamas,gecco,2009,2004,1,177
aamas,gecco,2010,2001,1,85
aamas,gecco,2010,2003,2,122
aamas,gecco,2010,2004,1,125
aamas,gecco,2010,2005,1,149
aamas,gecco,2010,2006,1,151
aamas,gecco,2010,2007,1,190
aamas,gecco,2010,2008,2,178
aamas,gecco,2011,1996,1,38
aamas,gecco,2011,2008,3,202
aamas,gecco,2011,2009,1,199
aamas,gecco,2011,2010,1,169
aamas,gecco,2012,2003,1,117
aamas,gecco,2012,2004,1,129
aamas,gecco,2012,2005,1,137
aamas,gecco,2012,2007,1,158
aamas,gecco,2012,2008,1,191
aamas,gecco,2012,2010,2,204
aamas,gecco,2012,2011,1,173
aamas,gecco,2013,2010,1,226
aamas,gecco,2014,2002,1,68
aamas,gecco,2014,2005,1,115
aamas,gecco,2014,2006,2,132
aamas,gecco,2014,2008,1,140
aamas,gecco,2014,2009,1,189
aamas,gecco,2014,2010,4,188
aamas,gecco,2014,2012,2,155
aamas,gecco,2014,2013,1,138
aamas,gecco,2015,1996,1,38
aamas,gecco,2015,1999,1,60
aamas,gecco,2015,2003,1,108
aamas,gecco,2015,2007,1,163
aamas,gecco,2015,2008,2,197
aamas,gecco,2015,2011,1,242
aamas,gecco,2015,2013,1,268
aamas,gecco,2015,2014,1,190
