from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aamas,icaps,2006,2003,1,204
aamas,icaps,2006,2005,1,243
aamas,icaps,2007,2005,2,266
aamas,icaps,2009,2008,2,192
aamas,icaps,2010,2006,1,151
aamas,icaps,2010,2007,1,190
aamas,icaps,2010,2009,2,180
aamas,icaps,2011,2005,1,134
aamas,icaps,2011,2008,2,202
aamas,icaps,2011,2009,2,199
aamas,icaps,2011,2010,3,169
aamas,icaps,2012,2005,1,137
aamas,icaps,2012,2010,1,204
aamas,icaps,2013,2008,1,171
aamas,icaps,2013,2009,1,219
aamas,icaps,2013,2010,4,226
aamas,icaps,2013,2011,2,217
aamas,icaps,2014,2008,2,140
aamas,icaps,2014,2009,1,189
aamas,icaps,2014,2010,1,188
aamas,icaps,2014,2011,1,168
aamas,icaps,2014,2012,2,155
aamas,icaps,2014,2013,1,138
aamas,icaps,2015,2007,1,163
aamas,icaps,2015,2010,2,257
aamas,icaps,2015,2011,2,242
aamas,icaps,2015,2013,1,268
aamas,icaps,2015,2014,2,190
