from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aamas,icml,1997,1990,1,26
aamas,icml,1997,1992,1,39
aamas,icml,1997,1993,1,33
aamas,icml,1997,1994,1,58
aamas,icml,1997,1995,3,85
aamas,icml,1997,1996,1,41
aamas,icml,1998,1995,2,58
aamas,icml,1998,1996,2,59
aamas,icml,1998,1997,2,94
aamas,icml,1999,1990,1,7
aamas,icml,1999,1994,1,17
aamas,icml,2000,1993,1,24
aamas,icml,2000,1994,2,43
aamas,icml,2000,1995,1,57
aamas,icml,2000,1997,1,94
aamas,icml,2000,1998,1,105
aamas,icml,2001,1993,1,31
aamas,icml,2001,1994,1,27
aamas,icml,2001,1996,2,41
aamas,icml,2001,1998,3,101
aamas,icml,2001,1999,2,83
aamas,icml,2002,1988,1,24
aamas,icml,2002,1994,1,51
aamas,icml,2002,1995,1,81
aamas,icml,2002,1996,3,79
aamas,icml,2002,1997,1,108
aamas,icml,2002,1998,2,136
aamas,icml,2002,1999,2,137
aamas,icml,2002,2000,4,170
aamas,icml,2002,2001,1,176
aamas,icml,2003,1990,1,32
aamas,icml,2003,1994,2,42
aamas,icml,2003,1995,3,68
aamas,icml,2003,1996,3,57
aamas,icml,2003,1998,4,100
aamas,icml,2003,1999,2,98
aamas,icml,2003,2000,5,134
aamas,icml,2003,2001,2,153
aamas,icml,2003,2002,1,182
aamas,icml,2004,1990,1,26
aamas,icml,2004,1992,1,30
aamas,icml,2004,1993,2,34
aamas,icml,2004,1994,3,55
aamas,icml,2004,1998,1,102
aamas,icml,2004,1999,2,135
aamas,icml,2004,2000,3,132
aamas,icml,2004,2001,3,167
aamas,icml,2004,2002,2,201
aamas,icml,2004,2003,2,223
aamas,icml,2005,1990,1,23
aamas,icml,2005,1992,1,38
aamas,icml,2005,1993,1,44
aamas,icml,2005,1994,3,63
aamas,icml,2005,1995,2,70
aamas,icml,2005,1996,1,68
aamas,icml,2005,1997,1,90
aamas,icml,2005,1998,4,115
aamas,icml,2005,1999,3,109
aamas,icml,2005,2000,3,126
aamas,icml,2005,2001,2,158
aamas,icml,2005,2002,2,182
aamas,icml,2005,2003,1,214
aamas,icml,2006,1990,1,30
aamas,icml,2006,1992,1,37
aamas,icml,2006,1993,1,37
aamas,icml,2006,1994,3,60
aamas,icml,2006,1995,1,59
aamas,icml,2006,1996,2,61
aamas,icml,2006,1997,1,79
aamas,icml,2006,1998,4,98
aamas,icml,2006,1999,2,107
aamas,icml,2006,2000,3,122
aamas,icml,2006,2001,3,146
aamas,icml,2006,2002,3,177
aamas,icml,2006,2003,6,204
aamas,icml,2006,2004,1,253
aamas,icml,2006,2005,4,243
aamas,icml,2007,1992,1,36
aamas,icml,2007,1994,4,52
aamas,icml,2007,1995,2,52
aamas,icml,2007,1996,2,56
aamas,icml,2007,1997,3,55
aamas,icml,2007,1998,4,96
aamas,icml,2007,1999,1,104
aamas,icml,2007,2000,4,104
aamas,icml,2007,2001,4,127
aamas,icml,2007,2002,1,155
aamas,icml,2007,2003,7,180
aamas,icml,2007,2004,7,215
aamas,icml,2007,2005,5,266
aamas,icml,2007,2006,4,211
aamas,icml,2008,1990,1,20
aamas,icml,2008,1992,1,37
aamas,icml,2008,1993,2,36
aamas,icml,2008,1994,1,39
aamas,icml,2008,1995,1,55
aamas,icml,2008,1997,2,54
aamas,icml,2008,1998,2,72
aamas,icml,2008,1999,3,93
aamas,icml,2008,2000,2,93
aamas,icml,2008,2001,2,147
aamas,icml,2008,2002,2,171
aamas,icml,2008,2003,1,167
aamas,icml,2008,2004,5,216
aamas,icml,2008,2005,5,260
aamas,icml,2008,2006,6,295
aamas,icml,2008,2007,1,292
aamas,icml,2009,1993,1,29
aamas,icml,2009,1994,2,34
aamas,icml,2009,1995,1,37
aamas,icml,2009,1998,5,67
aamas,icml,2009,1999,2,77
aamas,icml,2009,2000,6,87
aamas,icml,2009,2001,2,117
aamas,icml,2009,2002,2,116
aamas,icml,2009,2003,3,139
aamas,icml,2009,2005,2,197
aamas,icml,2009,2006,3,188
aamas,icml,2009,2007,1,219
aamas,icml,2009,2008,1,192
aamas,icml,2010,1990,1,15
aamas,icml,2010,1994,3,29
aamas,icml,2010,1995,2,46
aamas,icml,2010,1998,3,48
aamas,icml,2010,1999,2,61
aamas,icml,2010,2000,2,68
aamas,icml,2010,2001,1,85
aamas,icml,2010,2002,1,101
aamas,icml,2010,2003,5,122
aamas,icml,2010,2004,2,125
aamas,icml,2010,2005,4,149
aamas,icml,2010,2006,2,151
aamas,icml,2010,2007,4,190
aamas,icml,2010,2008,2,178
aamas,icml,2010,2009,1,180
aamas,icml,2011,1990,1,23
aamas,icml,2011,1994,1,38
aamas,icml,2011,1995,1,36
aamas,icml,2011,1997,1,53
aamas,icml,2011,1998,2,61
aamas,icml,2011,1999,2,65
aamas,icml,2011,2001,2,88
aamas,icml,2011,2003,4,141
aamas,icml,2011,2005,2,134
aamas,icml,2011,2006,1,179
aamas,icml,2011,2007,5,204
aamas,icml,2011,2008,3,202
aamas,icml,2011,2009,1,199
aamas,icml,2011,2010,2,169
aamas,icml,2012,1994,1,35
aamas,icml,2012,1995,1,43
aamas,icml,2012,1996,2,30
aamas,icml,2012,1998,3,74
aamas,icml,2012,1999,2,71
aamas,icml,2012,2000,3,69
aamas,icml,2012,2001,2,79
aamas,icml,2012,2002,2,101
aamas,icml,2012,2003,6,117
aamas,icml,2012,2004,2,129
