from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aamas,ictai,1997,1994,1,58
aamas,ictai,2000,1994,1,43
aamas,ictai,2002,2001,1,176
aamas,ictai,2006,1995,1,59
aamas,ictai,2006,2003,1,204
aamas,ictai,2007,2004,1,215
aamas,ictai,2008,1995,1,55
aamas,ictai,2008,2003,1,167
aamas,ictai,2008,2004,1,216
aamas,ictai,2009,1996,1,45
aamas,ictai,2009,2007,1,219
aamas,ictai,2010,2007,1,190
aamas,ictai,2011,2003,1,141
aamas,ictai,2011,2005,1,134
aamas,ictai,2011,2007,1,204
aamas,ictai,2011,2009,1,199
aamas,ictai,2012,2003,1,117
aamas,ictai,2012,2004,1,129
aamas,ictai,2012,2011,1,173
aamas,ictai,2013,2003,1,114
aamas,ictai,2013,2011,1,217
aamas,ictai,2014,2009,1,189
aamas,ictai,2015,2004,1,127
aamas,ictai,2015,2006,1,159
aamas,ictai,2015,2010,1,257
aamas,ictai,2015,2012,1,236
