from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aamas,kr,1997,1991,1,30
aamas,kr,1998,1989,1,15
aamas,kr,1998,1991,2,25
aamas,kr,1998,1994,1,28
aamas,kr,1998,1996,1,59
aamas,kr,1999,1992,1,10
aamas,kr,2000,1991,1,29
aamas,kr,2000,1992,2,31
aamas,kr,2001,1991,1,20
aamas,kr,2001,1994,1,27
aamas,kr,2001,1998,1,101
aamas,kr,2002,1991,5,47
aamas,kr,2002,1992,2,40
aamas,kr,2002,1996,1,79
aamas,kr,2002,1998,2,136
aamas,kr,2002,2000,2,170
aamas,kr,2003,1991,4,38
aamas,kr,2003,1992,2,40
aamas,kr,2003,1994,1,42
aamas,kr,2003,1997,1,80
aamas,kr,2003,1998,1,100
aamas,kr,2003,2000,1,134
aamas,kr,2003,2002,2,182
aamas,kr,2004,1991,4,31
aamas,kr,2004,1992,2,30
aamas,kr,2004,1994,2,55
aamas,kr,2004,2000,1,132
aamas,kr,2004,2002,1,201
aamas,kr,2005,1991,5,38
aamas,kr,2005,1992,2,38
aamas,kr,2005,1998,1,115
aamas,kr,2005,2000,1,126
aamas,kr,2005,2002,1,182
aamas,kr,2005,2004,3,242
aamas,kr,2006,1991,3,33
aamas,kr,2006,1994,2,60
aamas,kr,2006,1998,3,98
aamas,kr,2006,2002,2,177
aamas,kr,2006,2004,1,253
aamas,kr,2007,1989,1,18
aamas,kr,2007,1991,3,25
aamas,kr,2007,1992,1,36
aamas,kr,2007,1994,2,52
aamas,kr,2007,1998,2,96
aamas,kr,2007,2000,2,104
aamas,kr,2007,2002,2,155
aamas,kr,2007,2004,1,215
aamas,kr,2008,1991,3,25
aamas,kr,2008,1992,2,37
aamas,kr,2008,1993,1,36
aamas,kr,2008,1994,1,39
aamas,kr,2008,1996,1,58
aamas,kr,2008,2000,1,93
aamas,kr,2008,2002,3,171
aamas,kr,2008,2004,4,216
aamas,kr,2008,2006,5,295
aamas,kr,2009,1991,3,32
aamas,kr,2009,1992,2,30
aamas,kr,2009,1994,2,34
aamas,kr,2009,1996,2,45
aamas,kr,2009,1998,1,67
aamas,kr,2009,2000,1,87
aamas,kr,2009,2002,1,116
aamas,kr,2009,2004,3,177
aamas,kr,2009,2006,2,188
aamas,kr,2009,2008,2,192
aamas,kr,2010,1991,2,22
aamas,kr,2010,1992,1,26
aamas,kr,2010,2002,1,101
aamas,kr,2010,2008,1,178
aamas,kr,2011,1991,3,20
aamas,kr,2011,1992,1,23
aamas,kr,2011,1996,1,38
aamas,kr,2011,1998,1,61
aamas,kr,2011,2000,1,73
aamas,kr,2011,2002,3,106
aamas,kr,2011,2004,1,150
aamas,kr,2011,2009,1,199
aamas,kr,2012,1991,2,19
aamas,kr,2012,1992,1,25
aamas,kr,2012,1996,1,30
aamas,kr,2012,1998,1,74
aamas,kr,2012,1999,1,71
aamas,kr,2012,2002,1,101
aamas,kr,2012,2004,2,129
aamas,kr,2012,2006,1,160
aamas,kr,2012,2008,2,191
aamas,kr,2012,2009,1,202
aamas,kr,2012,2010,1,204
aamas,kr,2013,1989,1,11
aamas,kr,2013,1991,1,18
aamas,kr,2013,1996,1,33
aamas,kr,2013,2000,1,65
aamas,kr,2013,2002,1,87
aamas,kr,2013,2004,1,115
aamas,kr,2013,2006,2,154
aamas,kr,2013,2010,1,226
aamas,kr,2014,1991,3,20
aamas,kr,2014,1996,1,28
aamas,kr,2014,2002,1,68
aamas,kr,2014,2012,2,155
aamas,kr,2015,1991,2,22
aamas,kr,2015,1992,1,28
aamas,kr,2015,1994,1,22
aamas,kr,2015,1998,1,58
aamas,kr,2015,2000,2,68
aamas,kr,2015,2002,2,94
aamas,kr,2015,2004,2,127
aamas,kr,2015,2006,3,159
aamas,kr,2015,2008,2,197
aamas,kr,2015,2013,1,268
aamas,kr,2015,2014,3,190
