from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aamas,nips,1997,1996,1,41
aamas,nips,1998,1990,1,27
aamas,nips,1998,1992,1,26
aamas,nips,1998,1996,1,59
aamas,nips,1999,1996,1,16
aamas,nips,1999,1997,1,31
aamas,nips,2000,1994,1,43
aamas,nips,2000,1996,1,54
aamas,nips,2000,1997,1,94
aamas,nips,2000,1999,1,93
aamas,nips,2001,1995,1,27
aamas,nips,2001,1996,1,41
aamas,nips,2001,1997,1,68
aamas,nips,2001,1998,1,101
aamas,nips,2001,1999,1,83
aamas,nips,2001,2000,1,94
aamas,nips,2002,1992,1,40
aamas,nips,2002,1994,1,51
aamas,nips,2002,1995,1,81
aamas,nips,2002,1996,2,79
aamas,nips,2002,1997,1,108
aamas,nips,2002,1998,1,136
aamas,nips,2002,1999,1,137
aamas,nips,2003,1996,1,57
aamas,nips,2003,1997,1,80
aamas,nips,2003,1999,1,98
aamas,nips,2003,2000,2,134
aamas,nips,2004,1992,1,30
aamas,nips,2004,1994,1,55
aamas,nips,2004,1995,1,52
aamas,nips,2004,1996,1,66
aamas,nips,2004,1998,1,102
aamas,nips,2004,1999,2,135
aamas,nips,2004,2000,1,132
aamas,nips,2004,2001,1,167
aamas,nips,2004,2002,1,201
aamas,nips,2004,2003,3,223
aamas,nips,2005,1990,1,23
aamas,nips,2005,1994,1,63
aamas,nips,2005,1995,1,70
aamas,nips,2005,1996,2,68
aamas,nips,2005,1997,1,90
aamas,nips,2005,1998,3,115
aamas,nips,2005,1999,4,109
aamas,nips,2005,2000,1,126
aamas,nips,2005,2001,1,158
aamas,nips,2005,2002,2,182
aamas,nips,2005,2003,6,214
aamas,nips,2005,2004,2,242
aamas,nips,2006,1994,1,60
aamas,nips,2006,1995,2,59
aamas,nips,2006,1996,1,61
aamas,nips,2006,1997,1,79
aamas,nips,2006,1999,1,107
aamas,nips,2006,2000,3,122
aamas,nips,2006,2002,2,177
aamas,nips,2006,2003,4,204
aamas,nips,2006,2004,3,253
aamas,nips,2006,2005,3,243
aamas,nips,2007,1994,1,52
aamas,nips,2007,1995,1,52
aamas,nips,2007,1996,2,56
aamas,nips,2007,1998,3,96
aamas,nips,2007,1999,3,104
aamas,nips,2007,2000,2,104
aamas,nips,2007,2001,1,127
aamas,nips,2007,2002,2,155
aamas,nips,2007,2003,4,180
aamas,nips,2007,2004,6,215
aamas,nips,2007,2005,2,266
aamas,nips,2007,2006,1,211
aamas,nips,2008,1994,1,39
aamas,nips,2008,1995,1,55
aamas,nips,2008,1998,1,72
aamas,nips,2008,1999,2,93
aamas,nips,2008,2000,1,93
aamas,nips,2008,2002,3,171
aamas,nips,2008,2003,2,167
aamas,nips,2008,2004,3,216
aamas,nips,2008,2005,2,260
aamas,nips,2008,2007,4,292
aamas,nips,2009,1994,1,34
aamas,nips,2009,1995,2,37
aamas,nips,2009,1996,1,45
aamas,nips,2009,1999,1,77
aamas,nips,2009,2002,1,116
aamas,nips,2009,2003,4,139
aamas,nips,2009,2004,5,177
aamas,nips,2009,2007,3,219
aamas,nips,2009,2008,2,192
aamas,nips,2010,1994,2,29
aamas,nips,2010,1995,4,46
aamas,nips,2010,1996,2,23
aamas,nips,2010,1998,2,48
aamas,nips,2010,1999,3,61
aamas,nips,2010,2000,2,68
aamas,nips,2010,2001,2,85
aamas,nips,2010,2002,2,101
aamas,nips,2010,2003,4,122
aamas,nips,2010,2004,1,125
aamas,nips,2010,2005,1,149
aamas,nips,2010,2007,1,190
aamas,nips,2010,2009,2,180
aamas,nips,2011,1994,1,38
aamas,nips,2011,1995,1,36
aamas,nips,2011,1996,1,38
aamas,nips,2011,1998,1,61
aamas,nips,2011,1999,2,65
aamas,nips,2011,2001,1,88
aamas,nips,2011,2002,1,106
aamas,nips,2011,2003,4,141
aamas,nips,2011,2004,2,150
aamas,nips,2011,2005,3,134
aamas,nips,2011,2006,4,179
aamas,nips,2011,2007,3,204
aamas,nips,2011,2008,4,202
aamas,nips,2011,2009,2,199
aamas,nips,2011,2010,1,169
aamas,nips,2012,1995,1,43
aamas,nips,2012,1999,1,71
aamas,nips,2012,2001,4,79
aamas,nips,2012,2002,1,101
aamas,nips,2012,2004,1,129
aamas,nips,2012,2005,1,137
aamas,nips,2012,2006,2,160
aamas,nips,2012,2007,1,158
aamas,nips,2012,2008,1,191
aamas,nips,2012,2009,2,202
aamas,nips,2012,2010,1,204
aamas,nips,2012,2011,1,173
aamas,nips,2013,1996,1,33
aamas,nips,2013,1999,2,55
aamas,nips,2013,2000,1,65
aamas,nips,2013,2001,1,65
aamas,nips,2013,2002,2,87
aamas,nips,2013,2003,5,114
aamas,nips,2013,2004,2,115
aamas,nips,2013,2005,1,120
aamas,nips,2013,2006,1,154
aamas,nips,2013,2007,3,175
aamas,nips,2013,2008,1,171
aamas,nips,2013,2009,4,219
aamas,nips,2013,2010,4,226
aamas,nips,2013,2011,4,217
aamas,nips,2013,2012,2,159
aamas,nips,2014,1995,1,19
aamas,nips,2014,1996,1,28
aamas,nips,2014,1999,1,51
aamas,nips,2014,2000,1,52
aamas,nips,2014,2002,2,68
aamas,nips,2014,2003,2,71
aamas,nips,2014,2004,2,89
aamas,nips,2014,2005,1,115
aamas,nips,2014,2006,2,132
aamas,nips,2014,2007,4,137
aamas,nips,2014,2008,4,140
aamas,nips,2014,2009,1,189
aamas,nips,2014,2010,4,188
aamas,nips,2014,2011,4,168
aamas,nips,2014,2012,1,155
aamas,nips,2015,1992,1,28
aamas,nips,2015,1995,1,43
aamas,nips,2015,1997,1,53
aamas,nips,2015,1998,1,58
aamas,nips,2015,1999,1,60
aamas,nips,2015,2000,1,68
aamas,nips,2015,2001,1,71
aamas,nips,2015,2002,2,94
aamas,nips,2015,2003,1,108
aamas,nips,2015,2004,2,127
aamas,nips,2015,2005,1,128
aamas,nips,2015,2006,2,159
aamas,nips,2015,2007,5,163
aamas,nips,2015,2008,3,197
aamas,nips,2015,2009,4,217
aamas,nips,2015,2010,5,257
aamas,nips,2015,2011,4,242
aamas,nips,2015,2012,4,236
aamas,nips,2015,2013,6,268
aamas,nips,2015,2014,2,190
