from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
aamas,pricai,1997,1992,1,39
aamas,pricai,1998,1992,1,26
aamas,pricai,2000,1992,1,31
aamas,pricai,2001,1996,1,41
aamas,pricai,2002,1990,1,30
aamas,pricai,2002,2000,2,170
aamas,pricai,2003,1996,1,57
aamas,pricai,2004,1990,1,26
aamas,pricai,2005,2002,2,182
aamas,pricai,2005,2004,3,242
aamas,pricai,2006,2000,3,122
aamas,pricai,2006,2004,2,253
aamas,pricai,2007,1997,1,55
aamas,pricai,2007,2000,1,104
aamas,pricai,2007,2004,1,215
aamas,pricai,2008,1992,1,37
aamas,pricai,2008,1993,1,36
aamas,pricai,2008,1996,1,58
aamas,pricai,2009,1993,1,29
aamas,pricai,2009,2000,1,87
aamas,pricai,2011,2006,1,179
aamas,pricai,2013,1997,1,51
aamas,pricai,2014,2002,1,68
aamas,pricai,2014,2004,1,89
aamas,pricai,2015,2000,1,68
aamas,pricai,2015,2004,1,127
aamas,pricai,2015,2014,1,190
