from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
accv,accv,1996,1993,1,2
accv,accv,1998,1993,1,73
accv,accv,1998,1995,8,110
accv,accv,2002,2000,1,38
accv,accv,2006,1995,1,53
accv,accv,2006,2000,1,115
accv,accv,2006,2002,1,135
accv,accv,2006,2004,1,220
accv,accv,2007,2000,1,86
accv,accv,2007,2004,2,154
accv,accv,2007,2006,11,198
accv,accv,2009,2002,1,73
accv,accv,2009,2006,7,180
accv,accv,2009,2007,7,209
accv,accv,2010,1998,1,66
accv,accv,2010,2000,1,68
accv,accv,2010,2004,1,191
accv,accv,2010,2006,4,236
accv,accv,2010,2007,15,293
accv,accv,2010,2009,7,354
accv,accv,2011,2006,1,2
accv,accv,2012,2002,1,75
accv,accv,2012,2004,2,150
accv,accv,2012,2006,2,182
accv,accv,2012,2007,6,240
accv,accv,2012,2009,6,299
accv,accv,2012,2010,18,389
accv,accv,2013,2010,1,13
accv,accv,2014,2002,1,58
accv,accv,2014,2007,1,161
accv,accv,2014,2009,4,245
accv,accv,2014,2010,11,277
accv,accv,2014,2012,16,399
accv,accv,2014,2013,1,398
accv,accv,2015,2012,2,5
