from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
accv,bmvc,1995,1992,3,46
accv,bmvc,1995,1993,1,32
accv,bmvc,1995,1994,2,66
accv,bmvc,1998,1994,1,109
accv,bmvc,1998,1995,3,110
accv,bmvc,1998,1996,4,125
accv,bmvc,1998,1997,4,61
accv,bmvc,2000,1995,1,6
accv,bmvc,2000,1997,1,7
accv,bmvc,2002,1991,1,8
accv,bmvc,2002,1996,1,19
accv,bmvc,2002,2000,2,38
accv,bmvc,2006,1991,1,23
accv,bmvc,2006,1992,1,31
accv,bmvc,2006,1994,1,44
accv,bmvc,2006,1998,4,103
accv,bmvc,2006,1999,2,115
accv,bmvc,2006,2000,2,115
accv,bmvc,2006,2002,2,135
accv,bmvc,2006,2003,5,176
accv,bmvc,2006,2004,2,220
accv,bmvc,2006,2005,1,93
accv,bmvc,2007,1998,1,68
accv,bmvc,2007,2002,3,93
accv,bmvc,2007,2003,2,146
accv,bmvc,2007,2004,4,154
accv,bmvc,2007,2005,4,215
accv,bmvc,2007,2006,6,198
accv,bmvc,2009,1995,1,29
accv,bmvc,2009,1997,1,35
accv,bmvc,2009,2000,1,64
accv,bmvc,2009,2002,1,73
accv,bmvc,2009,2003,2,117
accv,bmvc,2009,2004,1,134
accv,bmvc,2009,2005,2,152
accv,bmvc,2009,2008,6,233
accv,bmvc,2010,1992,1,29
accv,bmvc,2010,1997,1,44
accv,bmvc,2010,1998,2,66
accv,bmvc,2010,2000,3,68
accv,bmvc,2010,2001,1,99
accv,bmvc,2010,2002,4,81
accv,bmvc,2010,2003,1,152
accv,bmvc,2010,2004,5,191
accv,bmvc,2010,2005,2,224
accv,bmvc,2010,2006,5,236
accv,bmvc,2010,2007,4,293
accv,bmvc,2010,2008,11,371
accv,bmvc,2010,2009,8,354
accv,bmvc,2012,1997,2,41
accv,bmvc,2012,1999,1,56
accv,bmvc,2012,2000,1,54
accv,bmvc,2012,2002,3,75
accv,bmvc,2012,2004,4,150
accv,bmvc,2012,2005,3,171
accv,bmvc,2012,2006,2,182
accv,bmvc,2012,2007,1,240
accv,bmvc,2012,2008,8,264
accv,bmvc,2012,2009,13,299
accv,bmvc,2012,2010,9,389
accv,bmvc,2012,2011,10,383
accv,bmvc,2013,2010,1,13
accv,bmvc,2014,2000,1,36
accv,bmvc,2014,2001,1,57
accv,bmvc,2014,2004,1,91
accv,bmvc,2014,2006,2,132
accv,bmvc,2014,2008,6,207
accv,bmvc,2014,2009,8,245
accv,bmvc,2014,2010,7,277
accv,bmvc,2014,2011,7,299
accv,bmvc,2014,2012,15,399
accv,bmvc,2014,2013,7,398
accv,bmvc,2015,1999,1,1
