from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
accv,cvpr,1995,1986,1,9
accv,cvpr,1995,1989,2,16
accv,cvpr,1995,1992,2,46
accv,cvpr,1995,1993,7,32
accv,cvpr,1995,1994,6,66
accv,cvpr,1998,1986,1,25
accv,cvpr,1998,1988,1,26
accv,cvpr,1998,1989,3,36
accv,cvpr,1998,1991,5,47
accv,cvpr,1998,1992,7,65
accv,cvpr,1998,1993,9,73
accv,cvpr,1998,1994,11,109
accv,cvpr,1998,1996,14,125
accv,cvpr,1998,1997,11,61
accv,cvpr,2000,1997,1,7
accv,cvpr,2000,1998,1,11
accv,cvpr,2002,1986,1,3
accv,cvpr,2002,1992,2,10
accv,cvpr,2002,1994,2,8
accv,cvpr,2002,1996,3,19
accv,cvpr,2002,1997,8,19
accv,cvpr,2002,1998,2,20
accv,cvpr,2002,1999,1,23
accv,cvpr,2002,2000,5,38
accv,cvpr,2004,2000,2,3
accv,cvpr,2004,2001,4,11
accv,cvpr,2004,2003,1,1
accv,cvpr,2006,1986,1,8
accv,cvpr,2006,1988,2,12
accv,cvpr,2006,1991,3,23
accv,cvpr,2006,1992,3,31
accv,cvpr,2006,1993,5,38
accv,cvpr,2006,1994,3,44
accv,cvpr,2006,1996,5,65
accv,cvpr,2006,1997,13,69
accv,cvpr,2006,1998,12,103
accv,cvpr,2006,1999,15,115
accv,cvpr,2006,2000,15,115
accv,cvpr,2006,2001,20,126
accv,cvpr,2006,2003,36,176
accv,cvpr,2006,2004,48,220
accv,cvpr,2006,2005,31,93
accv,cvpr,2007,1986,1,8
accv,cvpr,2007,1988,2,12
accv,cvpr,2007,1991,2,16
accv,cvpr,2007,1992,1,27
accv,cvpr,2007,1993,1,22
accv,cvpr,2007,1994,1,31
accv,cvpr,2007,1996,2,40
accv,cvpr,2007,1997,12,56
accv,cvpr,2007,1998,5,68
accv,cvpr,2007,1999,4,59
accv,cvpr,2007,2000,11,86
accv,cvpr,2007,2001,13,87
accv,cvpr,2007,2003,28,146
accv,cvpr,2007,2004,27,154
accv,cvpr,2007,2005,60,215
accv,cvpr,2007,2006,46,198
accv,cvpr,2008,2005,2,3
accv,cvpr,2008,2006,2,3
accv,cvpr,2008,2007,1,2
accv,cvpr,2009,1991,1,10
accv,cvpr,2009,1994,3,19
accv,cvpr,2009,1996,1,27
accv,cvpr,2009,1997,8,35
accv,cvpr,2009,1998,4,53
accv,cvpr,2009,1999,5,49
accv,cvpr,2009,2000,15,64
accv,cvpr,2009,2001,16,91
accv,cvpr,2009,2003,17,117
accv,cvpr,2009,2004,20,134
accv,cvpr,2009,2005,39,152
accv,cvpr,2009,2006,32,180
accv,cvpr,2009,2007,41,209
accv,cvpr,2009,2008,62,233
accv,cvpr,2010,1992,3,29
accv,cvpr,2010,1993,1,17
accv,cvpr,2010,1994,3,26
accv,cvpr,2010,1996,3,35
accv,cvpr,2010,1997,6,44
accv,cvpr,2010,1998,4,66
accv,cvpr,2010,1999,5,63
accv,cvpr,2010,2000,12,68
accv,cvpr,2010,2001,22,99
accv,cvpr,2010,2003,21,152
accv,cvpr,2010,2004,40,191
accv,cvpr,2010,2005,49,224
accv,cvpr,2010,2006,44,236
accv,cvpr,2010,2007,50,293
accv,cvpr,2010,2008,77,371
accv,cvpr,2010,2009,77,354
accv,cvpr,2011,2005,2,4
accv,cvpr,2011,2006,1,2
accv,cvpr,2011,2007,1,2
accv,cvpr,2011,2009,1,4
accv,cvpr,2012,1993,2,17
accv,cvpr,2012,1994,1,23
accv,cvpr,2012,1996,2,27
accv,cvpr,2012,1997,4,41
accv,cvpr,2012,1998,2,54
accv,cvpr,2012,1999,5,56
accv,cvpr,2012,2000,7,54
accv,cvpr,2012,2001,14,70
accv,cvpr,2012,2003,12,121
accv,cvpr,2012,2004,21,150
accv,cvpr,2012,2005,39,171
accv,cvpr,2012,2006,32,182
accv,cvpr,2012,2007,39,240
accv,cvpr,2012,2008,68,264
accv,cvpr,2012,2009,55,299
accv,cvpr,2012,2010,92,389
accv,cvpr,2012,2011,105,383
accv,cvpr,2013,2002,1,6
accv,cvpr,2013,2004,1,3
accv,cvpr,2013,2005,1,2
accv,cvpr,2013,2006,2,3
accv,cvpr,2013,2007,1,1
accv,cvpr,2013,2008,2,6
accv,cvpr,2013,2009,4,11
accv,cvpr,2013,2010,4,13
accv,cvpr,2013,2011,6,18
accv,cvpr,2013,2012,1,2
accv,cvpr,2014,1986,1,7
accv,cvpr,2014,1987,1,6
accv,cvpr,2014,1994,1,14
accv,cvpr,2014,1996,2,23
accv,cvpr,2014,1997,1,27
accv,cvpr,2014,1998,4,35
accv,cvpr,2014,1999,2,26
accv,cvpr,2014,2000,3,36
accv,cvpr,2014,2001,8,57
accv,cvpr,2014,2003,4,68
accv,cvpr,2014,2004,11,91
accv,cvpr,2014,2005,18,103
accv,cvpr,2014,2006,22,132
accv,cvpr,2014,2007,28,161
accv,cvpr,2014,2008,49,207
accv,cvpr,2014,2009,44,245
accv,cvpr,2014,2010,57,277
accv,cvpr,2014,2011,68,299
accv,cvpr,2014,2012,94,399
accv,cvpr,2014,2013,99,398
accv,cvpr,2015,2005,1,4
accv,cvpr,2015,2009,1,5
accv,cvpr,2015,2011,1,5
accv,cvpr,2015,2013,3,8
