from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
accv,iccv,1995,1988,3,20
accv,iccv,1995,1990,2,15
accv,iccv,1995,1993,3,32
accv,iccv,1998,1987,3,22
accv,iccv,1998,1988,3,26
accv,iccv,1998,1990,3,40
accv,iccv,1998,1993,4,73
accv,iccv,1998,1995,15,110
accv,iccv,2000,1990,1,3
accv,iccv,2000,1998,1,11
accv,iccv,2000,1999,2,4
accv,iccv,2002,1990,1,3
accv,iccv,2002,1995,4,13
accv,iccv,2002,1998,3,20
accv,iccv,2002,1999,8,23
accv,iccv,2002,2001,2,8
accv,iccv,2004,2001,2,11
accv,iccv,2006,1988,2,12
accv,iccv,2006,1990,2,17
accv,iccv,2006,1993,3,38
accv,iccv,2006,1995,12,53
accv,iccv,2006,1998,10,103
accv,iccv,2006,1999,18,115
accv,iccv,2006,2001,28,126
accv,iccv,2006,2003,30,176
accv,iccv,2006,2005,4,93
accv,iccv,2007,1988,3,12
accv,iccv,2007,1990,2,10
accv,iccv,2007,1993,3,22
accv,iccv,2007,1995,2,19
accv,iccv,2007,1998,11,68
accv,iccv,2007,1999,12,59
accv,iccv,2007,2001,23,87
accv,iccv,2007,2003,30,146
accv,iccv,2007,2005,38,215
accv,iccv,2008,2007,1,2
accv,iccv,2009,1991,1,10
accv,iccv,2009,1995,3,29
accv,iccv,2009,1998,6,53
accv,iccv,2009,1999,11,49
accv,iccv,2009,2001,15,91
accv,iccv,2009,2003,20,117
accv,iccv,2009,2005,35,152
accv,iccv,2009,2007,36,209
accv,iccv,2010,1988,1,7
accv,iccv,2010,1993,1,17
accv,iccv,2010,1995,1,28
accv,iccv,2010,1998,3,66
accv,iccv,2010,1999,12,63
accv,iccv,2010,2001,13,99
accv,iccv,2010,2003,26,152
accv,iccv,2010,2005,31,224
accv,iccv,2010,2007,45,293
accv,iccv,2010,2009,80,354
accv,iccv,2011,2005,1,4
accv,iccv,2011,2009,1,4
accv,iccv,2012,1995,3,21
accv,iccv,2012,1998,4,54
accv,iccv,2012,1999,10,56
accv,iccv,2012,2001,13,70
accv,iccv,2012,2003,12,121
accv,iccv,2012,2005,27,171
accv,iccv,2012,2007,33,240
accv,iccv,2012,2008,1,264
accv,iccv,2012,2009,57,299
accv,iccv,2012,2010,3,389
accv,iccv,2012,2011,90,383
accv,iccv,2013,1999,1,1
accv,iccv,2013,2003,1,2
accv,iccv,2013,2009,3,11
accv,iccv,2013,2011,7,18
accv,iccv,2014,1987,1,6
accv,iccv,2014,1993,2,11
accv,iccv,2014,1995,3,14
accv,iccv,2014,1998,2,35
accv,iccv,2014,1999,4,26
accv,iccv,2014,2001,3,57
accv,iccv,2014,2003,8,68
accv,iccv,2014,2005,14,103
accv,iccv,2014,2007,22,161
accv,iccv,2014,2009,51,245
accv,iccv,2014,2010,1,277
accv,iccv,2014,2011,62,299
accv,iccv,2014,2012,4,399
accv,iccv,2014,2013,96,398
accv,iccv,2015,2001,1,3
accv,iccv,2015,2007,1,1
accv,iccv,2015,2009,2,5
accv,iccv,2015,2011,1,5
