from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
accv,icdar,1998,1993,2,73
accv,icdar,1998,1995,4,110
accv,icdar,1998,1997,1,61
accv,icdar,2006,2001,1,126
accv,icdar,2006,2003,1,176
accv,icdar,2006,2005,1,93
accv,icdar,2007,1999,1,59
accv,icdar,2007,2001,1,87
accv,icdar,2007,2003,1,146
accv,icdar,2010,2003,1,152
accv,icdar,2010,2005,3,224
accv,icdar,2010,2007,2,293
accv,icdar,2010,2009,2,354
accv,icdar,2012,1993,1,17
accv,icdar,2012,2003,2,121
accv,icdar,2012,2005,1,171
accv,icdar,2012,2009,1,299
accv,icdar,2012,2011,3,383
accv,icdar,2014,1997,1,27
accv,icdar,2014,2001,1,57
accv,icdar,2014,2003,1,68
accv,icdar,2014,2005,1,103
accv,icdar,2014,2007,2,161
accv,icdar,2014,2009,1,245
accv,icdar,2014,2011,9,299
accv,icdar,2014,2013,10,398
