from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
accv,icpr,1995,1988,1,20
accv,icpr,1995,1990,2,15
accv,icpr,1995,1992,3,46
accv,icpr,1995,1994,4,66
accv,icpr,1998,1978,1,2
accv,icpr,1998,1988,3,26
accv,icpr,1998,1990,2,40
accv,icpr,1998,1992,3,65
accv,icpr,1998,1994,8,109
accv,icpr,1998,1996,22,125
accv,icpr,2002,1996,2,19
accv,icpr,2002,2000,3,38
accv,icpr,2004,1990,1,2
accv,icpr,2006,1990,1,17
accv,icpr,2006,1992,1,31
accv,icpr,2006,1996,6,65
accv,icpr,2006,1998,1,103
accv,icpr,2006,2000,11,115
accv,icpr,2006,2002,8,135
accv,icpr,2006,2004,15,220
accv,icpr,2007,1992,1,27
accv,icpr,2007,1994,3,31
accv,icpr,2007,1996,7,40
accv,icpr,2007,2000,5,86
accv,icpr,2007,2002,5,93
accv,icpr,2007,2004,12,154
accv,icpr,2007,2005,1,215
accv,icpr,2007,2006,21,198
accv,icpr,2009,1992,1,15
accv,icpr,2009,1996,1,27
accv,icpr,2009,1998,2,53
accv,icpr,2009,2002,4,73
accv,icpr,2009,2004,8,134
accv,icpr,2009,2006,19,180
accv,icpr,2009,2008,15,233
accv,icpr,2010,1998,1,66
accv,icpr,2010,2000,5,68
accv,icpr,2010,2002,7,81
accv,icpr,2010,2004,8,191
accv,icpr,2010,2006,15,236
accv,icpr,2010,2008,19,371
accv,icpr,2012,1994,2,23
accv,icpr,2012,1996,2,27
accv,icpr,2012,1998,2,54
accv,icpr,2012,2000,1,54
accv,icpr,2012,2002,6,75
accv,icpr,2012,2004,17,150
accv,icpr,2012,2006,6,182
accv,icpr,2012,2008,5,264
accv,icpr,2012,2010,13,389
accv,icpr,2014,1994,2,14
accv,icpr,2014,1996,4,23
accv,icpr,2014,1998,2,35
accv,icpr,2014,2002,3,58
accv,icpr,2014,2004,4,91
accv,icpr,2014,2006,2,132
accv,icpr,2014,2008,6,207
accv,icpr,2014,2010,5,277
accv,icpr,2014,2012,7,399
accv,icpr,2015,1990,1,1
