from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
accv,icra,1995,1985,1,12
accv,icra,1995,1986,2,9
accv,icra,1995,1987,1,14
accv,icra,1995,1988,2,20
accv,icra,1995,1991,2,17
accv,icra,1995,1992,1,46
accv,icra,1995,1994,2,66
accv,icra,1998,1985,2,16
accv,icra,1998,1986,4,25
accv,icra,1998,1987,1,22
accv,icra,1998,1988,1,26
accv,icra,1998,1989,2,36
accv,icra,1998,1991,4,47
accv,icra,1998,1992,2,65
accv,icra,1998,1994,1,109
accv,icra,1998,1995,1,110
accv,icra,1998,1996,1,125
accv,icra,1998,1997,1,61
accv,icra,2002,1996,1,19
accv,icra,2002,1999,1,23
accv,icra,2002,2000,1,38
accv,icra,2006,1990,1,17
accv,icra,2006,1991,1,23
accv,icra,2006,1996,1,65
accv,icra,2006,2001,1,126
accv,icra,2006,2002,1,135
accv,icra,2006,2004,1,220
accv,icra,2007,1989,1,9
accv,icra,2007,1991,1,16
accv,icra,2007,1994,1,31
accv,icra,2007,1995,1,19
accv,icra,2007,2000,1,86
accv,icra,2007,2002,1,93
accv,icra,2007,2004,1,154
accv,icra,2007,2005,2,215
accv,icra,2007,2006,1,198
accv,icra,2009,2003,1,117
accv,icra,2009,2006,2,180
accv,icra,2009,2007,1,209
accv,icra,2009,2008,1,233
accv,icra,2010,2001,2,99
accv,icra,2010,2002,1,81
accv,icra,2010,2004,1,191
accv,icra,2010,2006,1,236
accv,icra,2010,2007,2,293
accv,icra,2010,2008,2,371
accv,icra,2010,2009,4,354
accv,icra,2011,2009,1,4
accv,icra,2012,1988,1,10
accv,icra,2012,2000,1,54
accv,icra,2012,2002,1,75
accv,icra,2012,2003,1,121
accv,icra,2012,2004,2,150
accv,icra,2012,2007,1,240
accv,icra,2012,2008,1,264
accv,icra,2012,2009,2,299
accv,icra,2012,2010,3,389
accv,icra,2012,2011,4,383
accv,icra,2014,2005,2,103
accv,icra,2014,2006,1,132
accv,icra,2014,2009,2,245
accv,icra,2014,2010,1,277
accv,icra,2014,2011,8,299
accv,icra,2014,2012,3,399
accv,icra,2014,2013,2,398
