from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
accv,ijcai,1995,1979,1,2
accv,ijcai,1995,1985,1,12
accv,ijcai,1995,1987,1,14
accv,ijcai,1995,1989,1,16
accv,ijcai,1998,1973,1,4
accv,ijcai,1998,1977,1,6
accv,ijcai,1998,1983,1,11
accv,ijcai,1998,1993,1,73
accv,ijcai,1998,1995,1,110
accv,ijcai,1998,1997,1,61
accv,ijcai,2000,1981,1,1
accv,ijcai,2000,1989,1,2
accv,ijcai,2002,1999,1,23
accv,ijcai,2006,1981,1,4
accv,ijcai,2006,1993,1,38
accv,ijcai,2006,2003,1,176
accv,ijcai,2007,1977,1,4
accv,ijcai,2007,1981,1,6
accv,ijcai,2007,2003,1,146
accv,ijcai,2009,1977,1,5
accv,ijcai,2009,1981,1,4
accv,ijcai,2009,1983,1,5
accv,ijcai,2009,1995,1,29
accv,ijcai,2009,2003,1,117
accv,ijcai,2009,2007,2,209
accv,ijcai,2010,1981,2,5
accv,ijcai,2010,1983,1,6
accv,ijcai,2010,1985,1,4
accv,ijcai,2010,1991,1,14
accv,ijcai,2010,2003,1,152
accv,ijcai,2010,2007,3,293
accv,ijcai,2010,2009,1,354
accv,ijcai,2012,1977,1,2
accv,ijcai,2012,1981,1,4
accv,ijcai,2012,1985,1,6
accv,ijcai,2012,2011,1,383
accv,ijcai,2014,1977,1,1
accv,ijcai,2014,1979,1,2
accv,ijcai,2014,1981,1,5
accv,ijcai,2014,1985,1,4
accv,ijcai,2014,1999,1,26
accv,ijcai,2014,2007,1,161
accv,ijcai,2014,2011,1,299
accv,ijcai,2014,2013,2,398
