from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
acl,colt,1997,1995,1,44
acl,colt,1997,1996,1,65
acl,colt,1998,1995,1,88
acl,colt,2000,1992,1,20
acl,colt,2000,1998,1,80
acl,colt,2001,1998,1,63
acl,colt,2002,1998,3,65
acl,colt,2003,1990,1,10
acl,colt,2003,1998,1,68
acl,colt,2004,1998,2,51
acl,colt,2005,1998,2,62
acl,colt,2005,2001,2,81
acl,colt,2006,1998,2,53
acl,colt,2006,2001,1,44
acl,colt,2007,1998,2,31
acl,colt,2007,2001,1,51
acl,colt,2007,2003,1,110
acl,colt,2008,1992,1,11
acl,colt,2008,1998,2,30
acl,colt,2008,2001,1,34
acl,colt,2008,2003,1,90
acl,colt,2009,1992,1,15
acl,colt,2009,1998,2,39
acl,colt,2009,2001,1,61
acl,colt,2009,2005,3,163
acl,colt,2009,2006,1,204
acl,colt,2009,2007,1,229
acl,colt,2010,1992,1,24
acl,colt,2010,1996,1,43
acl,colt,2010,1998,2,43
acl,colt,2010,2001,1,71
acl,colt,2010,2003,1,132
acl,colt,2011,1998,2,46
acl,colt,2011,2001,1,59
acl,colt,2012,1998,2,34
acl,colt,2012,2002,1,77
acl,colt,2012,2003,2,102
acl,colt,2012,2005,1,149
acl,colt,2012,2008,1,231
acl,colt,2013,1998,2,34
acl,colt,2013,2003,1,92
acl,colt,2013,2008,1,240
acl,colt,2014,1989,1,6
acl,colt,2014,1998,1,27
acl,colt,2014,2001,1,46
acl,colt,2014,2003,1,83
acl,colt,2014,2004,1,94
