from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
acl,cvpr,2006,1996,1,31
acl,cvpr,2007,2000,1,74
acl,cvpr,2008,2004,1,135
acl,cvpr,2009,2005,1,163
acl,cvpr,2009,2006,1,204
acl,cvpr,2009,2007,1,229
acl,cvpr,2009,2008,1,261
acl,cvpr,2010,2004,1,162
acl,cvpr,2010,2006,1,223
acl,cvpr,2010,2007,1,265
acl,cvpr,2010,2008,1,295
acl,cvpr,2011,2006,1,190
acl,cvpr,2011,2010,1,432
acl,cvpr,2012,2005,1,149
acl,cvpr,2012,2006,2,186
acl,cvpr,2012,2007,1,188
acl,cvpr,2012,2010,2,331
acl,cvpr,2012,2011,1,282
acl,cvpr,2013,1992,1,10
acl,cvpr,2013,1997,1,26
acl,cvpr,2013,2006,1,155
acl,cvpr,2013,2009,1,253
acl,cvpr,2013,2010,2,358
acl,cvpr,2013,2011,1,296
acl,cvpr,2013,2012,2,338
acl,cvpr,2014,2006,1,154
acl,cvpr,2014,2008,2,173
acl,cvpr,2014,2009,2,203
acl,cvpr,2014,2010,1,260
acl,cvpr,2014,2011,1,257
acl,cvpr,2014,2012,3,324
acl,cvpr,2014,2013,2,327
acl,cvpr,2015,2001,1,2
