from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
acl,emnlp,2002,2000,5,124
acl,emnlp,2002,2001,2,85
acl,emnlp,2003,2000,4,106
acl,emnlp,2003,2001,2,91
acl,emnlp,2003,2002,12,170
acl,emnlp,2004,2000,1,97
acl,emnlp,2004,2002,4,119
acl,emnlp,2004,2003,7,147
acl,emnlp,2005,2001,2,81
acl,emnlp,2005,2002,10,121
acl,emnlp,2005,2003,9,154
acl,emnlp,2005,2004,19,192
acl,emnlp,2006,2000,1,60
acl,emnlp,2006,2002,10,120
acl,emnlp,2006,2003,3,98
acl,emnlp,2006,2004,13,146
acl,emnlp,2006,2005,12,130
acl,emnlp,2007,2000,3,74
acl,emnlp,2007,2002,8,85
acl,emnlp,2007,2003,2,110
acl,emnlp,2007,2004,11,136
acl,emnlp,2007,2005,25,156
acl,emnlp,2007,2006,20,190
acl,emnlp,2008,2000,5,56
acl,emnlp,2008,2001,1,34
acl,emnlp,2008,2002,6,80
acl,emnlp,2008,2003,1,90
acl,emnlp,2008,2004,14,135
acl,emnlp,2008,2005,17,133
acl,emnlp,2008,2006,16,200
acl,emnlp,2008,2007,35,180
acl,emnlp,2009,2000,1,64
acl,emnlp,2009,2001,1,61
acl,emnlp,2009,2002,8,92
acl,emnlp,2009,2003,2,119
acl,emnlp,2009,2004,18,157
acl,emnlp,2009,2005,31,163
acl,emnlp,2009,2006,17,204
acl,emnlp,2009,2007,31,229
acl,emnlp,2009,2008,40,261
acl,emnlp,2010,2000,4,88
acl,emnlp,2010,2001,1,71
acl,emnlp,2010,2002,10,134
acl,emnlp,2010,2003,4,132
acl,emnlp,2010,2004,18,162
acl,emnlp,2010,2005,27,150
acl,emnlp,2010,2006,18,223
acl,emnlp,2010,2007,41,265
acl,emnlp,2010,2008,44,295
acl,emnlp,2010,2009,50,349
acl,emnlp,2011,2000,4,79
acl,emnlp,2011,2002,6,81
acl,emnlp,2011,2003,5,123
acl,emnlp,2011,2004,20,155
acl,emnlp,2011,2005,32,147
acl,emnlp,2011,2006,16,190
acl,emnlp,2011,2007,34,248
acl,emnlp,2011,2008,51,263
acl,emnlp,2011,2009,51,363
acl,emnlp,2011,2010,45,432
acl,emnlp,2012,2000,4,65
acl,emnlp,2012,2001,1,60
acl,emnlp,2012,2002,6,77
acl,emnlp,2012,2003,4,102
acl,emnlp,2012,2004,14,147
acl,emnlp,2012,2005,20,149
acl,emnlp,2012,2006,16,186
acl,emnlp,2012,2007,32,188
acl,emnlp,2012,2008,38,231
acl,emnlp,2012,2009,35,237
acl,emnlp,2012,2010,36,331
acl,emnlp,2012,2011,45,282
acl,emnlp,2013,2000,2,48
acl,emnlp,2013,2001,1,43
acl,emnlp,2013,2002,6,67
acl,emnlp,2013,2003,3,92
acl,emnlp,2013,2004,14,122
acl,emnlp,2013,2005,20,114
acl,emnlp,2013,2006,11,155
acl,emnlp,2013,2007,31,191
acl,emnlp,2013,2008,36,240
acl,emnlp,2013,2009,39,253
acl,emnlp,2013,2010,41,358
acl,emnlp,2013,2011,44,296
acl,emnlp,2013,2012,56,338
acl,emnlp,2014,2002,5,47
acl,emnlp,2014,2003,1,83
acl,emnlp,2014,2004,10,94
acl,emnlp,2014,2005,14,95
acl,emnlp,2014,2006,12,154
acl,emnlp,2014,2007,23,147
acl,emnlp,2014,2008,35,173
acl,emnlp,2014,2009,31,203
acl,emnlp,2014,2010,27,260
acl,emnlp,2014,2011,46,257
acl,emnlp,2014,2012,52,324
acl,emnlp,2014,2013,61,327
acl,emnlp,2015,2002,1,2
acl,emnlp,2015,2011,2,7
acl,emnlp,2015,2013,1,4
