from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
acl,icml,1993,1990,1,27
acl,icml,1993,1992,1,32
acl,icml,1995,1991,1,20
acl,icml,1997,1996,1,65
acl,icml,1998,1991,1,23
acl,icml,1998,1995,2,88
acl,icml,1998,1996,2,93
acl,icml,1999,1995,1,40
acl,icml,2000,1994,1,37
acl,icml,2000,1995,3,51
acl,icml,2000,1996,1,46
acl,icml,2000,1997,1,42
acl,icml,2000,1999,1,55
acl,icml,2001,1995,1,31
acl,icml,2001,1997,1,31
acl,icml,2001,1998,1,63
acl,icml,2001,1999,2,55
acl,icml,2001,2000,1,87
acl,icml,2002,1995,2,45
acl,icml,2002,1997,1,53
acl,icml,2002,1998,3,65
acl,icml,2002,1999,2,72
acl,icml,2002,2000,7,124
acl,icml,2002,2001,1,85
acl,icml,2003,1995,2,35
acl,icml,2003,1997,2,37
acl,icml,2003,1998,2,68
acl,icml,2003,1999,1,62
acl,icml,2003,2000,1,106
acl,icml,2003,2001,2,91
acl,icml,2003,2002,1,170
acl,icml,2004,1984,1,3
acl,icml,2004,1994,2,28
acl,icml,2004,1995,1,32
acl,icml,2004,1997,1,53
acl,icml,2004,1998,2,51
acl,icml,2004,1999,4,60
acl,icml,2004,2000,5,97
acl,icml,2004,2001,3,82
acl,icml,2004,2003,4,147
acl,icml,2005,1995,1,40
acl,icml,2005,1997,1,44
acl,icml,2005,1998,1,62
acl,icml,2005,1999,1,54
acl,icml,2005,2000,3,82
acl,icml,2005,2001,2,81
acl,icml,2005,2003,2,154
acl,icml,2005,2004,4,192
acl,icml,2006,1995,1,26
acl,icml,2006,1996,1,31
acl,icml,2006,1997,1,29
acl,icml,2006,1998,1,53
acl,icml,2006,1999,2,46
acl,icml,2006,2000,3,60
acl,icml,2006,2001,2,44
acl,icml,2006,2003,1,98
acl,icml,2006,2004,6,146
acl,icml,2006,2005,1,130
acl,icml,2007,1996,1,34
acl,icml,2007,1997,1,17
acl,icml,2007,1998,2,31
acl,icml,2007,1999,1,47
acl,icml,2007,2000,4,74
acl,icml,2007,2001,1,51
acl,icml,2007,2002,4,85
acl,icml,2007,2003,3,110
acl,icml,2007,2004,5,136
acl,icml,2007,2005,6,156
acl,icml,2007,2006,1,190
acl,icml,2008,1995,1,28
acl,icml,2008,1997,3,20
acl,icml,2008,1998,2,30
acl,icml,2008,1999,2,41
acl,icml,2008,2000,1,56
acl,icml,2008,2001,2,34
acl,icml,2008,2002,3,80
acl,icml,2008,2003,2,90
acl,icml,2008,2004,1,135
acl,icml,2008,2005,6,133
acl,icml,2008,2006,2,200
acl,icml,2008,2007,3,180
acl,icml,2009,1994,2,28
acl,icml,2009,1996,1,38
acl,icml,2009,1997,2,25
acl,icml,2009,1998,2,39
acl,icml,2009,1999,2,52
acl,icml,2009,2000,3,64
acl,icml,2009,2001,1,61
acl,icml,2009,2002,3,92
acl,icml,2009,2003,2,119
acl,icml,2009,2004,3,157
acl,icml,2009,2005,6,163
acl,icml,2009,2006,3,204
acl,icml,2009,2007,7,229
acl,icml,2009,2008,6,261
acl,icml,2010,1994,1,35
acl,icml,2010,1995,1,42
acl,icml,2010,1997,3,35
acl,icml,2010,1998,2,43
acl,icml,2010,1999,3,62
acl,icml,2010,2000,3,88
acl,icml,2010,2001,1,71
acl,icml,2010,2002,3,134
acl,icml,2010,2003,3,132
acl,icml,2010,2004,4,162
acl,icml,2010,2005,6,150
acl,icml,2010,2006,4,223
acl,icml,2010,2007,5,265
acl,icml,2010,2008,7,295
acl,icml,2010,2009,1,349
acl,icml,2011,1992,1,14
acl,icml,2011,1995,1,24
acl,icml,2011,1997,4,30
acl,icml,2011,1998,2,46
acl,icml,2011,1999,2,44
acl,icml,2011,2000,4,79
acl,icml,2011,2001,2,59
acl,icml,2011,2002,2,81
acl,icml,2011,2003,3,123
acl,icml,2011,2004,1,155
acl,icml,2011,2005,7,147
acl,icml,2011,2006,4,190
acl,icml,2011,2007,8,248
acl,icml,2011,2008,6,263
acl,icml,2011,2009,5,363
acl,icml,2011,2010,5,432
acl,icml,2012,1997,1,25
acl,icml,2012,2000,3,65
acl,icml,2012,2001,2,60
acl,icml,2012,2003,3,102
acl,icml,2012,2004,2,147
acl,icml,2012,2005,9,149
acl,icml,2012,2006,4,186
acl,icml,2012,2007,7,188
acl,icml,2012,2008,6,231
acl,icml,2012,2009,3,237
acl,icml,2012,2010,2,331
acl,icml,2012,2011,5,282
acl,icml,2013,1996,1,25
acl,icml,2013,1997,2,26
acl,icml,2013,1998,2,34
acl,icml,2013,1999,1,43
acl,icml,2013,2001,2,43
acl,icml,2013,2003,3,92
acl,icml,2013,2004,3,122
acl,icml,2013,2005,3,114
acl,icml,2013,2006,4,155
acl,icml,2013,2007,6,191
acl,icml,2013,2008,7,240
acl,icml,2013,2009,5,253
acl,icml,2013,2010,2,358
acl,icml,2013,2011,10,296
acl,icml,2013,2012,2,338
acl,icml,2014,1994,1,11
acl,icml,2014,1997,1,15
acl,icml,2014,1998,1,27
acl,icml,2014,2000,1,43
acl,icml,2014,2001,2,46
acl,icml,2014,2003,2,83
acl,icml,2014,2004,3,94
acl,icml,2014,2005,5,95
acl,icml,2014,2006,3,154
acl,icml,2014,2007,2,147
acl,icml,2014,2008,4,173
acl,icml,2014,2009,3,203
acl,icml,2014,2010,1,260
acl,icml,2014,2011,10,257
acl,icml,2014,2012,8,324
acl,icml,2014,2013,4,327
acl,icml,2015,2004,1,2
acl,icml,2015,2013,1,4
