from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
acl,ijcai,1979,1975,2,4
acl,ijcai,1979,1977,2,6
acl,ijcai,1980,1975,2,4
acl,ijcai,1980,1977,7,15
acl,ijcai,1980,1979,5,12
acl,ijcai,1981,1975,2,6
acl,ijcai,1981,1977,5,13
acl,ijcai,1981,1979,1,10
acl,ijcai,1982,1971,1,1
acl,ijcai,1982,1975,3,7
acl,ijcai,1982,1977,2,8
acl,ijcai,1982,1979,3,8
acl,ijcai,1982,1981,8,21
acl,ijcai,1983,1977,1,4
acl,ijcai,1983,1979,1,8
acl,ijcai,1983,1981,3,14
acl,ijcai,1985,1971,1,1
acl,ijcai,1985,1977,3,9
acl,ijcai,1985,1979,1,9
acl,ijcai,1985,1981,3,8
acl,ijcai,1985,1983,5,24
acl,ijcai,1986,1979,1,2
acl,ijcai,1986,1981,1,6
acl,ijcai,1986,1983,1,19
acl,ijcai,1986,1985,5,24
acl,ijcai,1987,1977,1,4
acl,ijcai,1987,1981,1,7
acl,ijcai,1987,1983,4,16
acl,ijcai,1987,1985,3,29
acl,ijcai,1987,1986,1,34
acl,ijcai,1988,1973,1,2
acl,ijcai,1988,1977,1,4
acl,ijcai,1988,1981,1,7
acl,ijcai,1988,1983,1,16
acl,ijcai,1988,1985,1,12
acl,ijcai,1988,1986,1,29
acl,ijcai,1988,1987,2,37
acl,ijcai,1989,1975,1,3
acl,ijcai,1989,1981,1,4
acl,ijcai,1989,1983,1,17
acl,ijcai,1989,1985,2,19
acl,ijcai,1990,1975,1,3
acl,ijcai,1990,1977,1,2
acl,ijcai,1990,1983,2,8
acl,ijcai,1990,1985,2,13
acl,ijcai,1990,1989,1,28
acl,ijcai,1991,1975,1,3
acl,ijcai,1991,1977,1,3
acl,ijcai,1991,1981,2,4
acl,ijcai,1991,1983,2,12
acl,ijcai,1991,1985,3,23
acl,ijcai,1991,1987,4,18
acl,ijcai,1991,1989,1,39
acl,ijcai,1992,1977,1,2
acl,ijcai,1992,1981,1,4
acl,ijcai,1992,1983,2,15
acl,ijcai,1992,1985,1,10
acl,ijcai,1992,1987,1,14
acl,ijcai,1992,1989,2,24
acl,ijcai,1993,1983,2,10
acl,ijcai,1993,1989,2,15
acl,ijcai,1993,1991,4,33
acl,ijcai,1994,1975,1,3
acl,ijcai,1994,1987,1,8
acl,ijcai,1994,1991,3,33
acl,ijcai,1994,1993,4,53
acl,ijcai,1995,1981,1,4
acl,ijcai,1995,1989,1,14
acl,ijcai,1995,1993,1,35
acl,ijcai,1996,1989,2,19
acl,ijcai,1996,1991,1,26
acl,ijcai,1996,1993,1,35
acl,ijcai,1996,1995,3,40
acl,ijcai,1997,1987,1,6
acl,ijcai,1997,1991,1,19
acl,ijcai,1997,1993,1,30
acl,ijcai,1997,1995,4,44
acl,ijcai,1998,1987,1,11
acl,ijcai,1998,1989,1,22
acl,ijcai,1998,1991,1,23
acl,ijcai,1998,1993,1,49
acl,ijcai,1998,1995,9,88
acl,ijcai,1998,1996,2,93
acl,ijcai,1999,1983,1,7
acl,ijcai,1999,1991,1,25
acl,ijcai,1999,1995,2,40
acl,ijcai,1999,1996,1,55
acl,ijcai,2000,1979,1,3
acl,ijcai,2000,1981,1,4
acl,ijcai,2000,1993,2,29
acl,ijcai,2000,1995,4,51
acl,ijcai,2000,1999,1,55
acl,ijcai,2001,1987,1,6
acl,ijcai,2001,1995,1,31
acl,ijcai,2001,1999,3,55
acl,ijcai,2002,1975,1,2
acl,ijcai,2002,1977,2,3
acl,ijcai,2002,1995,4,45
acl,ijcai,2002,1996,2,55
acl,ijcai,2002,1999,1,72
acl,ijcai,2002,2001,3,85
acl,ijcai,2003,1995,4,35
acl,ijcai,2003,1997,1,37
acl,ijcai,2003,1999,1,62
acl,ijcai,2003,2001,4,91
acl,ijcai,2004,1975,1,2
acl,ijcai,2004,1987,1,8
acl,ijcai,2004,1995,4,32
acl,ijcai,2004,1999,1,60
acl,ijcai,2004,2001,2,82
acl,ijcai,2004,2003,2,147
acl,ijcai,2005,1995,5,40
acl,ijcai,2005,1996,1,40
acl,ijcai,2005,1999,1,54
acl,ijcai,2005,2001,1,81
acl,ijcai,2005,2003,5,154
acl,ijcai,2006,1993,1,19
acl,ijcai,2006,1995,2,26
acl,ijcai,2006,1999,1,46
acl,ijcai,2006,2003,4,98
acl,ijcai,2006,2005,5,130
acl,ijcai,2007,1993,1,15
acl,ijcai,2007,1995,1,17
acl,ijcai,2007,1999,1,47
acl,ijcai,2007,2001,1,51
acl,ijcai,2007,2003,4,110
acl,ijcai,2007,2005,4,156
acl,ijcai,2007,2006,1,190
acl,ijcai,2008,1991,1,10
acl,ijcai,2008,1995,1,28
acl,ijcai,2008,2003,3,90
acl,ijcai,2008,2005,5,133
acl,ijcai,2008,2007,6,180
acl,ijcai,2009,1985,1,8
acl,ijcai,2009,1995,2,22
acl,ijcai,2009,1997,1,25
acl,ijcai,2009,2001,1,61
acl,ijcai,2009,2003,6,119
acl,ijcai,2009,2005,3,163
acl,ijcai,2009,2006,1,204
acl,ijcai,2009,2007,10,229
acl,ijcai,2010,1977,1,3
acl,ijcai,2010,1991,1,13
acl,ijcai,2010,1995,5,42
acl,ijcai,2010,1996,1,43
acl,ijcai,2010,1997,1,35
acl,ijcai,2010,1999,2,62
acl,ijcai,2010,2003,5,132
acl,ijcai,2010,2005,4,150
acl,ijcai,2010,2006,1,223
