from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
acl,naacl,1992,1991,1,32
acl,naacl,1993,1991,1,33
acl,naacl,1995,1991,1,20
acl,naacl,1995,1994,2,50
acl,naacl,1996,1991,1,26
acl,naacl,1996,1994,3,48
acl,naacl,1997,1994,3,45
acl,naacl,1998,1994,5,74
acl,naacl,1999,1991,1,25
acl,naacl,1999,1994,4,43
acl,naacl,2000,1994,3,37
acl,naacl,2000,1999,1,55
acl,naacl,2001,1994,2,25
acl,naacl,2001,1999,1,55
acl,naacl,2001,2000,7,87
acl,naacl,2002,1991,1,18
acl,naacl,2002,1994,2,46
acl,naacl,2002,1999,1,72
acl,naacl,2002,2000,10,124
acl,naacl,2002,2001,11,85
acl,naacl,2003,1991,2,17
acl,naacl,2003,1994,2,37
acl,naacl,2003,1999,1,62
acl,naacl,2003,2000,8,106
acl,naacl,2003,2001,4,91
acl,naacl,2004,1991,1,11
acl,naacl,2004,1994,2,28
acl,naacl,2004,1999,1,60
acl,naacl,2004,2000,9,97
acl,naacl,2004,2001,6,82
acl,naacl,2004,2003,33,147
acl,naacl,2005,1991,2,17
acl,naacl,2005,1994,2,28
acl,naacl,2005,1999,1,54
acl,naacl,2005,2000,9,82
acl,naacl,2005,2001,13,81
acl,naacl,2005,2003,41,154
acl,naacl,2005,2004,28,192
acl,naacl,2006,1991,1,11
acl,naacl,2006,1994,2,33
acl,naacl,2006,1999,1,46
acl,naacl,2006,2000,9,60
acl,naacl,2006,2001,4,44
acl,naacl,2006,2003,23,98
acl,naacl,2006,2004,15,146
acl,naacl,2007,1991,1,10
acl,naacl,2007,1999,1,47
acl,naacl,2007,2000,5,74
acl,naacl,2007,2001,4,51
acl,naacl,2007,2003,22,110
acl,naacl,2007,2004,20,136
acl,naacl,2007,2005,1,156
acl,naacl,2007,2006,22,190
acl,naacl,2008,1999,1,41
acl,naacl,2008,2000,4,56
acl,naacl,2008,2001,5,34
acl,naacl,2008,2003,24,90
acl,naacl,2008,2004,21,135
acl,naacl,2008,2005,1,133
acl,naacl,2008,2006,25,200
acl,naacl,2008,2007,21,180
acl,naacl,2009,1999,1,52
acl,naacl,2009,2000,5,64
acl,naacl,2009,2001,6,61
acl,naacl,2009,2003,29,119
acl,naacl,2009,2004,14,157
acl,naacl,2009,2006,24,204
acl,naacl,2009,2007,20,229
acl,naacl,2009,2008,2,261
acl,naacl,2010,1994,1,35
acl,naacl,2010,1999,1,62
acl,naacl,2010,2000,6,88
acl,naacl,2010,2001,10,71
acl,naacl,2010,2003,23,132
acl,naacl,2010,2004,18,162
acl,naacl,2010,2006,22,223
acl,naacl,2010,2007,22,265
acl,naacl,2010,2008,2,295
acl,naacl,2010,2009,51,349
acl,naacl,2011,1999,1,44
acl,naacl,2011,2000,10,79
acl,naacl,2011,2001,3,59
acl,naacl,2011,2003,28,123
acl,naacl,2011,2004,16,155
acl,naacl,2011,2006,24,190
acl,naacl,2011,2007,18,248
acl,naacl,2011,2008,2,263
acl,naacl,2011,2009,41,363
acl,naacl,2011,2010,85,432
acl,naacl,2012,1994,2,14
acl,naacl,2012,1999,1,39
acl,naacl,2012,2000,4,65
acl,naacl,2012,2001,6,60
acl,naacl,2012,2003,16,102
acl,naacl,2012,2004,17,147
acl,naacl,2012,2006,20,186
acl,naacl,2012,2007,11,188
acl,naacl,2012,2008,2,231
acl,naacl,2012,2009,26,237
acl,naacl,2012,2010,47,331
acl,naacl,2012,2011,2,282
acl,naacl,2013,1999,1,43
acl,naacl,2013,2000,2,48
acl,naacl,2013,2001,3,43
acl,naacl,2013,2003,21,92
acl,naacl,2013,2004,15,122
acl,naacl,2013,2006,18,155
acl,naacl,2013,2007,16,191
acl,naacl,2013,2008,2,240
acl,naacl,2013,2009,21,253
acl,naacl,2013,2010,50,358
acl,naacl,2013,2011,1,296
acl,naacl,2013,2012,35,338
acl,naacl,2014,1994,1,11
acl,naacl,2014,2000,7,43
acl,naacl,2014,2001,3,46
acl,naacl,2014,2003,13,83
acl,naacl,2014,2004,10,94
acl,naacl,2014,2005,1,95
acl,naacl,2014,2006,20,154
acl,naacl,2014,2007,6,147
acl,naacl,2014,2009,21,203
acl,naacl,2014,2010,39,260
acl,naacl,2014,2011,1,257
acl,naacl,2014,2012,25,324
acl,naacl,2014,2013,42,327
acl,naacl,2015,2012,1,2
