from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
acl,nips,1998,1992,1,44
acl,nips,2001,1999,1,55
acl,nips,2001,2000,1,87
acl,nips,2002,1999,2,72
acl,nips,2002,2001,2,85
acl,nips,2003,1994,1,37
acl,nips,2003,2001,2,91
acl,nips,2004,1995,1,32
acl,nips,2004,1999,2,60
acl,nips,2004,2000,1,97
acl,nips,2004,2001,4,82
acl,nips,2004,2002,1,119
acl,nips,2004,2003,8,147
acl,nips,2005,1995,1,40
acl,nips,2005,1998,1,62
acl,nips,2005,1999,2,54
acl,nips,2005,2001,3,81
acl,nips,2005,2002,2,121
acl,nips,2005,2003,6,154
acl,nips,2005,2004,3,192
acl,nips,2006,2001,2,44
acl,nips,2006,2002,4,120
acl,nips,2006,2003,1,98
acl,nips,2006,2004,2,146
acl,nips,2007,1999,1,47
acl,nips,2007,2001,1,51
acl,nips,2007,2002,1,85
acl,nips,2007,2003,3,110
acl,nips,2007,2004,5,136
acl,nips,2007,2005,1,156
acl,nips,2007,2006,2,190
acl,nips,2008,1992,1,11
acl,nips,2008,1996,1,24
acl,nips,2008,1999,1,41
acl,nips,2008,2000,1,56
acl,nips,2008,2001,1,34
acl,nips,2008,2002,1,80
acl,nips,2008,2003,3,90
acl,nips,2008,2004,4,135
acl,nips,2008,2005,1,133
acl,nips,2008,2006,4,200
acl,nips,2008,2007,6,180
acl,nips,2009,1990,1,11
acl,nips,2009,1996,1,38
acl,nips,2009,1998,3,39
acl,nips,2009,1999,1,52
acl,nips,2009,2000,1,64
acl,nips,2009,2001,4,61
acl,nips,2009,2002,2,92
acl,nips,2009,2003,2,119
acl,nips,2009,2004,6,157
acl,nips,2009,2005,3,163
acl,nips,2009,2006,1,204
acl,nips,2009,2007,5,229
acl,nips,2009,2008,8,261
acl,nips,2010,1990,1,19
acl,nips,2010,1995,1,42
acl,nips,2010,1997,1,35
acl,nips,2010,1999,1,62
acl,nips,2010,2000,1,88
acl,nips,2010,2001,3,71
acl,nips,2010,2002,3,134
acl,nips,2010,2003,4,132
acl,nips,2010,2004,6,162
acl,nips,2010,2006,3,223
acl,nips,2010,2007,8,265
acl,nips,2010,2008,7,295
acl,nips,2010,2009,5,349
acl,nips,2011,1999,1,44
acl,nips,2011,2001,4,59
acl,nips,2011,2002,3,81
acl,nips,2011,2003,4,123
acl,nips,2011,2004,6,155
acl,nips,2011,2006,3,190
acl,nips,2011,2007,5,248
acl,nips,2011,2008,6,263
acl,nips,2011,2009,10,363
acl,nips,2011,2010,4,432
acl,nips,2012,1995,1,22
acl,nips,2012,2000,2,65
acl,nips,2012,2001,3,60
acl,nips,2012,2003,2,102
acl,nips,2012,2004,5,147
acl,nips,2012,2006,2,186
acl,nips,2012,2007,8,188
acl,nips,2012,2008,3,231
acl,nips,2012,2009,6,237
acl,nips,2012,2010,2,331
acl,nips,2012,2011,5,282
acl,nips,2013,1995,2,19
acl,nips,2013,1996,1,25
acl,nips,2013,1997,1,26
acl,nips,2013,2001,2,43
acl,nips,2013,2002,1,67
acl,nips,2013,2003,2,92
acl,nips,2013,2004,6,122
acl,nips,2013,2006,1,155
acl,nips,2013,2007,6,191
acl,nips,2013,2008,4,240
acl,nips,2013,2009,7,253
acl,nips,2013,2010,6,358
acl,nips,2013,2011,4,296
acl,nips,2013,2012,2,338
acl,nips,2014,1995,1,13
acl,nips,2014,1999,2,24
acl,nips,2014,2000,1,43
acl,nips,2014,2001,6,46
acl,nips,2014,2003,3,83
acl,nips,2014,2004,2,94
acl,nips,2014,2005,1,95
acl,nips,2014,2006,5,154
acl,nips,2014,2007,8,147
acl,nips,2014,2008,3,173
acl,nips,2014,2009,4,203
acl,nips,2014,2010,6,260
acl,nips,2014,2011,6,257
acl,nips,2014,2012,3,324
acl,nips,2014,2013,7,327
acl,nips,2015,2009,2,3
acl,nips,2015,2013,1,4
