from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
alt,alt,1992,1991,3,8
alt,alt,1993,1990,1,22
alt,alt,1993,1991,4,24
alt,alt,1993,1992,2,25
alt,alt,1994,1990,2,11
alt,alt,1994,1991,3,14
alt,alt,1994,1992,3,22
alt,alt,1994,1993,6,35
alt,alt,1995,1990,1,14
alt,alt,1995,1991,2,16
alt,alt,1995,1992,2,23
alt,alt,1995,1993,4,22
alt,alt,1995,1994,5,25
alt,alt,1996,1990,1,12
alt,alt,1996,1991,1,9
alt,alt,1996,1992,1,17
alt,alt,1996,1993,2,12
alt,alt,1996,1994,1,28
alt,alt,1996,1995,2,16
alt,alt,1997,1991,2,13
alt,alt,1997,1992,1,18
alt,alt,1997,1993,2,19
alt,alt,1997,1994,3,28
alt,alt,1997,1995,6,40
alt,alt,1997,1996,1,24
alt,alt,1998,1990,1,13
alt,alt,1998,1991,3,16
alt,alt,1998,1993,2,25
alt,alt,1998,1994,4,32
alt,alt,1998,1995,2,25
alt,alt,1998,1996,4,25
alt,alt,1998,1997,5,31
alt,alt,1999,1991,3,9
alt,alt,1999,1993,2,13
alt,alt,1999,1994,2,17
alt,alt,1999,1995,1,20
alt,alt,1999,1996,1,17
alt,alt,1999,1997,1,23
alt,alt,1999,1998,1,35
alt,alt,2000,1991,1,7
alt,alt,2000,1994,1,18
alt,alt,2000,1995,1,37
alt,alt,2000,1996,3,18
alt,alt,2000,1997,1,16
alt,alt,2000,1998,4,37
alt,alt,2000,1999,7,30
alt,alt,2001,1991,2,14
alt,alt,2001,1993,1,11
alt,alt,2001,1994,4,21
alt,alt,2001,1995,4,23
alt,alt,2001,1996,1,18
alt,alt,2001,1997,3,28
alt,alt,2001,1998,1,27
alt,alt,2001,1999,3,13
alt,alt,2002,1990,1,5
alt,alt,2002,1991,2,9
alt,alt,2002,1994,2,15
alt,alt,2002,1995,2,19
alt,alt,2002,1996,2,10
alt,alt,2002,1997,1,13
alt,alt,2002,1998,2,26
alt,alt,2002,1999,1,22
alt,alt,2002,2000,2,19
alt,alt,2002,2001,3,20
alt,alt,2003,1991,2,3
alt,alt,2003,1993,1,4
alt,alt,2003,1997,1,6
alt,alt,2003,2000,1,9
alt,alt,2003,2001,3,18
alt,alt,2003,2002,4,17
alt,alt,2004,1990,1,6
alt,alt,2004,1991,1,6
alt,alt,2004,1997,1,16
alt,alt,2004,1999,2,20
alt,alt,2004,2001,1,30
alt,alt,2004,2002,3,42
alt,alt,2004,2003,2,40
alt,alt,2005,1991,2,13
alt,alt,2005,1995,1,21
alt,alt,2005,1997,2,23
alt,alt,2005,1998,2,22
alt,alt,2005,1999,1,18
alt,alt,2005,2000,1,15
alt,alt,2005,2002,4,18
alt,alt,2005,2004,4,25
alt,alt,2006,1991,3,9
alt,alt,2006,1994,1,14
alt,alt,2006,1995,1,19
alt,alt,2006,1996,1,18
alt,alt,2006,1999,1,16
alt,alt,2006,2001,3,23
alt,alt,2006,2002,2,19
alt,alt,2006,2003,1,21
alt,alt,2006,2004,4,18
alt,alt,2006,2005,2,18
alt,alt,2007,1991,2,3
alt,alt,2007,1994,1,13
alt,alt,2007,1997,1,15
alt,alt,2007,2001,2,16
alt,alt,2007,2005,3,15
alt,alt,2008,1991,1,5
alt,alt,2008,1998,1,13
alt,alt,2008,2001,1,12
alt,alt,2008,2004,1,13
alt,alt,2008,2005,2,27
alt,alt,2008,2006,2,19
alt,alt,2008,2007,3,25
alt,alt,2009,1994,1,7
alt,alt,2009,2001,1,7
alt,alt,2009,2004,1,10
alt,alt,2009,2005,1,15
alt,alt,2009,2006,1,17
alt,alt,2009,2008,5,33
alt,alt,2010,1991,1,3
alt,alt,2010,1997,1,9
alt,alt,2010,2001,1,8
alt,alt,2010,2007,3,22
alt,alt,2010,2008,1,26
alt,alt,2010,2009,2,21
alt,alt,2011,1991,1,7
alt,alt,2011,2006,2,16
alt,alt,2011,2007,1,25
alt,alt,2011,2008,1,31
alt,alt,2011,2010,2,21
alt,alt,2012,2006,1,11
alt,alt,2012,2007,1,15
alt,alt,2012,2010,1,22
alt,alt,2012,2011,3,18
alt,alt,2013,1998,1,9
alt,alt,2013,2006,2,19
alt,alt,2013,2007,1,20
alt,alt,2013,2009,1,18
alt,alt,2013,2010,2,20
alt,alt,2013,2011,3,23
alt,alt,2013,2012,2,16
alt,alt,2014,1998,1,9
alt,alt,2014,2007,1,5
alt,alt,2014,2008,1,14
alt,alt,2014,2010,2,11
alt,alt,2014,2012,2,13
alt,alt,2014,2013,3,21
