from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
alt,colt,1991,1988,1,1
alt,colt,1991,1989,2,2
alt,colt,1991,1990,1,1
alt,colt,1992,1988,3,13
alt,colt,1992,1989,4,14
alt,colt,1992,1990,2,9
alt,colt,1992,1991,1,8
alt,colt,1993,1988,2,16
alt,colt,1993,1989,4,29
alt,colt,1993,1990,3,22
alt,colt,1993,1991,1,24
alt,colt,1993,1992,7,25
alt,colt,1994,1988,2,9
alt,colt,1994,1989,2,10
alt,colt,1994,1990,2,11
alt,colt,1994,1991,4,14
alt,colt,1994,1992,9,22
alt,colt,1994,1993,5,35
alt,colt,1995,1989,1,7
alt,colt,1995,1990,2,14
alt,colt,1995,1991,2,16
alt,colt,1995,1992,5,23
alt,colt,1995,1993,4,22
alt,colt,1995,1994,2,25
alt,colt,1996,1988,2,6
alt,colt,1996,1989,3,11
alt,colt,1996,1991,1,9
alt,colt,1996,1992,2,17
alt,colt,1996,1994,6,28
alt,colt,1996,1995,1,16
alt,colt,1997,1988,2,15
alt,colt,1997,1989,4,17
alt,colt,1997,1990,1,10
alt,colt,1997,1991,3,13
alt,colt,1997,1992,7,18
alt,colt,1997,1993,4,19
alt,colt,1997,1994,5,28
alt,colt,1997,1995,9,40
alt,colt,1997,1996,3,24
alt,colt,1998,1988,2,13
alt,colt,1998,1989,2,9
alt,colt,1998,1990,3,13
alt,colt,1998,1991,2,16
alt,colt,1998,1992,7,30
alt,colt,1998,1993,3,25
alt,colt,1998,1994,3,32
alt,colt,1998,1995,4,25
alt,colt,1998,1996,5,25
alt,colt,1998,1997,4,31
alt,colt,1999,1988,1,8
alt,colt,1999,1989,3,7
alt,colt,1999,1990,1,5
alt,colt,1999,1991,1,9
alt,colt,1999,1992,5,13
alt,colt,1999,1993,3,13
alt,colt,1999,1994,3,17
alt,colt,1999,1995,5,20
alt,colt,1999,1996,2,17
alt,colt,1999,1997,5,23
alt,colt,1999,1998,8,35
alt,colt,2000,1990,1,5
alt,colt,2000,1992,2,13
alt,colt,2000,1993,2,7
alt,colt,2000,1994,3,18
alt,colt,2000,1995,2,37
alt,colt,2000,1996,3,18
alt,colt,2000,1998,3,37
alt,colt,2000,1999,2,30
alt,colt,2001,1988,1,13
alt,colt,2001,1989,2,13
alt,colt,2001,1991,4,14
alt,colt,2001,1992,7,19
alt,colt,2001,1993,1,11
alt,colt,2001,1994,3,21
alt,colt,2001,1995,7,23
alt,colt,2001,1996,4,18
alt,colt,2001,1997,6,28
alt,colt,2001,1998,6,27
alt,colt,2001,1999,3,13
alt,colt,2001,2000,4,24
alt,colt,2002,1989,2,9
alt,colt,2002,1991,1,9
alt,colt,2002,1992,4,10
alt,colt,2002,1993,1,10
alt,colt,2002,1996,1,10
alt,colt,2002,1997,1,13
alt,colt,2002,1998,3,26
alt,colt,2002,1999,4,22
alt,colt,2002,2000,4,19
alt,colt,2002,2001,8,20
alt,colt,2003,1989,3,4
alt,colt,2003,1990,1,1
alt,colt,2003,1992,1,4
alt,colt,2003,1994,1,8
alt,colt,2003,1996,2,7
alt,colt,2003,1998,1,8
alt,colt,2003,1999,2,8
alt,colt,2003,2001,2,18
alt,colt,2003,2002,2,17
alt,colt,2004,1989,2,7
alt,colt,2004,1991,2,6
alt,colt,2004,1992,3,6
alt,colt,2004,1993,1,11
alt,colt,2004,1994,1,10
alt,colt,2004,1995,1,12
alt,colt,2004,1997,1,16
alt,colt,2004,1998,1,23
alt,colt,2004,1999,5,20
alt,colt,2004,2000,3,18
alt,colt,2004,2001,3,30
alt,colt,2004,2002,3,42
alt,colt,2004,2003,4,40
alt,colt,2005,1988,1,9
alt,colt,2005,1989,2,8
alt,colt,2005,1991,3,13
alt,colt,2005,1992,5,9
alt,colt,2005,1993,1,9
alt,colt,2005,1994,1,18
alt,colt,2005,1995,3,21
alt,colt,2005,1996,3,11
alt,colt,2005,1997,3,23
alt,colt,2005,1998,2,22
alt,colt,2005,1999,3,18
alt,colt,2005,2001,1,19
alt,colt,2005,2002,1,18
alt,colt,2005,2003,2,25
alt,colt,2005,2004,3,25
alt,colt,2006,1989,2,7
alt,colt,2006,1990,2,8
alt,colt,2006,1991,2,9
alt,colt,2006,1992,5,9
alt,colt,2006,1993,2,13
alt,colt,2006,1994,3,14
alt,colt,2006,1996,1,18
alt,colt,2006,1997,1,11
alt,colt,2006,1998,2,16
alt,colt,2006,1999,3,16
alt,colt,2006,2000,3,12
alt,colt,2006,2001,4,23
alt,colt,2006,2002,2,19
alt,colt,2006,2003,1,21
alt,colt,2006,2005,5,18
alt,colt,2007,1988,1,9
alt,colt,2007,1989,2,3
alt,colt,2007,1992,2,3
alt,colt,2007,1993,4,12
alt,colt,2007,1994,2,13
alt,colt,2007,1996,1,10
alt,colt,2007,1997,1,15
alt,colt,2007,2001,3,16
alt,colt,2007,2002,1,11
alt,colt,2007,2003,2,11
alt,colt,2007,2004,1,15
alt,colt,2007,2005,1,15
alt,colt,2007,2006,2,25
alt,colt,2008,1989,1,3
alt,colt,2008,1991,1,5
alt,colt,2008,1992,2,3
alt,colt,2008,1993,2,9
alt,colt,2008,1994,1,10
alt,colt,2008,1995,1,9
alt,colt,2008,1997,1,12
alt,colt,2008,1999,2,11
alt,colt,2008,2000,1,7
alt,colt,2008,2001,2,12
alt,colt,2008,2004,2,13
alt,colt,2008,2005,4,27
alt,colt,2008,2006,1,19
alt,colt,2008,2007,1,25
alt,colt,2009,1992,3,4
alt,colt,2009,1993,1,1
alt,colt,2009,1994,1,7
alt,colt,2009,1995,1,2
alt,colt,2009,1996,1,10
alt,colt,2009,1997,1,5
alt,colt,2009,1998,1,9
alt,colt,2009,1999,1,13
alt,colt,2009,2002,1,5
alt,colt,2009,2003,1,12
alt,colt,2009,2004,1,10
alt,colt,2009,2005,3,15
alt,colt,2009,2007,1,22
alt,colt,2009,2008,2,33
alt,colt,2010,1992,3,6
alt,colt,2010,1994,2,7
alt,colt,2010,1996,1,7
alt,colt,2010,1998,1,14
alt,colt,2010,1999,3,10
alt,colt,2010,2001,1,8
alt,colt,2010,2002,2,11
alt,colt,2010,2003,1,14
alt,colt,2010,2004,3,9
alt,colt,2010,2007,1,22
alt,colt,2010,2008,3,26
alt,colt,2010,2009,1,21
alt,colt,2011,1989,2,5
alt,colt,2011,1990,2,4
alt,colt,2011,1993,1,7
alt,colt,2011,1995,1,10
alt,colt,2011,1997,1,4
alt,colt,2011,1998,2,7
alt,colt,2011,1999,1,11
alt,colt,2011,2000,1,4
alt,colt,2011,2002,1,7
alt,colt,2011,2003,1,16
alt,colt,2011,2005,1,12
alt,colt,2011,2006,1,16
alt,colt,2011,2007,1,25
alt,colt,2011,2008,3,31
alt,colt,2011,2009,1,23
alt,colt,2011,2010,2,21
alt,colt,2012,1989,1,2
alt,colt,2012,1992,1,2
alt,colt,2012,1994,1,5
alt,colt,2012,1995,1,4
alt,colt,2012,1996,1,4
alt,colt,2012,1997,1,8
alt,colt,2012,1998,2,14
alt,colt,2012,1999,1,6
alt,colt,2012,2001,4,11
alt,colt,2012,2005,2,8
alt,colt,2012,2006,1,11
alt,colt,2012,2007,2,15
alt,colt,2012,2008,1,19
alt,colt,2012,2009,1,18
alt,colt,2012,2010,2,22
alt,colt,2012,2011,1,18
alt,colt,2013,1989,1,7
alt,colt,2013,1992,1,3
alt,colt,2013,1994,1,8
alt,colt,2013,1997,1,9
alt,colt,2013,1999,1,7
alt,colt,2013,2001,2,9
alt,colt,2013,2004,2,11
alt,colt,2013,2005,1,7
alt,colt,2013,2006,1,19
alt,colt,2013,2008,1,19
alt,colt,2013,2010,1,20
alt,colt,2014,1989,1,3
alt,colt,2014,1992,1,2
alt,colt,2014,1993,1,1
alt,colt,2014,1997,1,4
alt,colt,2014,1999,2,5
alt,colt,2014,2001,1,4
alt,colt,2014,2002,2,7
alt,colt,2014,2004,1,5
alt,colt,2014,2005,1,13
alt,colt,2014,2008,1,14
alt,colt,2014,2010,1,11
alt,colt,2014,2013,1,21
