from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
alt,ilp,1993,1992,1,25
alt,ilp,1995,1992,1,23
alt,ilp,1995,1994,1,25
alt,ilp,1997,1992,1,18
alt,ilp,1998,1992,4,30
alt,ilp,1998,1993,1,25
alt,ilp,1998,1997,2,31
alt,ilp,1999,1992,3,13
alt,ilp,1999,1993,1,13
alt,ilp,1999,1997,1,23
alt,ilp,2000,1992,1,13
alt,ilp,2000,1997,1,16
alt,ilp,2000,1998,1,37
alt,ilp,2000,1999,2,30
alt,ilp,2002,1992,1,10
alt,ilp,2002,1997,1,13
alt,ilp,2002,1998,1,26
alt,ilp,2002,1999,3,22
alt,ilp,2003,1999,1,8
alt,ilp,2004,1997,1,16
alt,ilp,2004,2002,1,42
alt,ilp,2005,1992,1,9
alt,ilp,2005,1999,1,18
