from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
alt,nips,1993,1992,1,25
alt,nips,1995,1990,1,14
alt,nips,1997,1996,1,24
alt,nips,1998,1992,1,30
alt,nips,1999,1996,2,17
alt,nips,1999,1998,1,35
alt,nips,2000,1994,2,18
alt,nips,2000,1997,1,16
alt,nips,2000,1998,1,37
alt,nips,2001,1990,1,5
alt,nips,2001,1992,1,19
alt,nips,2001,1995,1,23
alt,nips,2001,1998,2,27
alt,nips,2001,2000,1,24
alt,nips,2002,1991,1,9
alt,nips,2002,1996,1,10
alt,nips,2002,1997,2,13
alt,nips,2002,1998,1,26
alt,nips,2002,1999,2,22
alt,nips,2003,2001,2,18
alt,nips,2003,2002,4,17
alt,nips,2004,1992,1,6
alt,nips,2004,1996,1,11
alt,nips,2004,1999,1,20
alt,nips,2004,2000,2,18
alt,nips,2004,2001,1,30
alt,nips,2004,2003,7,40
alt,nips,2005,1990,1,7
alt,nips,2005,1996,1,11
alt,nips,2005,1997,1,23
alt,nips,2005,2000,1,15
alt,nips,2006,1999,1,16
alt,nips,2006,2002,1,19
alt,nips,2006,2003,2,21
alt,nips,2006,2004,1,18
alt,nips,2006,2005,1,18
alt,nips,2007,1990,1,3
alt,nips,2007,2001,1,16
alt,nips,2007,2004,1,15
alt,nips,2007,2006,1,25
alt,nips,2008,2002,3,16
alt,nips,2008,2003,1,16
alt,nips,2008,2004,1,13
alt,nips,2008,2005,1,27
alt,nips,2008,2006,1,19
alt,nips,2008,2007,3,25
alt,nips,2009,2004,3,10
alt,nips,2009,2005,1,15
alt,nips,2009,2006,1,17
alt,nips,2009,2007,2,22
alt,nips,2009,2008,4,33
alt,nips,2010,2000,1,3
alt,nips,2010,2002,1,11
alt,nips,2010,2003,1,14
alt,nips,2010,2005,2,7
alt,nips,2010,2006,1,17
alt,nips,2010,2007,2,22
alt,nips,2010,2008,3,26
alt,nips,2010,2009,1,21
alt,nips,2011,1994,2,6
alt,nips,2011,1995,1,10
alt,nips,2011,1999,1,11
alt,nips,2011,2003,1,16
alt,nips,2011,2004,2,13
alt,nips,2011,2005,1,12
alt,nips,2011,2006,3,16
alt,nips,2011,2007,4,25
alt,nips,2011,2008,3,31
alt,nips,2011,2009,1,23
alt,nips,2011,2010,1,21
alt,nips,2012,2007,2,15
alt,nips,2012,2009,3,18
alt,nips,2012,2010,3,22
alt,nips,2012,2011,4,18
alt,nips,2013,1994,1,8
alt,nips,2013,2001,1,9
alt,nips,2013,2002,1,6
alt,nips,2013,2007,4,20
alt,nips,2013,2008,1,19
alt,nips,2013,2009,1,18
alt,nips,2013,2010,1,20
alt,nips,2013,2012,2,16
alt,nips,2014,1994,1,3
alt,nips,2014,1999,1,5
alt,nips,2014,2002,1,7
alt,nips,2014,2005,1,13
alt,nips,2014,2008,1,14
alt,nips,2014,2009,1,14
alt,nips,2014,2011,1,8
alt,nips,2014,2012,1,13
alt,nips,2014,2013,6,21
alt,nips,2015,2011,1,2
alt,nips,2015,2012,1,1
