from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
bmvc,aaai,1991,1980,1,2
bmvc,aaai,1998,1993,1,30
bmvc,aaai,1998,1996,1,64
bmvc,aaai,2001,1991,1,14
bmvc,aaai,2001,1999,1,41
bmvc,aaai,2002,1991,1,8
bmvc,aaai,2002,1998,1,34
bmvc,aaai,2005,2004,1,69
bmvc,aaai,2006,2004,1,81
bmvc,aaai,2007,2006,1,107
bmvc,aaai,2008,2006,1,118
bmvc,aaai,2009,2002,1,54
bmvc,aaai,2010,1996,1,15
bmvc,aaai,2011,1998,1,31
bmvc,aaai,2011,2002,1,35
bmvc,aaai,2012,1982,1,3
bmvc,aaai,2012,2008,1,123
bmvc,aaai,2013,2006,1,79
bmvc,aaai,2013,2011,1,152
bmvc,aaai,2014,2008,1,86
bmvc,aaai,2014,2010,2,138
bmvc,aaai,2014,2012,1,180
