from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
bmvc,eccv,1991,1990,3,32
bmvc,eccv,1992,1990,8,44
bmvc,eccv,1993,1990,4,20
bmvc,eccv,1993,1992,6,32
bmvc,eccv,1994,1990,2,16
bmvc,eccv,1994,1992,6,35
bmvc,eccv,1995,1990,1,14
bmvc,eccv,1995,1992,2,28
bmvc,eccv,1995,1994,8,43
bmvc,eccv,1996,1992,1,6
bmvc,eccv,1996,1994,1,5
bmvc,eccv,1997,1992,3,6
bmvc,eccv,1997,1996,1,4
bmvc,eccv,1998,1992,4,27
bmvc,eccv,1998,1994,8,49
bmvc,eccv,1998,1996,7,64
bmvc,eccv,1999,1994,2,17
bmvc,eccv,1999,1996,7,28
bmvc,eccv,1999,1998,7,40
bmvc,eccv,2000,1990,2,14
bmvc,eccv,2000,1992,2,12
bmvc,eccv,2000,1994,3,19
bmvc,eccv,2000,1996,8,38
bmvc,eccv,2000,1998,2,40
bmvc,eccv,2001,1994,3,22
bmvc,eccv,2001,1996,4,26
bmvc,eccv,2001,1998,5,25
bmvc,eccv,2001,2000,3,40
bmvc,eccv,2002,1992,4,13
bmvc,eccv,2002,1996,3,15
bmvc,eccv,2002,1998,8,34
bmvc,eccv,2002,2000,6,38
bmvc,eccv,2003,1992,1,11
bmvc,eccv,2003,1994,4,17
bmvc,eccv,2003,1996,5,23
bmvc,eccv,2003,1998,3,32
bmvc,eccv,2003,2000,5,36
bmvc,eccv,2003,2002,14,49
bmvc,eccv,2004,1990,1,8
bmvc,eccv,2004,1992,3,15
bmvc,eccv,2004,1994,2,14
bmvc,eccv,2004,1996,6,27
bmvc,eccv,2004,1998,2,30
bmvc,eccv,2004,2000,6,43
bmvc,eccv,2004,2002,11,53
bmvc,eccv,2005,1992,2,9
bmvc,eccv,2005,1998,5,23
bmvc,eccv,2005,2000,7,34
bmvc,eccv,2005,2002,8,37
bmvc,eccv,2005,2004,13,69
bmvc,eccv,2006,1992,1,8
bmvc,eccv,2006,1994,1,12
bmvc,eccv,2006,1996,3,16
bmvc,eccv,2006,1998,5,29
bmvc,eccv,2006,2000,4,48
bmvc,eccv,2006,2002,11,52
bmvc,eccv,2006,2004,15,81
bmvc,eccv,2007,1992,3,13
bmvc,eccv,2007,1994,1,11
bmvc,eccv,2007,1996,1,22
bmvc,eccv,2007,1998,2,23
bmvc,eccv,2007,1999,1,45
bmvc,eccv,2007,2000,2,24
bmvc,eccv,2007,2002,12,40
bmvc,eccv,2007,2003,1,55
bmvc,eccv,2007,2004,11,77
bmvc,eccv,2007,2006,22,107
bmvc,eccv,2008,1992,4,13
bmvc,eccv,2008,1994,1,14
bmvc,eccv,2008,1996,3,16
bmvc,eccv,2008,1998,3,32
bmvc,eccv,2008,2000,8,49
bmvc,eccv,2008,2002,7,39
bmvc,eccv,2008,2004,12,94
bmvc,eccv,2008,2005,1,101
bmvc,eccv,2008,2006,19,118
bmvc,eccv,2009,1992,1,10
bmvc,eccv,2009,1994,1,17
bmvc,eccv,2009,1996,3,22
bmvc,eccv,2009,1998,1,32
bmvc,eccv,2009,2000,3,41
bmvc,eccv,2009,2002,14,54
bmvc,eccv,2009,2004,10,111
bmvc,eccv,2009,2006,21,159
bmvc,eccv,2009,2008,45,206
bmvc,eccv,2010,1992,1,6
bmvc,eccv,2010,1994,1,10
bmvc,eccv,2010,1996,1,15
bmvc,eccv,2010,1998,3,35
bmvc,eccv,2010,2000,3,39
bmvc,eccv,2010,2002,10,44
bmvc,eccv,2010,2004,11,84
bmvc,eccv,2010,2006,19,127
bmvc,eccv,2010,2008,25,162
bmvc,eccv,2011,1996,3,17
bmvc,eccv,2011,1998,3,31
bmvc,eccv,2011,2000,2,26
bmvc,eccv,2011,2002,8,35
bmvc,eccv,2011,2004,7,74
bmvc,eccv,2011,2006,19,116
bmvc,eccv,2011,2008,24,134
bmvc,eccv,2011,2009,1,201
bmvc,eccv,2011,2010,44,209
bmvc,eccv,2012,1992,1,8
bmvc,eccv,2012,1994,1,7
bmvc,eccv,2012,1996,2,11
bmvc,eccv,2012,1998,1,19
bmvc,eccv,2012,2000,2,17
bmvc,eccv,2012,2002,5,28
bmvc,eccv,2012,2004,3,48
bmvc,eccv,2012,2006,10,96
bmvc,eccv,2012,2008,21,123
bmvc,eccv,2012,2010,43,143
bmvc,eccv,2013,1990,1,14
bmvc,eccv,2013,1992,3,14
bmvc,eccv,2013,1994,2,6
bmvc,eccv,2013,1996,1,14
bmvc,eccv,2013,1998,1,31
bmvc,eccv,2013,2002,10,45
bmvc,eccv,2013,2004,6,59
bmvc,eccv,2013,2006,12,79
bmvc,eccv,2013,2008,14,105
bmvc,eccv,2013,2009,1,119
bmvc,eccv,2013,2010,34,143
bmvc,eccv,2013,2012,30,178
bmvc,eccv,2014,1992,1,12
bmvc,eccv,2014,1994,2,8
bmvc,eccv,2014,1998,1,21
bmvc,eccv,2014,2000,1,13
bmvc,eccv,2014,2002,5,25
bmvc,eccv,2014,2004,2,46
bmvc,eccv,2014,2006,3,65
bmvc,eccv,2014,2008,18,86
bmvc,eccv,2014,2010,33,138
bmvc,eccv,2014,2012,43,180
bmvc,eccv,2014,2013,3,184
bmvc,eccv,2015,2012,1,2
bmvc,eccv,2015,2013,1,3
