from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
bmvc,iccv,1990,1987,2,14
bmvc,iccv,1990,1988,3,15
bmvc,iccv,1991,1987,1,8
bmvc,iccv,1991,1988,2,13
bmvc,iccv,1991,1990,3,32
bmvc,iccv,1992,1988,2,13
bmvc,iccv,1992,1990,4,44
bmvc,iccv,1993,1987,2,11
bmvc,iccv,1993,1988,3,12
bmvc,iccv,1993,1990,6,20
bmvc,iccv,1994,1987,2,9
bmvc,iccv,1994,1988,1,9
bmvc,iccv,1994,1990,2,16
bmvc,iccv,1994,1993,5,39
bmvc,iccv,1995,1988,2,9
bmvc,iccv,1995,1993,6,35
bmvc,iccv,1996,1995,1,6
bmvc,iccv,1997,1987,1,1
bmvc,iccv,1997,1990,1,3
bmvc,iccv,1997,1993,1,5
bmvc,iccv,1997,1995,5,13
bmvc,iccv,1998,1990,2,16
bmvc,iccv,1998,1993,2,30
bmvc,iccv,1998,1995,11,59
bmvc,iccv,1999,1993,2,11
bmvc,iccv,1999,1995,7,21
bmvc,iccv,1999,1998,5,40
bmvc,iccv,2000,1987,1,10
bmvc,iccv,2000,1990,1,14
bmvc,iccv,2000,1993,1,20
bmvc,iccv,2000,1995,2,21
bmvc,iccv,2000,1998,5,40
bmvc,iccv,2000,1999,9,41
bmvc,iccv,2001,1993,3,14
bmvc,iccv,2001,1995,2,20
bmvc,iccv,2001,1998,4,25
bmvc,iccv,2001,1999,10,41
bmvc,iccv,2002,1987,1,4
bmvc,iccv,2002,1988,1,4
bmvc,iccv,2002,1990,1,5
bmvc,iccv,2002,1993,1,11
bmvc,iccv,2002,1995,3,24
bmvc,iccv,2002,1998,2,34
bmvc,iccv,2002,1999,10,39
bmvc,iccv,2002,2001,10,49
bmvc,iccv,2003,1987,1,6
bmvc,iccv,2003,1988,1,2
bmvc,iccv,2003,1995,2,12
bmvc,iccv,2003,1998,3,32
bmvc,iccv,2003,1999,11,32
bmvc,iccv,2003,2001,18,55
bmvc,iccv,2004,1987,1,7
bmvc,iccv,2004,1988,1,4
bmvc,iccv,2004,1990,1,8
bmvc,iccv,2004,1995,1,17
bmvc,iccv,2004,1998,5,30
bmvc,iccv,2004,1999,12,35
bmvc,iccv,2004,2001,17,44
bmvc,iccv,2004,2003,10,55
bmvc,iccv,2005,1987,1,7
bmvc,iccv,2005,1995,2,12
bmvc,iccv,2005,1998,2,23
bmvc,iccv,2005,1999,7,26
bmvc,iccv,2005,2001,7,48
bmvc,iccv,2005,2003,14,62
