from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
bmvc,icml,2002,1992,1,13
bmvc,icml,2002,1996,1,15
bmvc,icml,2002,2001,1,49
bmvc,icml,2003,1996,1,23
bmvc,icml,2004,2003,1,55
bmvc,icml,2005,2003,1,62
bmvc,icml,2005,2004,2,69
bmvc,icml,2006,2002,1,52
bmvc,icml,2006,2003,1,77
bmvc,icml,2006,2004,1,81
bmvc,icml,2007,2002,1,40
bmvc,icml,2007,2004,1,77
bmvc,icml,2007,2005,2,96
bmvc,icml,2007,2006,1,107
bmvc,icml,2008,2000,1,49
bmvc,icml,2008,2001,1,47
bmvc,icml,2008,2002,1,39
bmvc,icml,2008,2004,1,94
bmvc,icml,2009,2001,1,61
bmvc,icml,2009,2003,3,100
bmvc,icml,2009,2004,7,111
bmvc,icml,2009,2005,1,120
bmvc,icml,2009,2006,1,159
bmvc,icml,2009,2007,2,176
bmvc,icml,2009,2008,2,206
bmvc,icml,2010,1995,1,11
bmvc,icml,2010,2001,1,53
bmvc,icml,2010,2002,1,44
bmvc,icml,2010,2003,1,66
bmvc,icml,2010,2004,3,84
bmvc,icml,2010,2005,1,109
bmvc,icml,2010,2006,1,127
bmvc,icml,2010,2007,2,142
bmvc,icml,2010,2008,2,162
bmvc,icml,2010,2009,3,188
bmvc,icml,2011,2001,2,41
bmvc,icml,2011,2002,1,35
bmvc,icml,2011,2003,3,67
bmvc,icml,2011,2004,1,74
bmvc,icml,2011,2005,2,89
bmvc,icml,2011,2006,2,116
bmvc,icml,2011,2007,5,158
bmvc,icml,2011,2008,2,134
bmvc,icml,2011,2009,4,201
bmvc,icml,2012,1998,1,19
bmvc,icml,2012,2003,1,48
bmvc,icml,2012,2004,1,48
bmvc,icml,2012,2006,1,96
bmvc,icml,2012,2007,4,100
bmvc,icml,2012,2010,1,143
bmvc,icml,2013,1998,2,31
bmvc,icml,2013,2003,1,50
bmvc,icml,2013,2004,3,59
bmvc,icml,2013,2006,1,79
bmvc,icml,2013,2007,1,90
bmvc,icml,2013,2008,1,105
bmvc,icml,2013,2009,2,119
bmvc,icml,2013,2010,4,143
bmvc,icml,2013,2011,3,152
bmvc,icml,2013,2012,1,178
bmvc,icml,2014,1997,1,10
bmvc,icml,2014,1998,1,21
bmvc,icml,2014,2004,2,46
bmvc,icml,2014,2005,1,50
bmvc,icml,2014,2006,2,65
bmvc,icml,2014,2007,3,75
bmvc,icml,2014,2008,3,86
bmvc,icml,2014,2009,3,102
bmvc,icml,2014,2010,2,138
bmvc,icml,2014,2011,1,143
bmvc,icml,2014,2012,2,180
bmvc,icml,2014,2013,2,184
