from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
bmvc,icpr,1990,1984,1,7
bmvc,icpr,1990,1986,1,7
bmvc,icpr,1990,1988,1,15
bmvc,icpr,1992,1990,1,44
bmvc,icpr,1993,1984,1,6
bmvc,icpr,1993,1992,3,32
bmvc,icpr,1994,1990,1,16
bmvc,icpr,1994,1992,6,35
bmvc,icpr,1995,1986,1,10
bmvc,icpr,1995,1990,1,14
bmvc,icpr,1995,1992,1,28
bmvc,icpr,1995,1994,6,43
bmvc,icpr,1997,1994,1,4
bmvc,icpr,1998,1986,1,9
bmvc,icpr,1998,1988,2,5
bmvc,icpr,1998,1990,1,16
bmvc,icpr,1998,1992,2,27
bmvc,icpr,1998,1994,1,49
bmvc,icpr,1998,1996,6,64
bmvc,icpr,1999,1990,1,6
bmvc,icpr,1999,1994,3,17
bmvc,icpr,2000,1990,1,14
bmvc,icpr,2000,1994,1,19
bmvc,icpr,2000,1996,8,38
bmvc,icpr,2000,1998,2,40
bmvc,icpr,2001,1990,1,6
bmvc,icpr,2001,1996,3,26
bmvc,icpr,2001,2000,5,40
bmvc,icpr,2002,1988,1,4
bmvc,icpr,2002,1994,1,13
bmvc,icpr,2002,1996,2,15
bmvc,icpr,2002,2000,3,38
bmvc,icpr,2003,1994,2,17
bmvc,icpr,2003,1996,1,23
bmvc,icpr,2003,1998,1,32
bmvc,icpr,2003,2000,2,36
bmvc,icpr,2003,2002,3,49
bmvc,icpr,2004,1984,1,4
bmvc,icpr,2004,1994,1,14
bmvc,icpr,2004,1998,2,30
bmvc,icpr,2004,2000,1,43
bmvc,icpr,2004,2002,1,53
bmvc,icpr,2005,1996,2,15
bmvc,icpr,2005,1998,1,23
bmvc,icpr,2005,2000,3,34
bmvc,icpr,2005,2002,1,37
bmvc,icpr,2005,2004,4,69
bmvc,icpr,2006,1990,1,3
bmvc,icpr,2006,1994,1,12
bmvc,icpr,2006,1996,1,16
bmvc,icpr,2006,2000,3,48
bmvc,icpr,2006,2002,4,52
bmvc,icpr,2006,2004,6,81
bmvc,icpr,2006,2005,1,115
bmvc,icpr,2007,1992,1,13
bmvc,icpr,2007,1998,2,23
bmvc,icpr,2007,2002,2,40
bmvc,icpr,2007,2004,3,77
bmvc,icpr,2007,2006,5,107
bmvc,icpr,2008,2000,3,49
bmvc,icpr,2008,2004,6,94
bmvc,icpr,2008,2006,8,118
bmvc,icpr,2009,1978,1,3
bmvc,icpr,2009,1994,1,17
bmvc,icpr,2009,2002,3,54
bmvc,icpr,2009,2004,5,111
bmvc,icpr,2009,2005,1,120
bmvc,icpr,2009,2006,10,159
bmvc,icpr,2009,2007,1,176
bmvc,icpr,2009,2008,6,206
bmvc,icpr,2010,1996,1,15
bmvc,icpr,2010,2000,3,39
bmvc,icpr,2010,2002,3,44
bmvc,icpr,2010,2004,2,84
bmvc,icpr,2010,2006,4,127
bmvc,icpr,2010,2008,5,162
bmvc,icpr,2011,1998,1,31
bmvc,icpr,2011,2000,1,26
bmvc,icpr,2011,2002,2,35
bmvc,icpr,2011,2004,3,74
bmvc,icpr,2011,2006,2,116
bmvc,icpr,2011,2008,2,134
bmvc,icpr,2011,2010,13,209
bmvc,icpr,2012,1998,1,19
bmvc,icpr,2012,2000,1,17
bmvc,icpr,2012,2004,1,48
bmvc,icpr,2012,2008,7,123
bmvc,icpr,2012,2010,4,143
bmvc,icpr,2013,1994,1,6
bmvc,icpr,2013,1996,1,14
bmvc,icpr,2013,1998,1,31
bmvc,icpr,2013,2000,3,22
bmvc,icpr,2013,2002,1,45
bmvc,icpr,2013,2004,4,59
bmvc,icpr,2013,2006,4,79
bmvc,icpr,2013,2008,3,105
bmvc,icpr,2013,2010,4,143
bmvc,icpr,2013,2012,2,178
bmvc,icpr,2014,1992,1,12
bmvc,icpr,2014,2002,1,25
bmvc,icpr,2014,2004,1,46
bmvc,icpr,2014,2006,1,65
bmvc,icpr,2014,2008,3,86
bmvc,icpr,2014,2010,2,138
bmvc,icpr,2014,2012,3,180
