from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
bmvc,ijcai,1990,1983,1,1
bmvc,ijcai,1990,1985,1,3
bmvc,ijcai,1990,1987,1,14
bmvc,ijcai,1991,1973,1,2
bmvc,ijcai,1991,1981,1,6
bmvc,ijcai,1991,1983,1,5
bmvc,ijcai,1992,1977,1,2
bmvc,ijcai,1992,1981,1,7
bmvc,ijcai,1992,1983,2,14
bmvc,ijcai,1992,1987,1,25
bmvc,ijcai,1993,1975,1,2
bmvc,ijcai,1993,1983,1,3
bmvc,ijcai,1994,1981,1,3
bmvc,ijcai,1994,1987,1,9
bmvc,ijcai,1996,1981,1,1
bmvc,ijcai,1998,1981,2,4
bmvc,ijcai,1999,1985,1,3
bmvc,ijcai,2000,1977,1,3
bmvc,ijcai,2000,1981,2,6
bmvc,ijcai,2001,1981,2,4
bmvc,ijcai,2001,1985,2,7
bmvc,ijcai,2001,1989,1,4
bmvc,ijcai,2002,1981,2,4
bmvc,ijcai,2002,1993,1,11
bmvc,ijcai,2003,1977,1,1
bmvc,ijcai,2003,1981,1,3
bmvc,ijcai,2004,1981,1,1
bmvc,ijcai,2004,1985,1,5
bmvc,ijcai,2004,1995,1,17
bmvc,ijcai,2005,1977,1,1
bmvc,ijcai,2005,1997,1,21
bmvc,ijcai,2006,2003,1,77
bmvc,ijcai,2006,2005,1,115
bmvc,ijcai,2007,1981,1,3
bmvc,ijcai,2007,2003,1,55
bmvc,ijcai,2008,1977,1,1
bmvc,ijcai,2008,1981,1,5
bmvc,ijcai,2009,1981,1,5
bmvc,ijcai,2010,1979,1,3
bmvc,ijcai,2010,1981,1,2
bmvc,ijcai,2010,1983,1,2
bmvc,ijcai,2010,1993,1,2
bmvc,ijcai,2011,1981,1,6
bmvc,ijcai,2011,2001,1,41
bmvc,ijcai,2011,2003,1,67
bmvc,ijcai,2011,2010,1,209
bmvc,ijcai,2012,1981,1,3
bmvc,ijcai,2013,1977,1,2
bmvc,ijcai,2013,1981,1,4
bmvc,ijcai,2013,2003,1,50
bmvc,ijcai,2013,2007,1,90
bmvc,ijcai,2014,1981,1,1
bmvc,ijcai,2014,2005,1,50
bmvc,ijcai,2014,2013,1,184
bmvc,ijcai,2015,2007,1,3
