from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
coling,aaai,1984,1980,3,31
coling,aaai,1984,1982,5,59
coling,aaai,1984,1983,5,55
coling,aaai,1986,1982,1,30
coling,aaai,1986,1983,2,37
coling,aaai,1988,1980,1,14
coling,aaai,1988,1982,1,24
coling,aaai,1988,1983,4,32
coling,aaai,1988,1984,1,36
coling,aaai,1988,1986,3,103
coling,aaai,1988,1987,6,70
coling,aaai,1990,1980,3,10
coling,aaai,1990,1982,2,22
coling,aaai,1990,1983,1,33
coling,aaai,1990,1986,6,56
coling,aaai,1990,1987,3,60
coling,aaai,1990,1989,1,79
coling,aaai,1992,1987,4,54
coling,aaai,1992,1988,2,86
coling,aaai,1992,1990,5,112
coling,aaai,1992,1991,4,82
coling,aaai,1994,1980,1,8
coling,aaai,1994,1987,1,34
coling,aaai,1994,1990,4,68
coling,aaai,1994,1991,1,50
coling,aaai,1994,1992,3,103
coling,aaai,1994,1993,2,78
coling,aaai,1996,1980,1,6
coling,aaai,1996,1985,1,17
coling,aaai,1996,1986,1,17
coling,aaai,1996,1990,2,49
coling,aaai,1996,1991,1,39
coling,aaai,1996,1993,2,68
coling,aaai,1996,1994,8,108
coling,aaai,1997,1996,1,2
coling,aaai,1998,1992,1,34
coling,aaai,1998,1993,3,45
coling,aaai,1998,1994,4,66
coling,aaai,1998,1996,3,84
coling,aaai,1998,1997,2,65
coling,aaai,2000,1988,1,14
coling,aaai,2000,1990,1,27
coling,aaai,2000,1993,3,36
coling,aaai,2000,1994,2,51
coling,aaai,2000,1996,4,87
coling,aaai,2000,1997,3,53
coling,aaai,2000,1998,6,103
coling,aaai,2000,1999,5,87
coling,aaai,2001,1997,1,15
coling,aaai,2001,1998,1,16
coling,aaai,2001,1999,2,18
coling,aaai,2002,1993,3,46
coling,aaai,2002,1994,3,61
coling,aaai,2002,1996,3,67
coling,aaai,2002,1997,8,72
coling,aaai,2002,1998,4,125
coling,aaai,2002,1999,7,103
coling,aaai,2002,2000,6,187
coling,aaai,2003,1994,1,6
coling,aaai,2003,1996,1,12
coling,aaai,2003,1997,2,11
coling,aaai,2003,1999,1,14
coling,aaai,2004,1991,1,23
coling,aaai,2004,1992,1,27
coling,aaai,2004,1993,1,29
coling,aaai,2004,1994,3,37
coling,aaai,2004,1996,2,37
coling,aaai,2004,1997,2,58
coling,aaai,2004,1998,4,69
coling,aaai,2004,1999,3,83
coling,aaai,2004,2000,3,116
coling,aaai,2004,2002,2,170
coling,aaai,2005,1994,1,9
coling,aaai,2005,1996,1,3
coling,aaai,2005,1997,1,10
coling,aaai,2005,1999,1,13
coling,aaai,2005,2000,3,28
coling,aaai,2006,1992,1,25
coling,aaai,2006,1993,2,21
coling,aaai,2006,1994,2,44
coling,aaai,2006,1996,3,55
coling,aaai,2006,1997,1,44
coling,aaai,2006,1998,2,61
coling,aaai,2006,1999,2,66
coling,aaai,2006,2000,4,100
coling,aaai,2006,2002,2,147
coling,aaai,2006,2004,3,203
coling,aaai,2006,2005,5,201
coling,aaai,2008,1994,1,21
coling,aaai,2008,1996,1,30
coling,aaai,2008,1997,1,27
coling,aaai,2008,1998,2,46
coling,aaai,2008,1999,1,45
coling,aaai,2008,2000,4,72
coling,aaai,2008,2004,2,160
coling,aaai,2008,2005,1,170
coling,aaai,2008,2006,2,220
coling,aaai,2009,1993,3,13
coling,aaai,2009,1994,2,12
coling,aaai,2009,1996,2,22
coling,aaai,2009,1997,2,19
coling,aaai,2009,1999,1,22
coling,aaai,2009,2005,2,55
coling,aaai,2009,2006,1,55
coling,aaai,2010,1990,1,14
coling,aaai,2010,1993,1,30
coling,aaai,2010,1994,1,26
coling,aaai,2010,1996,2,36
coling,aaai,2010,1997,1,32
coling,aaai,2010,1999,1,57
coling,aaai,2010,2000,2,70
coling,aaai,2010,2004,2,191
coling,aaai,2010,2005,4,227
coling,aaai,2010,2006,7,282
coling,aaai,2010,2007,6,291
coling,aaai,2010,2008,5,371
coling,aaai,2011,1994,1,8
coling,aaai,2011,2000,1,37
coling,aaai,2011,2004,1,31
coling,aaai,2011,2006,1,33
coling,aaai,2011,2007,1,42
coling,aaai,2011,2008,1,47
coling,aaai,2012,1982,1,5
coling,aaai,2012,1990,1,15
coling,aaai,2012,1991,1,15
coling,aaai,2012,1992,1,21
coling,aaai,2012,1994,1,26
coling,aaai,2012,1997,1,31
coling,aaai,2012,1998,2,41
coling,aaai,2012,1999,2,47
coling,aaai,2012,2000,4,55
coling,aaai,2012,2004,2,121
coling,aaai,2012,2005,4,156
coling,aaai,2012,2006,3,195
coling,aaai,2012,2007,5,215
coling,aaai,2012,2008,5,259
coling,aaai,2012,2010,1,388
coling,aaai,2012,2011,6,286
coling,aaai,2013,1980,1,4
coling,aaai,2013,2000,2,38
coling,aaai,2013,2006,3,83
coling,aaai,2013,2007,1,93
coling,aaai,2013,2008,2,107
coling,aaai,2013,2010,1,148
coling,aaai,2013,2012,3,99
coling,aaai,2014,1993,1,13
coling,aaai,2014,1998,1,27
coling,aaai,2014,1999,1,34
coling,aaai,2014,2000,2,37
coling,aaai,2014,2004,1,107
coling,aaai,2014,2005,1,102
coling,aaai,2014,2006,2,118
coling,aaai,2014,2007,1,141
coling,aaai,2014,2008,1,191
coling,aaai,2014,2010,2,274
coling,aaai,2014,2011,1,219
coling,aaai,2014,2012,2,248
coling,aaai,2014,2013,2,248
