from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
coling,colt,1996,1992,1,76
coling,colt,1998,1995,1,78
coling,colt,2002,1992,1,37
coling,colt,2002,1998,1,125
coling,colt,2003,1998,1,14
coling,colt,2004,1994,1,37
coling,colt,2004,1995,1,48
coling,colt,2004,1998,1,69
coling,colt,2006,1998,1,61
coling,colt,2008,1998,2,46
coling,colt,2009,1998,2,24
coling,colt,2010,1992,1,18
coling,colt,2010,1998,2,57
coling,colt,2010,2001,1,77
coling,colt,2011,2001,1,10
coling,colt,2012,1992,1,21
coling,colt,2012,2001,1,65
coling,colt,2013,1992,1,10
coling,colt,2013,1998,2,23
coling,colt,2014,2001,1,38
