from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
coling,icml,1994,1992,1,103
coling,icml,1996,1995,1,86
coling,icml,1998,1991,1,28
coling,icml,1998,1995,2,78
coling,icml,1998,1996,1,84
coling,icml,2000,1991,1,24
coling,icml,2000,1997,1,53
coling,icml,2001,1995,1,10
coling,icml,2001,1996,1,13
coling,icml,2001,1997,1,15
coling,icml,2001,1998,1,16
coling,icml,2002,1992,1,37
coling,icml,2002,1993,1,46
coling,icml,2002,1994,3,61
coling,icml,2002,1995,1,49
coling,icml,2002,1996,2,67
coling,icml,2002,1997,1,72
coling,icml,2002,1998,4,125
coling,icml,2002,1999,3,103
coling,icml,2002,2000,2,187
coling,icml,2002,2001,2,117
coling,icml,2003,1997,2,11
coling,icml,2004,1995,1,48
coling,icml,2004,1997,1,58
coling,icml,2004,1998,1,69
coling,icml,2004,1999,2,83
coling,icml,2004,2000,1,116
coling,icml,2004,2001,2,77
coling,icml,2004,2003,1,169
coling,icml,2005,1998,1,11
coling,icml,2005,2000,1,28
coling,icml,2005,2003,1,53
coling,icml,2006,1994,1,44
coling,icml,2006,1996,1,55
coling,icml,2006,1997,3,44
coling,icml,2006,1998,2,61
coling,icml,2006,1999,3,66
coling,icml,2006,2000,3,100
coling,icml,2006,2001,3,73
coling,icml,2006,2002,2,147
coling,icml,2006,2003,3,152
coling,icml,2006,2004,3,203
coling,icml,2006,2005,6,201
coling,icml,2008,1995,2,30
coling,icml,2008,1997,1,27
coling,icml,2008,1998,1,46
coling,icml,2008,1999,2,45
coling,icml,2008,2000,2,72
coling,icml,2008,2001,2,59
coling,icml,2008,2003,4,134
coling,icml,2008,2004,1,160
coling,icml,2008,2005,4,170
coling,icml,2008,2006,3,220
coling,icml,2008,2007,2,189
coling,icml,2009,1992,1,6
coling,icml,2009,1995,1,15
coling,icml,2009,1997,1,19
coling,icml,2009,1998,1,24
coling,icml,2009,1999,1,22
coling,icml,2009,2000,2,25
coling,icml,2009,2001,1,28
coling,icml,2009,2002,2,41
coling,icml,2009,2003,2,54
coling,icml,2009,2005,1,55
coling,icml,2010,1992,1,18
coling,icml,2010,1996,1,36
coling,icml,2010,1997,3,32
coling,icml,2010,1998,1,57
coling,icml,2010,1999,1,57
coling,icml,2010,2000,2,70
coling,icml,2010,2001,2,77
coling,icml,2010,2002,1,136
coling,icml,2010,2003,1,150
coling,icml,2010,2004,2,191
coling,icml,2010,2005,8,227
coling,icml,2010,2006,5,282
coling,icml,2010,2007,5,291
coling,icml,2010,2008,3,371
coling,icml,2010,2009,2,336
coling,icml,2011,1995,1,16
coling,icml,2011,1997,1,7
coling,icml,2011,1998,1,15
coling,icml,2011,1999,1,15
coling,icml,2011,2000,1,37
coling,icml,2011,2001,1,10
coling,icml,2011,2002,1,27
coling,icml,2011,2003,1,40
coling,icml,2011,2004,1,31
coling,icml,2011,2005,1,35
coling,icml,2011,2007,1,42
coling,icml,2012,1994,1,26
coling,icml,2012,1995,1,28
coling,icml,2012,1997,2,31
coling,icml,2012,1998,3,41
coling,icml,2012,1999,1,47
coling,icml,2012,2000,1,55
coling,icml,2012,2001,2,65
coling,icml,2012,2002,1,100
coling,icml,2012,2003,4,114
coling,icml,2012,2005,3,156
coling,icml,2012,2006,3,195
coling,icml,2012,2007,3,215
coling,icml,2012,2008,7,259
coling,icml,2012,2009,2,282
coling,icml,2012,2011,2,286
coling,icml,2013,1995,1,13
coling,icml,2013,1997,3,17
coling,icml,2013,1998,1,23
coling,icml,2013,2000,3,38
coling,icml,2013,2001,1,17
coling,icml,2013,2003,1,66
coling,icml,2013,2004,1,75
coling,icml,2013,2006,1,83
coling,icml,2013,2007,2,93
coling,icml,2013,2008,1,107
coling,icml,2013,2009,1,97
coling,icml,2013,2011,1,116
coling,icml,2014,1995,1,14
coling,icml,2014,1997,1,13
coling,icml,2014,2001,1,38
coling,icml,2014,2003,2,83
coling,icml,2014,2004,4,107
coling,icml,2014,2005,1,102
coling,icml,2014,2007,2,141
coling,icml,2014,2008,5,191
coling,icml,2014,2009,3,184
coling,icml,2014,2011,4,219
coling,icml,2014,2012,4,248
coling,icml,2014,2013,2,248
