from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
coling,ijcai,1973,1969,2,14
coling,ijcai,1980,1969,2,5
coling,ijcai,1980,1975,5,11
coling,ijcai,1980,1977,6,19
coling,ijcai,1980,1979,10,21
coling,ijcai,1982,1973,1,5
coling,ijcai,1982,1975,1,10
coling,ijcai,1982,1977,4,11
coling,ijcai,1982,1979,1,8
coling,ijcai,1982,1981,2,15
coling,ijcai,1984,1977,5,14
coling,ijcai,1984,1979,4,9
coling,ijcai,1984,1981,11,29
coling,ijcai,1984,1983,15,55
coling,ijcai,1986,1973,1,5
coling,ijcai,1986,1977,3,5
coling,ijcai,1986,1981,2,14
coling,ijcai,1986,1983,9,37
coling,ijcai,1986,1985,5,45
coling,ijcai,1988,1975,1,7
coling,ijcai,1988,1977,3,9
coling,ijcai,1988,1979,1,9
coling,ijcai,1988,1981,3,16
coling,ijcai,1988,1983,3,32
coling,ijcai,1988,1985,2,34
coling,ijcai,1988,1987,11,70
coling,ijcai,1990,1977,2,6
coling,ijcai,1990,1981,2,10
coling,ijcai,1990,1983,5,33
coling,ijcai,1990,1985,6,28
coling,ijcai,1990,1987,12,60
coling,ijcai,1990,1989,8,79
coling,ijcai,1992,1977,3,5
coling,ijcai,1992,1979,1,8
coling,ijcai,1992,1981,2,10
coling,ijcai,1992,1983,1,24
coling,ijcai,1992,1987,3,54
coling,ijcai,1992,1989,3,59
coling,ijcai,1992,1991,4,82
coling,ijcai,1994,1973,1,4
coling,ijcai,1994,1977,1,4
coling,ijcai,1994,1981,3,5
coling,ijcai,1994,1983,1,20
coling,ijcai,1994,1987,4,34
coling,ijcai,1994,1989,3,42
coling,ijcai,1994,1991,3,50
coling,ijcai,1994,1993,4,78
coling,ijcai,1996,1973,1,3
coling,ijcai,1996,1975,1,5
coling,ijcai,1996,1981,2,8
coling,ijcai,1996,1987,1,19
coling,ijcai,1996,1989,1,25
coling,ijcai,1996,1991,1,39
coling,ijcai,1996,1993,3,68
coling,ijcai,1996,1995,6,86
coling,ijcai,1998,1991,1,28
coling,ijcai,1998,1993,1,45
coling,ijcai,1998,1995,10,78
coling,ijcai,1998,1997,1,65
coling,ijcai,2000,1991,1,24
coling,ijcai,2000,1993,3,36
coling,ijcai,2000,1995,3,56
coling,ijcai,2000,1996,1,87
coling,ijcai,2000,1997,1,53
coling,ijcai,2000,1999,2,87
coling,ijcai,2002,1981,1,2
coling,ijcai,2002,1991,1,23
coling,ijcai,2002,1993,2,46
coling,ijcai,2002,1995,4,49
coling,ijcai,2002,1997,3,72
coling,ijcai,2002,1999,2,103
coling,ijcai,2002,2001,3,117
coling,ijcai,2003,1995,3,11
coling,ijcai,2004,1983,1,4
coling,ijcai,2004,1993,1,29
coling,ijcai,2004,1995,4,48
coling,ijcai,2004,1999,2,83
coling,ijcai,2004,2001,2,77
coling,ijcai,2004,2003,3,169
coling,ijcai,2005,1995,2,12
coling,ijcai,2005,2001,1,22
coling,ijcai,2005,2003,1,53
coling,ijcai,2006,1981,1,3
coling,ijcai,2006,1989,1,11
coling,ijcai,2006,1993,1,21
coling,ijcai,2006,1995,4,40
coling,ijcai,2006,1999,2,66
coling,ijcai,2006,2003,5,152
coling,ijcai,2006,2005,7,201
coling,ijcai,2008,1993,1,24
coling,ijcai,2008,1995,3,30
coling,ijcai,2008,1999,2,45
coling,ijcai,2008,2003,4,134
coling,ijcai,2008,2005,2,170
coling,ijcai,2008,2007,6,189
coling,ijcai,2009,2003,5,54
coling,ijcai,2009,2007,1,31
coling,ijcai,2010,1985,1,4
coling,ijcai,2010,1987,1,9
coling,ijcai,2010,1993,1,30
coling,ijcai,2010,1995,3,36
coling,ijcai,2010,1999,2,57
coling,ijcai,2010,2003,6,150
coling,ijcai,2010,2005,8,227
coling,ijcai,2010,2006,1,282
coling,ijcai,2010,2007,14,291
coling,ijcai,2010,2009,3,336
coling,ijcai,2011,1983,1,2
coling,ijcai,2011,1995,1,16
coling,ijcai,2011,2005,1,35
coling,ijcai,2011,2007,2,42
coling,ijcai,2011,2009,1,49
coling,ijcai,2012,1983,1,4
coling,ijcai,2012,1995,3,28
coling,ijcai,2012,1997,1,31
coling,ijcai,2012,1999,2,47
coling,ijcai,2012,2003,3,114
coling,ijcai,2012,2005,2,156
coling,ijcai,2012,2007,10,215
coling,ijcai,2012,2009,4,282
coling,ijcai,2012,2011,4,286
coling,ijcai,2013,1995,2,13
coling,ijcai,2013,2003,1,66
coling,ijcai,2013,2005,1,60
coling,ijcai,2013,2007,4,93
coling,ijcai,2013,2009,2,97
coling,ijcai,2013,2011,1,116
coling,ijcai,2014,1979,1,4
coling,ijcai,2014,1999,1,34
coling,ijcai,2014,2003,3,83
coling,ijcai,2014,2005,1,102
coling,ijcai,2014,2007,6,141
coling,ijcai,2014,2009,3,184
coling,ijcai,2014,2011,3,219
coling,ijcai,2014,2013,4,248
