from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
coling,nips,1998,1992,1,34
coling,nips,2000,1999,1,87
coling,nips,2002,1992,1,37
coling,nips,2002,1997,1,72
coling,nips,2002,1999,1,103
coling,nips,2002,2000,2,187
coling,nips,2002,2001,1,117
coling,nips,2004,2001,1,77
coling,nips,2005,2001,1,22
coling,nips,2006,1999,1,66
coling,nips,2006,2001,4,73
coling,nips,2006,2002,2,147
coling,nips,2006,2003,4,152
coling,nips,2006,2004,4,203
coling,nips,2006,2005,1,201
coling,nips,2008,1999,1,45
coling,nips,2008,2001,3,59
coling,nips,2008,2002,2,103
coling,nips,2008,2003,1,134
coling,nips,2008,2004,4,160
coling,nips,2008,2006,3,220
coling,nips,2008,2007,2,189
coling,nips,2009,2001,1,28
coling,nips,2009,2003,1,54
coling,nips,2010,1997,1,32
coling,nips,2010,2000,1,70
coling,nips,2010,2001,3,77
coling,nips,2010,2002,1,136
coling,nips,2010,2003,2,150
coling,nips,2010,2004,6,191
coling,nips,2010,2006,2,282
coling,nips,2010,2007,4,291
coling,nips,2010,2008,3,371
coling,nips,2010,2009,2,336
coling,nips,2011,2001,1,10
coling,nips,2011,2003,2,40
coling,nips,2011,2007,2,42
coling,nips,2011,2009,1,49
coling,nips,2012,1999,1,47
coling,nips,2012,2000,1,55
coling,nips,2012,2001,2,65
coling,nips,2012,2002,1,100
coling,nips,2012,2003,1,114
coling,nips,2012,2004,4,121
coling,nips,2012,2006,3,195
coling,nips,2012,2007,4,215
coling,nips,2012,2008,2,259
coling,nips,2012,2009,5,282
coling,nips,2012,2010,2,388
coling,nips,2012,2011,4,286
coling,nips,2013,2001,1,17
coling,nips,2013,2004,2,75
coling,nips,2013,2006,1,83
coling,nips,2013,2008,1,107
coling,nips,2014,1997,2,13
coling,nips,2014,2000,1,37
coling,nips,2014,2001,1,38
coling,nips,2014,2002,2,70
coling,nips,2014,2003,3,83
coling,nips,2014,2004,5,107
coling,nips,2014,2006,1,118
coling,nips,2014,2007,3,141
coling,nips,2014,2008,2,191
coling,nips,2014,2009,4,184
coling,nips,2014,2010,4,274
coling,nips,2014,2011,5,219
coling,nips,2014,2012,2,248
coling,nips,2014,2013,2,248
