from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
coling,uai,2002,1995,1,49
coling,uai,2002,1997,1,72
coling,uai,2002,1998,1,125
coling,uai,2002,1999,2,103
coling,uai,2004,2002,1,170
coling,uai,2006,2000,1,100
coling,uai,2006,2002,3,147
coling,uai,2008,2005,1,170
coling,uai,2009,1995,1,15
coling,uai,2010,1999,1,57
coling,uai,2010,2004,2,191
coling,uai,2010,2009,1,336
coling,uai,2011,2009,1,49
coling,uai,2012,1998,1,41
coling,uai,2012,2002,2,100
coling,uai,2012,2004,1,121
coling,uai,2014,1999,2,34
coling,uai,2014,2002,1,70
