from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
colt,icml,1989,1987,1,8
colt,icml,1992,1988,1,22
colt,icml,1992,1991,1,39
colt,icml,1994,1988,1,22
colt,icml,1994,1990,1,18
colt,icml,1994,1992,3,51
colt,icml,1995,1990,1,31
colt,icml,1995,1992,1,56
colt,icml,1995,1993,1,64
colt,icml,1995,1994,2,60
colt,icml,1997,1989,1,14
colt,icml,1997,1992,1,38
colt,icml,1997,1995,2,60
colt,icml,1997,1996,1,60
colt,icml,1998,1993,1,14
colt,icml,1998,1995,3,39
colt,icml,1998,1996,2,36
colt,icml,1998,1997,3,40
colt,icml,1999,1988,1,15
colt,icml,1999,1991,1,19
colt,icml,1999,1993,1,21
colt,icml,1999,1995,3,46
colt,icml,1999,1996,2,44
colt,icml,1999,1997,2,46
colt,icml,1999,1998,6,55
colt,icml,2000,1996,1,4
colt,icml,2001,1994,2,28
colt,icml,2001,1995,1,29
colt,icml,2001,1996,1,23
colt,icml,2001,1997,2,25
colt,icml,2001,1998,4,43
colt,icml,2001,1999,2,48
colt,icml,2001,2000,2,28
colt,icml,2002,1995,1,12
colt,icml,2002,1996,1,12
colt,icml,2002,1998,1,17
colt,icml,2002,1999,2,19
colt,icml,2002,2000,1,21
colt,icml,2002,2001,2,23
colt,icml,2003,1996,2,14
colt,icml,2003,1997,2,15
colt,icml,2003,1998,3,22
colt,icml,2003,1999,1,27
colt,icml,2003,2000,1,19
colt,icml,2003,2001,2,28
colt,icml,2003,2002,1,27
colt,icml,2004,1993,1,10
colt,icml,2004,1994,1,19
colt,icml,2004,1997,1,20
colt,icml,2004,1998,1,21
colt,icml,2004,1999,1,25
colt,icml,2004,2000,2,21
colt,icml,2004,2001,2,25
colt,icml,2004,2002,1,33
colt,icml,2004,2003,5,43
colt,icml,2005,1996,1,7
colt,icml,2005,1999,2,35
colt,icml,2005,2000,3,21
colt,icml,2005,2001,1,24
colt,icml,2005,2002,1,41
colt,icml,2005,2003,2,34
colt,icml,2005,2004,2,38
colt,icml,2006,1988,1,9
colt,icml,2006,1995,1,14
colt,icml,2006,1996,1,29
colt,icml,2006,2003,3,31
colt,icml,2006,2004,4,46
colt,icml,2006,2005,2,43
colt,icml,2007,1995,2,15
colt,icml,2007,1999,2,24
colt,icml,2007,2001,2,25
colt,icml,2007,2003,1,27
colt,icml,2007,2004,2,37
colt,icml,2007,2005,2,29
colt,icml,2007,2006,5,43
colt,icml,2008,1996,1,4
colt,icml,2008,1998,1,9
colt,icml,2008,1999,1,11
colt,icml,2008,2003,1,8
colt,icml,2008,2005,1,9
colt,icml,2009,2002,1,7
colt,icml,2009,2003,1,6
colt,icml,2009,2005,2,6
colt,icml,2009,2007,1,9
colt,icml,2010,2000,1,4
colt,icml,2010,2002,1,7
colt,icml,2010,2007,1,7
colt,icml,2010,2008,2,16
colt,icml,2010,2009,3,23
colt,icml,2011,1998,1,1
colt,icml,2011,2003,1,3
colt,icml,2011,2006,1,6
colt,icml,2012,2000,1,4
colt,icml,2012,2003,1,8
colt,icml,2012,2005,2,10
colt,icml,2012,2006,1,8
colt,icml,2012,2007,2,13
colt,icml,2012,2008,1,11
colt,icml,2012,2011,1,15
colt,icml,2013,1998,1,13
colt,icml,2013,2001,1,17
colt,icml,2013,2003,2,21
colt,icml,2013,2004,1,19
colt,icml,2013,2005,2,22
colt,icml,2013,2006,2,32
colt,icml,2013,2007,2,33
colt,icml,2013,2008,3,32
colt,icml,2013,2009,1,38
colt,icml,2013,2010,1,39
colt,icml,2013,2011,3,37
colt,icml,2013,2012,2,48
colt,icml,2014,1997,1,7
colt,icml,2014,2003,1,13
colt,icml,2014,2004,2,16
colt,icml,2014,2005,1,12
colt,icml,2014,2006,1,12
colt,icml,2014,2008,1,15
colt,icml,2014,2009,2,24
colt,icml,2014,2010,3,28
colt,icml,2014,2011,1,26
colt,icml,2014,2012,8,41
colt,icml,2014,2013,5,34
colt,icml,2015,2006,1,3
colt,icml,2015,2007,1,5
colt,icml,2015,2012,1,10
colt,icml,2015,2013,1,7
