from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
connection,aaai,2006,2000,2,10
connection,aaai,2006,2002,1,11
connection,aaai,2006,2005,1,9
connection,aaai,2007,1982,1,23
connection,aaai,2007,1986,3,25
connection,aaai,2007,1997,1,44
connection,aaai,2007,2005,1,45
connection,aaai,2008,1992,1,11
connection,aaai,2008,1998,1,18
connection,aaai,2008,2002,1,31
connection,aaai,2008,2005,1,33
connection,aaai,2009,1992,1,8
connection,aaai,2010,1992,1,37
connection,aaai,2010,1994,1,61
connection,aaai,2010,1996,1,63
connection,aaai,2010,1997,2,70
connection,aaai,2010,1998,3,76
connection,aaai,2010,1999,1,61
connection,aaai,2010,2004,1,55
connection,aaai,2014,2007,1,41
connection,aaai,2014,2008,2,28
connection,aaai,2014,2010,1,43
connection,aaai,2014,2012,1,35
