from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
connection,connection,1994,1993,1,3
connection,connection,2000,1999,1,2
connection,connection,2001,1992,2,10
connection,connection,2002,1993,1,8
connection,connection,2002,1999,1,3
connection,connection,2002,2000,1,3
connection,connection,2003,1995,1,7
connection,connection,2004,1995,1,2
connection,connection,2004,1998,1,7
connection,connection,2006,1999,1,12
connection,connection,2006,2000,1,10
connection,connection,2006,2004,2,15
connection,connection,2007,1990,1,51
connection,connection,2007,1991,1,68
connection,connection,2007,1992,8,47
connection,connection,2007,1993,1,35
connection,connection,2007,1995,1,37
connection,connection,2007,1999,1,47
connection,connection,2007,2000,1,51
connection,connection,2007,2002,1,37
connection,connection,2007,2004,2,66
connection,connection,2007,2006,5,40
connection,connection,2008,2007,2,46
connection,connection,2009,1991,1,7
connection,connection,2009,2000,1,11
connection,connection,2009,2007,5,17
connection,connection,2010,1992,1,37
connection,connection,2010,1993,2,50
connection,connection,2010,1994,1,61
connection,connection,2010,1995,3,57
connection,connection,2010,1998,1,76
connection,connection,2010,2000,2,76
connection,connection,2010,2003,2,80
connection,connection,2010,2005,1,46
connection,connection,2010,2006,1,42
connection,connection,2010,2007,8,46
connection,connection,2010,2008,2,35
connection,connection,2010,2009,2,25
connection,connection,2011,1995,1,11
connection,connection,2011,2010,2,27
connection,connection,2013,2009,1,15
connection,connection,2014,1995,2,5
connection,connection,2014,2007,2,41
connection,connection,2014,2010,5,43
connection,connection,2014,2011,2,48
connection,connection,2014,2012,1,35
connection,connection,2014,2013,3,37
