from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
connection,gecco,2004,1999,1,9
connection,gecco,2007,2003,1,48
connection,gecco,2007,2004,1,66
connection,gecco,2007,2006,1,40
connection,gecco,2008,2001,1,28
connection,gecco,2008,2005,1,33
connection,gecco,2009,2005,1,37
connection,gecco,2012,2008,1,12
connection,gecco,2014,2001,1,19
connection,gecco,2014,2006,1,23
connection,gecco,2014,2007,2,41
connection,gecco,2015,2009,1,18
connection,gecco,2015,2012,1,7
