from_citing,to_base,current_year,year_cited_papers,selected_cited_papers_in_year_no,all_cited_papers_in_year_no
connection,icml,2006,2000,1,10
connection,icml,2006,2001,1,8
connection,icml,2006,2002,2,11
connection,icml,2007,1988,1,42
connection,icml,2007,1992,1,47
connection,icml,2008,1988,1,6
connection,icml,2008,1992,1,11
connection,icml,2008,1993,1,9
connection,icml,2008,1995,1,7
connection,icml,2008,1997,1,12
connection,icml,2008,1998,1,18
connection,icml,2008,2003,1,27
connection,icml,2008,2006,1,27
connection,icml,2009,2005,1,37
connection,icml,2010,1993,1,50
connection,icml,2010,1994,1,61
connection,icml,2010,1996,1,63
connection,icml,2010,2000,1,76
connection,icml,2011,2000,1,14
connection,icml,2011,2007,1,13
connection,icml,2012,1993,1,2
connection,icml,2014,1998,1,16
connection,icml,2014,1999,1,8
connection,icml,2014,2001,1,19
connection,icml,2014,2004,1,26
connection,icml,2014,2006,1,23
connection,icml,2014,2007,2,41
connection,icml,2014,2011,1,48
